name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source,is_new_to_db
(907) 276-1058,(907) 276-1058,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9072761058,Anchorage Chamber of Commerce — General Contractors,yes
(907) 279-1400,(907) 279-1400,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9072791400,Anchorage Chamber of Commerce — General Contractors,yes
(907) 349-8697,(907) 349-8697,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9073498697,Anchorage Chamber of Commerce — General Contractors,yes
(907) 414-8014,(907) 414-8014,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9074148014,Anchorage Chamber of Commerce — General Contractors,yes
(907) 561-1993,(907) 561-1993,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9075611993,Anchorage Chamber of Commerce — General Contractors,yes
(907) 602-3858,(907) 602-3858,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9076023858,Anchorage Chamber of Commerce — General Contractors,yes
(907) 602-5000,(907) 602-5000,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9076025000,Anchorage Chamber of Commerce — General Contractors,yes
1049 W 5th AveSte 200AnchorageAlaska99501,,,Anchorage,AK,,,"https://www.google.com/maps?q=1049%20W%205th%20Ave,%20Ste%20200,%20Anchorage,%20Alaska,%2099501",General Contractor,,,,,,,,"https://www.google.com/maps?q=1049%20W%205th%20Ave,%20Ste%20200,%20Anchorage,%20Alaska,%2099501",Anchorage Chamber of Commerce — General Contractors,yes
11001 Calaska CircleAnchorageAK99515,,,Anchorage,AK,,,"https://www.google.com/maps?q=11001%20Calaska%20Circle,%20Anchorage,%20AK,%2099515",General Contractor,,,,,,,,"https://www.google.com/maps?q=11001%20Calaska%20Circle,%20Anchorage,%20AK,%2099515",Anchorage Chamber of Commerce — General Contractors,yes
2134 E 88thAnchorageAK99507,,,Anchorage,AK,,,"https://www.google.com/maps?q=2134%20E%2088th,%20Anchorage,%20AK,%2099507",General Contractor,,,,,,,,"https://www.google.com/maps?q=2134%20E%2088th,%20Anchorage,%20AK,%2099507",Anchorage Chamber of Commerce — General Contractors,yes
2501 Blueberry RoadAnchorageAK99503-2621,,,Anchorage,AK,,,"https://www.google.com/maps?q=2501%20Blueberry%20Road,%20Anchorage,%20AK,%2099503-2621",General Contractor,,,,,,,,"https://www.google.com/maps?q=2501%20Blueberry%20Road,%20Anchorage,%20AK,%2099503-2621",Anchorage Chamber of Commerce — General Contractors,yes
360GeneralLLC,(907) 868-8880,5400 Eielson St,Anchorage,AK,99518,,,"Framing Contractors, Construction Services",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/framing-contractors/loken-construction-llc-1296-22017943,BBB,no
412 W 53rd AveSuite BAnchorageAK99518,,,Anchorage,AK,,,"https://www.google.com/maps?q=412%20W%2053rd%20Ave%20,%20Suite%20B%20,%20Anchorage,%20AK,%2099518",General Contractor,,,,,,,,"https://www.google.com/maps?q=412%20W%2053rd%20Ave%20,%20Suite%20B%20,%20Anchorage,%20AK,%2099518",Anchorage Chamber of Commerce — General Contractors,yes
5150 Global Solutions LLC,,189 E Nelson Ave #299,Wasilla,AK,99654,,,Electrical Contractor,"Lic#1030325 OC, IC",Electrical,,,,,,,Alaska NECA,yes
6041 Makay StSte 102AnchorageAlaska99518,,,Anchorage,AK,,,"https://www.google.com/maps?q=6041%20Makay%20St,%20Ste%20102,%20Anchorage,%20Alaska,%2099518",General Contractor,,,,,,,,"https://www.google.com/maps?q=6041%20Makay%20St,%20Ste%20102,%20Anchorage,%20Alaska,%2099518",Anchorage Chamber of Commerce — General Contractors,yes
907Heating& Plumbing,(907) 529-1560,PO Box 220032,Anchorage,AK,99522,,,"Plumber, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/plumber/907-heating-plumbing-1296-22528926,BBB,no
907MechanicalInsulation,(907) 745-3140,7530 Blackberry St,Anchorage,AK,99502,,,"Mechanical Insulation Contractors, Painting Contractors, Mason Contractors",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/mechanical-insulation-contractors/907-mechanical-insulation-1296-22829063,BBB,no
A A A Fence Inc,(907) 349-7000,1701 E 82nd Ave,Anchorage,AK,99507,,,"Fence Contractors, General Contractor, Steel Fabrication",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/fence-contractors/a-a-a-fence-inc-1296-22020066,BBB,no
About Us,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/about-us/,Anchorage Chamber of Commerce — General Contractors,yes
"Above Comfort Mechanical, LLC",(907) 341-9212,PO BOX 1098,Willow,AK,99688,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ak/willow/profile/heating-and-air-conditioning/above-comfort-mechanical-llc-1296-1000186143,BBB,yes
Absolute Services Inc,(907) 346-4490,7851 Spring St Ste 2,Anchorage,AK,99518,,,"Asbestos Removal, General Contractor, Mold Removal",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/asbestos-removal/absolute-services-inc-1296-22046796,BBB,no
AccentAir& Mechanical Inc,(406) 254-0182,PO Box 243623,Anchorage,AK,99524,,,"Air Conditioning Contractors, Heating Contractors",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/air-conditioning-contractor/accent-air-mechanical-inc-1296-64085095,BBB,no
"Accessible Homes, Inc",(907) 562-2327,7926 Old Seward Hwy Ste A1,Anchorage,AK,99518,,,"Walk-In Tubs, General Contractor, Home Improvement",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/walkin-tubs/accessible-homes-inc-1296-12678,BBB,no
AceHeatingInc,(907) 357-6099,2780 N. Heathmay Cir,Wasilla,AK,99654,,,"Heating Contractors, Plumber",,,,,,,,https://www.bbb.org/us/ak/wasilla/profile/heating-contractors/ace-heating-inc-1296-22712633,BBB,yes
Advanced Plumbing &HeatingInc,(907) 746-5190,PO Box 872100,Wasilla,AK,99687,,,"Plumber, Heating Contractors, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/plumber/advanced-plumbing-heating-inc-1296-11368/addressId/2296,BBB,yes
Advertise With Us,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/advertising-opportunities/,Anchorage Chamber of Commerce — General Contractors,yes
Advocacy Committee,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/legislative-committee/,Anchorage Chamber of Commerce — General Contractors,yes
AEC Contracting,(907) 538-5235,10130 Nantucket Loop,Anchorage,AK,99507,,,"Electrical Contractors, General Contractor, Electrician",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/electrical-contractors/aec-contracting-1296-1000060834,BBB,no
Air Source Alaska LLC,(907) 276-8723,1900 E 3rd Ave,Anchorage,AK,99501,,,"Electrical Contractors, Mechanical Contractors, Commercial Electrician",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/electrical-contractors/air-source-alaska-llc-1296-1000102844,BBB,no
AirTemp Alaska LLC,(907) 349-4503,5406 Lake Otis Pkwy,Anchorage,AK,99507,,,"Heating and Air Conditioning, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/heating-and-air-conditioning/airtemp-alaska-llc-1296-22034430,BBB,no
"AirTight, Inc",(907) 632-3500,Anchorage,Anchorage,AK,,,,"General Contractor, Bathroom Remodel, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/general-contractor/airtight-inc-1296-22831306,BBB,no
AK ClearwaterMechanicalLLC,(907) 892-8600,1231 W 32nd Ave,Wasilla,AK,99654,,,"Mechanical Contractors, Plumber, Water Purification Equipment",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/mechanical-contractors/ak-clearwater-mechanical-llc-1296-22831308,BBB,yes
AK North Homes LLC,(907) 301-8633,Anchorage,Anchorage,AK,,,,"Home Builders, General Contractor, Construction Services",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/home-builders/ak-north-homes-llc-1296-22060465,BBB,no
AK Snowmass Construction LLC,(719) 237-4117,8920 Washburn St Unit B,Anchorage,AK,99502,,,"Remodel Contractors, General Contractor, Home Improvement",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/remodel-contractors/ak-snowmass-construction-llc-1296-1000109166,BBB,no
Al Fish Plumbing LLC,(907) 345-0508,11805 Gregory Rd,Anchorage,AK,99516,,,"Mechanical Contractors, Plumber, Septic Tank Contractors",,,,,,,,https://www.bbb.org/us/ak/anchorage/profile/mechanical-contractors/al-fish-plumbing-llc-1296-22712318,BBB,no
Alas-CoGeneralConstruction Co Inc,(907) 522-2297,Anchorage,Anchorage,AK,,,,"Insulation Contractors, General Contractor, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/insulation-contractors/alas-co-general-construction-co-inc-1296-10190,BBB,no
