name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source,is_new_to_db
(907) 276-1058,(907) 276-1058,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9072761058,Anchorage Chamber of Commerce — General Contractors,yes
(907) 279-1400,(907) 279-1400,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9072791400,Anchorage Chamber of Commerce — General Contractors,yes
(907) 349-8697,(907) 349-8697,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9073498697,Anchorage Chamber of Commerce — General Contractors,yes
(907) 414-8014,(907) 414-8014,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9074148014,Anchorage Chamber of Commerce — General Contractors,yes
(907) 561-1993,(907) 561-1993,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9075611993,Anchorage Chamber of Commerce — General Contractors,yes
(907) 602-3858,(907) 602-3858,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9076023858,Anchorage Chamber of Commerce — General Contractors,yes
(907) 602-5000,(907) 602-5000,,Anchorage,AK,,,,General Contractor,,,,,,,,https://business.anchoragechamber.orgtel:9076025000,Anchorage Chamber of Commerce — General Contractors,yes
1049 W 5th AveSte 200AnchorageAlaska99501,,,Anchorage,AK,,,"https://www.google.com/maps?q=1049%20W%205th%20Ave,%20Ste%20200,%20Anchorage,%20Alaska,%2099501",General Contractor,,,,,,,,"https://www.google.com/maps?q=1049%20W%205th%20Ave,%20Ste%20200,%20Anchorage,%20Alaska,%2099501",Anchorage Chamber of Commerce — General Contractors,yes
11001 Calaska CircleAnchorageAK99515,,,Anchorage,AK,,,"https://www.google.com/maps?q=11001%20Calaska%20Circle,%20Anchorage,%20AK,%2099515",General Contractor,,,,,,,,"https://www.google.com/maps?q=11001%20Calaska%20Circle,%20Anchorage,%20AK,%2099515",Anchorage Chamber of Commerce — General Contractors,yes
2134 E 88thAnchorageAK99507,,,Anchorage,AK,,,"https://www.google.com/maps?q=2134%20E%2088th,%20Anchorage,%20AK,%2099507",General Contractor,,,,,,,,"https://www.google.com/maps?q=2134%20E%2088th,%20Anchorage,%20AK,%2099507",Anchorage Chamber of Commerce — General Contractors,yes
2501 Blueberry RoadAnchorageAK99503-2621,,,Anchorage,AK,,,"https://www.google.com/maps?q=2501%20Blueberry%20Road,%20Anchorage,%20AK,%2099503-2621",General Contractor,,,,,,,,"https://www.google.com/maps?q=2501%20Blueberry%20Road,%20Anchorage,%20AK,%2099503-2621",Anchorage Chamber of Commerce — General Contractors,yes
412 W 53rd AveSuite BAnchorageAK99518,,,Anchorage,AK,,,"https://www.google.com/maps?q=412%20W%2053rd%20Ave%20,%20Suite%20B%20,%20Anchorage,%20AK,%2099518",General Contractor,,,,,,,,"https://www.google.com/maps?q=412%20W%2053rd%20Ave%20,%20Suite%20B%20,%20Anchorage,%20AK,%2099518",Anchorage Chamber of Commerce — General Contractors,yes
5150 Global Solutions LLC,,189 E Nelson Ave #299,Wasilla,AK,99654,,,Electrical Contractor,"Lic#1030325 OC, IC",Electrical,,,,,,,Alaska NECA,yes
6041 Makay StSte 102AnchorageAlaska99518,,,Anchorage,AK,,,"https://www.google.com/maps?q=6041%20Makay%20St,%20Ste%20102,%20Anchorage,%20Alaska,%2099518",General Contractor,,,,,,,,"https://www.google.com/maps?q=6041%20Makay%20St,%20Ste%20102,%20Anchorage,%20Alaska,%2099518",Anchorage Chamber of Commerce — General Contractors,yes
About Us,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/about-us/,Anchorage Chamber of Commerce — General Contractors,yes
"Above Comfort Mechanical, LLC",(907) 341-9212,PO BOX 1098,Willow,AK,99688,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ak/willow/profile/heating-and-air-conditioning/above-comfort-mechanical-llc-1296-1000186143,BBB,yes
AceHeatingInc,(907) 357-6099,2780 N. Heathmay Cir,Wasilla,AK,99654,,,"Heating Contractors, Plumber",,,,,,,,https://www.bbb.org/us/ak/wasilla/profile/heating-contractors/ace-heating-inc-1296-22712633,BBB,yes
Advanced Plumbing &HeatingInc,(907) 746-5190,PO Box 872100,Wasilla,AK,99687,,,"Plumber, Heating Contractors, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/plumber/advanced-plumbing-heating-inc-1296-11368/addressId/2296,BBB,yes
Advertise With Us,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/advertising-opportunities/,Anchorage Chamber of Commerce — General Contractors,yes
Advocacy Committee,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/legislative-committee/,Anchorage Chamber of Commerce — General Contractors,yes
AK ClearwaterMechanicalLLC,(907) 892-8600,1231 W 32nd Ave,Wasilla,AK,99654,,,"Mechanical Contractors, Plumber, Water Purification Equipment",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/mechanical-contractors/ak-clearwater-mechanical-llc-1296-22831308,BBB,yes
Alaska Directional LLC,,200 E Commercial Dr,Palmer,AK,99645,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
Alaska Electric LLC,,2195 Industrial Blvd,Juneau,AK,99801,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
Alaska Line Builders LLC,,12775 W Big Lake Rd,Houston,AK,99694,,,Electrical Contractor,Lic#CONE31131 UL,Electrical,,,,,,,Alaska NECA,yes
"ALASKA MECHANICAL, INC.",907-349-8502,"8540 DIMOND D CIRCLE Anchorage, AK  99515",Anchorage,AK,,,,Plumbing / Pipefitting,,,,,,,,,UA Local 367,yes
Alaska Peninsula Plumbing and Mechanical,907-750-7963,"801 Soundview Avenue Homer, AK  99603",Anchorage,AK,,,,Plumbing / Pipefitting,,,,,,,,,UA Local 367,yes
Alaska Power Vac LLC,(907) 373-3310,900 E Agate Ln,Wasilla,AK,99654,,,"Duct Cleaning, Fire and Water Damage Restoration, Chimney Cleaning",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/duct-cleaning/alaska-power-vac-llc-1296-22068028,BBB,yes
Alaska Powercom Supply,,1001 Van Horn Rd,Fairbanks,AK,99701,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
Alaska Young Professionals Summit,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/alaska-young-professionals-summit/,Anchorage Chamber of Commerce — General Contractors,yes
Alaskan Armor Remodel & Renovation LLC,(907) 290-0089,4200 E Mariah Dr,Wasilla,AK,99654,,,"Remodeling, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/remodeling/alaskan-armor-remodel-renovation-llc-1296-1000087890,BBB,yes
Alcan Electrical & Engineering Inc,907-780-4404,8415 Airport Boulevard,Juneau,AK,99801,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
Alpine View LLC,(907) 301-8152,PO Box 326,Girdwood,AK,99587,,,"General Contractor, Construction Services, Fire and Water Damage Restoration",,,,,A+,,,https://www.bbb.org/us/ak/girdwood/profile/general-contractor/alpine-view-llc-1296-22731648,BBB,yes
Ambassador Council,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/ambassador-council/,Anchorage Chamber of Commerce — General Contractors,yes
Anchorage ATHENA Society,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/anchorage-athena-society/,Anchorage Chamber of Commerce — General Contractors,yes
Anchorage Chamber Citywide Cleanup,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/citywide-cleanup-regulations-and-bag-pickup-locations-2/,Anchorage Chamber of Commerce — General Contractors,yes
AnchorageAK,,,Anchorage,AK,,,"https://www.google.com/maps?q=Anchorage,%20AK",General Contractor,,,,,,,,"https://www.google.com/maps?q=Anchorage,%20AK",Anchorage Chamber of Commerce — General Contractors,yes
Annual Events,,,Anchorage,AK,,,,General Contractor,,,,,,,,https://www.anchoragechamber.org/chamber-events/,Anchorage Chamber of Commerce — General Contractors,yes
ARC Industries,,8544 North Douglas Hwy,Juneau,AK,99801,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
ARCTIC CHILL&HEATING (15),907-433-9003,"PO Box 221424 Anchorage, AK  99522",Anchorage,AK,,,,Plumbing / Pipefitting,,,,,,,,,UA Local 367,yes
Arctic Refrigeration & Air Conditioning Inc.,907-562-8856,"500 West Potter Drive Suite 100 Anchorage, AK  99518",Anchorage,AK,,,,Plumbing / Pipefitting,,,,,,,,,UA Local 367,yes
Area 49 Industries,(907) 355-0901,2674 E Sunny Meadow Ave,Wasilla,AK,99654,,,"Metal Fabrication, General Contractor, Landscape Contractors",,,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/metal-fabrication/area-49-industries-1296-1000103168,BBB,yes
B&B Electric,,2308 Standard Ave,Fairbanks,AK,99701,,,Electrical Contractor,,Electrical,,,,,,,Alaska NECA,yes
