name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"1stMechanicalServices, Inc.",(770) 346-0792,301 Ashville Ct,Macon,GA,31210,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/macon/profile/heating-and-air-conditioning/1st-mechanical-services-inc-0443-27265106/addressId/91636,BBB
4 Season's Techs Inc.,(904) 442-5524,1488 Beecher Lane,Orange Park,FL,32073,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/heating-and-air-conditioning/4-seasons-techs-inc-0403-235969132,BBB
"A & M Refrigeration & Appliance Service, Inc.",(912) 927-2128,PO Box 14037 Walter Samuel Rd. Rincon,"Ga , Savannah",GA,31416,,,"Heating and Air Conditioning, Plumber, Major Appliance Services",,,,,,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-m-refrigeration-appliance-service-inc-0403-235945482,BBB
A + AirConditioning& Refrigeration,(352) 608-5019,6725 NW 18th Dr,Gainesville,FL,32653,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/gainesville/profile/air-conditioning-contractor/a-air-conditioning-refrigeration-0403-236025322,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,604 W Ward street,Douglas,GA,31535,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/douglas/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0403-235948247/addressId/128884,BBB
A J & BMechanicalContractors,(912) 966-1257,150 Azalea Ave,Savannah,GA,31408,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-j-b-mechanical-contractors-0403-235955668,BBB
"A. T. Harris Air Conditioning & Heating, Inc.",(904) 236-4435,2000 Wells Rd Unit 238,Orange Park,FL,32073,,,"Air Conditioning Contractors, Heating and Air Conditioning, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/air-conditioning-contractor/a-t-harris-air-conditioning-heating-inc-0403-172202158,BBB
A.A. Construction,(478) 213-2925,PO Box 1103,Byron,GA,31008,,,"Roofing Contractors, General Contractor, Commercial Roofing",,,,,A+,,,https://www.bbb.org/us/ga/byron/profile/roofing-contractors/aa-construction-0743-42871,BBB
"A/C Designs, Inc.",(904) 829-8898,6656 Columbia Park Dr. Suite 1,Jacksonville,FL,32258,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/heating-and-air-conditioning/ac-designs-inc-0403-132803326/addressId/130745,BBB
"A/CMechanicalplus, LLC.",(843) 842-4848,PO Box 6507,Hilton Head Island,SC,29938,,,"Heating and Air Conditioning, Mechanical Contractors",,,,,,,,https://www.bbb.org/us/sc/hilton-head-island/profile/heating-and-air-conditioning/ac-mechanical-plus-llc-0403-235950993/addressId/22677,BBB
A1A Solar Contracting Inc,(904) 468-7861,10418 New Berlin Rd Unit 223,Jacksonville,FL,32226,,,"Solar Energy Design, Heating and Air Conditioning, Solar Energy Equipment Dealers",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/solar-energy-design/a1a-solar-contracting-inc-0403-235965010,BBB
AAA Jack Schutte A/C Heat AndMechanical,(904) 355-7543,13898 Softwind Trl N,Jacksonville,FL,32224,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/air-conditioning-contractor/aaa-jack-schutte-ac-heat-and-mechanical-0403-2035,BBB
"Able Co., LLC",(843) 575-1881,164 Ebbings Point Road,Saint Helena Island,SC,29920,,,"Heating and Air Conditioning, Construction Services, Plumber",,,,,A+,,,https://www.bbb.org/us/sc/saint-helena-island/profile/heating-and-air-conditioning/able-co-llc-0403-235958153,BBB
AC Experts of Florida,(904) 660-1095,8876 A C Skinner Pkwy #7201,Jacksonville,FL,32256,,,"Air Conditioning Contractors, Air Duct Cleaning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/air-conditioning-contractor/ac-experts-of-florida-0403-236018483,BBB
"Action Heating & Air Conditioning, Inc.",(904) 819-0234,134 Masters Dr,St Augustine,FL,32084,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/st-augustine/profile/air-conditioning-contractor/action-heating-air-conditioning-inc-0403-3084,BBB
Adam's Painting & Repairs,(706) 834-5983,Augusta,Jesup,GA,,,,"Painting Contractors, General Contractor, Handyman",,,,,A+,,,https://www.bbb.org/us/ga/augusta/profile/painting-contractors/adams-painting-repairs-0743-91822610,BBB
