name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1st Choice Comfort Solutions,(325) 763-9211,P.O. Box 61173,San Angelo,TX,76906,,,"Heating and Air Conditioning, Residential Air Conditioning Contractors, Commercial Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/san-angelo/profile/heating-and-air-conditioning/1st-choice-comfort-solutions-1055-14760,BBB
3 Kings Roofing,(833) 314-7663,3203 118th St Ste 200,Lubbock,TX,79423,,,"Roofing Consultants, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/roofing-consultants/3-kings-roofing-0875-90408696/addressId/183908,BBB
"3C Builders, LLC",(325) 227-3924,9543 Iron Spoke Trl,Carlsbad,TX,76934,,,"General Contractor, Remodel Contractors, Remodeling",,,,,A+,,,https://www.bbb.org/us/tx/carlsbad/profile/general-contractor/3c-builders-llc-1055-15315,BBB
4B Electric,(806) 475-8890,PO Box 244,Turkey,TX,79261,,,"Electrician, Electrical Contractors, Electrical Wiring",,,,,A+,,,https://www.bbb.org/us/tx/turkey/profile/electrician/4b-electric-0815-99131000,BBB
7 Hills Mechanical,(254) 522-5779,1345 E US Highway 180,Breckenridge,TX,76424,,,"Residential Air Conditioning Contractors, Commercial Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/breckenridge/profile/residential-air-conditioning-contractors/7-hills-mechanical-0795-27968,BBB
777 Custom Homes & Remodeling,(325) 617-2951,PO Box 451,Christoval,TX,76935,,,"General Contractor, Construction Services, Building Contractors",,,,,A+,,,https://www.bbb.org/us/tx/christoval/profile/general-contractor/777-custom-homes-remodeling-1055-14338,BBB
A & PMechanical,(806) 831-2188,3714 105th St,Lubbock,TX,79423,,,Residential Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/lubbock/profile/residential-air-conditioning-contractors/a-p-mechanical-0875-55780,BBB
"A and W Construction Services, LLC",(325) 320-6940,Abilene,Big Spring,TX,,,,"Construction, General Contractor, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/tx/abilene/profile/construction/a-and-w-construction-services-llc-0795-43712,BBB
A C Service,(432) 661-3844,Odessa,Big Spring,TX,,,,Heating and Air Conditioning,,,,,,,,https://www.bbb.org/us/tx/odessa/profile/heating-and-air-conditioning/a-c-service-0825-15003371,BBB
"A D RMechanical, LLC Dba C JMechanical",(940) 783-6017,2611 W 5th St,Plainview,TX,79072,,,"Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/tx/plainview/profile/air-conditioning-contractor/air-done-right-0875-67484,BBB
