name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Keshman LLC,(904) 990-5606,12574 Flagler Center Blvd Ste 101,Jacksonville,FL,32258,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/keshman-llc-0403-236015200,BBB
Synergy Buys Houses Florida,(904) 364-1522,12574 Flagler Center Blvd Ste 101,Jacksonville,FL,32258,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/home-buyers/synergy-buys-houses-florida-0403-235999403,BBB
"Concierge Realty Group, LLC",(904) 219-1689,549 Granada Terr,Ponte Vedra Beach,FL,32082,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ponte-vedra-beach/profile/real-estate/concierge-realty-group-llc-0403-124314734,BBB
"Spectrum Realty Services, LLC.",(904) 389-7311,9803 Old Saint Augustine Rd Ste 1,Jacksonville,FL,32257,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/spectrum-realty-services-llc-0403-235968120,BBB
Smooth House Buyers,(904) 907-8325,9838 Old Baymeadows Rd PMB 164,Jacksonville,FL,32256,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-agent/smooth-house-buyers-0403-236027410,BBB
"Agent's Choice Title, LLC",(386) 445-9550,5 Utility Dr Ste 17,Palm Coast,FL,32137,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/palm-coast/profile/title-agent/agents-choice-title-llc-0403-235969204,BBB
"Diamond LifeRealEstate, Inc.",(904) 834-1326,554 Jacksonville Dr,Jax Bch,FL,32250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jax-bch/profile/commercial-real-estate/diamond-life-real-estate-inc-0403-235967294,BBB
"Nest FindersRealEstate, Inc.",(904) 565-9040,9889 Gate Pkwy N Ste 402,Jacksonville,FL,32246,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/nest-finders-property-management-0403-235964344,BBB
1 % Lists First Coast,(904) 472-4753,107 17th Ave S Unit A,Jacksonville Beach,FL,32250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville-beach/profile/real-estate-broker/1-lists-first-coast-0403-236013777,BBB
"Sieva Realty, LLC.",(904) 223-9949,2406 University Blvd W # 2,Jacksonville,FL,32217,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/sieva-realty-llc-0403-235980616,BBB
Better Buy Realty,(386) 445-9875,160 Cypress Point Pkwy Ste A101,Palm Coast,FL,32164,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/palm-coast/profile/real-estate-agent/better-buy-realty-0403-235984388,BBB
CashGeeks,(904) 420-4001,103 Century 21 Dr Ste 100,Jacksonville,FL,32216,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/cashgeeks-0403-236014005,BBB
Anita's Antiques &EstateSales,(904) 477-6955,13412 Peregrine St,Jacksonville,FL,32225,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/estate-liquidators/anitas-antiques-estate-sales-0403-236017852,BBB
"NetWorth Realty of Jacksonville, LLC",(904) 524-8466,4811 Beach Blvd Suite 107,Jacksonville,FL,32207,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate/networth-realty-of-jacksonville-llc-0403-236018999/addressId/129808,BBB
Autoland Jax Corp,(904) 855-5477,8849 Arlington Expy,Jacksonville,FL,32211,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/used-car-dealers/autoland-jax-corp-0403-236022711,BBB
Next Level Agent Support,(904) 884-5782,3710 Boulevard,Jacksonville,FL,32206,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-services/next-level-agent-support-0403-236031076,BBB
Orbit Properties,(904) 425-2513,301 W Bay St Ste 14550,Jacksonville,FL,32202,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-investing/orbit-properties-0403-236010625,BBB
MYP GreenRealEstateConsulting,(954) 419-6623,Jacksonville,St. Augustine,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-consultant/myp-green-real-estate-consulting-0403-236029782,BBB
"Compass Property Management Group, LLC.",(904) 598-1557,2044 Gilmore Street,Jacksonville,FL,32204,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/compass-property-management-group-llc-0403-171734661,BBB
Lisa Duke Realty LLC,(904) 614-6166,731 Duval Station Rd Ste 551,Jacksonville,FL,32218,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate/lisa-duke-realty-llc-0403-235968191,BBB
Aloha Realty Of Florida LLC,(386) 846-6092,1300 Ocean Shore Blvd,Ormond Beach,FL,32176,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ormond-beach/profile/real-estate-agent/aloha-realty-of-florida-llc-0733-90765048,BBB
TrinityRealEstateSolutions LLC,(786) 454-2888,124 N Nova Rd PMB 213,Ormond Beach,FL,32174,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ormond-beach/profile/real-estate/patton-investment-properties-0733-90712750,BBB
Shrimp Capital Realty,(904) 430-3999,Fernandina Beach,St. Augustine,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/fernandina-beach/profile/real-estate-broker/shrimp-capital-realty-0403-236022706,BBB
"Kimberly Price, Iron ValleyRealEstate",(904) 613-4868,76000 William Burgess Blvd Unit 2,Yulee,FL,32097,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/yulee/profile/real-estate-agent/price-is-right-realty-0403-236024675,BBB
Mary Lynn Realty,(386) 788-4338,1301 Beville Rd STE 21,Daytona Beach,FL,32119,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/daytona-beach/profile/real-estate/mary-lynn-realty-0733-4000197,BBB
