name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
VIP Realty,(956) 399-7777,San Benito,Edinburg,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-benito/profile/real-estate-agent/vip-realty-0915-90049408,BBB
"Coastline Properties, Inc.",(361) 949-0101,14717 S Padre Island Dr,Corpus Christi,TX,78418,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate/coastline-properties-inc-0825-136128,BBB
Gary Graham Realty,(361) 949-9050,14613 S Padre Island Dr,Corpus Christi,TX,78418,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/property-management/gary-graham-realty-0825-103212,BBB
Berkshire Hathaway HomeServicesRealEstateCenter,(361) 949-7033,14200 S Padre Island Dr,Corpus Christi,TX,78418,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate/berkshire-hathaway-homeservices-real-estate-center-0825-133944,BBB
Group OneRealEstate,(361) 991-9111,5302 Everhart Rd,Corpus Christi,TX,78411,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate/group-one-real-estate-0825-101896,BBB
Kessling Services,(361) 857-6789,4437 Dolphin Place,Corpus Christi,TX,78411,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate/kessling-services-0825-101637,BBB
Conner Coastal Homes,(361) 749-1884,1726 State Highway 361 Ste B,Port Aransas,TX,78373,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/port-aransas/profile/home-builders/conner-coastal-homes-0825-1000176024,BBB
Kite and Key Realty,(361) 742-5483,919 State Highway 361,Port Aransas,TX,78373,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/tx/port-aransas/profile/real-estate/kite-and-key-realty-0825-1000251386,BBB
Circle 3 Outdoors,(361) 533-1938,615 S Highway 37 Access,George West,TX,78022,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/george-west/profile/hunting/circle-3-outdoors-0825-90078019,BBB
BeevilleHomeRealEstateBrokerage,(361) 358-8777,700 N Washington St Suite 2,Beeville,TX,78102,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/beeville/profile/real-estate-broker/beevillehome-real-estate-brokerage-0825-1000111876,BBB
Amistad Realty,(956) 994-0060,1512 Dove Ave Suite B,Mcallen,TX,78504,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/mcallen/profile/real-estate-agent/amistad-realty-0915-90003061,BBB
Ron D. Atkins Inc./Primier Realty Services,,5111 N. 10th Street,Mcallen,TX,78504,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/mcallen/profile/real-estate-agent/ron-d-atkins-incprimier-realty-services-0915-90009630,BBB
Hacienda Home Sellers,(956) 467-5896,916 W Nolana Loop Ste C,Pharr,TX,78577,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/pharr/profile/real-estate-agent/hacienda-home-sellers-0915-90037231,BBB
Capri Realty,(956) 992-9120,2425 Buddy Owens Blvd,"McAllen,",TX,78504,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/mcallen/profile/real-estate-agent/capri-realty-0915-90044020,BBB
Pegasus RealtyEstate,(956) 249-2255,413 W Nolana Ave,Mcallen,TX,78504,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/mcallen/profile/real-estate-agent/pegasus-realty-estate-0915-90050643,BBB
Re/Max Hacienda Property Management,(956) 782-9222,2201 North Sugar Road,Pharr,TX,78577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/pharr/profile/real-estate-agent/remax-hacienda-property-management-0915-90014304,BBB
Mormax Development LLC,(956) 607-4311,208 W Ferguson Suite 1,Pharr,TX,78577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/pharr/profile/real-estate-agent/mormax-development-llc-0915-90037096/addressId/130306,BBB
McAllen Realty,(956) 687-7172,McAllen,Edinburg,TX,,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/mcallen/profile/real-estate-broker/mcallen-realty-0915-90050141,BBB
Arnold Celis Realty LLC,(956) 205-1753,2303 N Ed Carey Dr,Harlingen,TX,78550,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/harlingen/profile/real-estate-agent/arnold-celis-realty-llc-0915-90059274,BBB
South Padre Condo Ladies,(956) 367-1285,5550 Gulf Bld,South Padre Island,TX,78597,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/south-padre-island/profile/real-estate-agent/south-padre-condo-ladies-0915-90050613,BBB
Zakk Properties,(361) 592-3364,2115 Golf Course Rd,Kingsville,TX,78363,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/kingsville/profile/real-estate-agent/zakk-properties-0825-1000166536,BBB
Hawks Landing,(866) 683-5972,2101 E Trant Rd,Kingsville,TX,78363,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/tx/kingsville/profile/apartments/hawks-landing-0825-150969/addressId/87276,BBB
Javelina Station Apartments,(866) 683-5972,1300 W Corral Ave,Kingsville,TX,78363,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/tx/kingsville/profile/apartments/javelina-station-apartments-0825-90112810/addressId/144636,BBB
"Abbey HomesRealEstate, Inc.",(361) 939-9008,1828 Waldron Rd,Corp Christi,TX,78418,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/corp-christi/profile/real-estate-agent/abbey-homes-real-estate-inc-0825-1000139599,BBB
"Gabriel LopezRealEstate, Realtor®",(361) 371-9779,7705 Cattlemen Drive,Corpus Christi,TX,78414,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/gabriel-lopez-real-estate-realtor%C2%AE-0825-1000252613,BBB
Patrick Espinar Corpus Christi Realtor,(361) 585-0393,5337 Yorktown Blvd Suite 4B1,Corpus Christi,TX,78413,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/patrick-espinar-corpus-christi-realtor-0825-1000251488,BBB
Faith SolizRealEstate,(361) 342-5916,7942 Fox Dr,Corpus Christi,TX,78414,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/faith-soliz-real-estate-0825-1000233725,BBB
"Gary Henicke, Agent at KM PremierRealEstate",(361) 244-5053,7002 S Staples St,"Suite 104 , Corpus Christi",TX,78413,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/gary-henicke-agent-at-km-premier-real-estate-0825-1000251314,BBB
Gabriel GomezRealEstate,(361) 992-7253,5350 S Staples St,Corpus Christi,TX,78411,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/gabriel-gomez-real-estate-0825-1000105903,BBB
Piper & AssociatesRealEstate,(361) 814-5478,6000 S Padre Island Dr Ste 217,Corpus Christi,TX,78412,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/piper-associates-real-estate-0825-1000238255,BBB
Sari Patterson,(361) 548-0023,4518 Everhart Rd Ste 101,Corpus Christi,TX,78411,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/sari-patterson-0825-1000131524,BBB
Access Realty: Diane Gatica,(361) 688-7555,4455 S Padre Island Dr.,Corpus Christi,TX,78411,,,Real Estate Agent,,Real Estate Agent,,,B-,,,https://www.bbb.org/us/tx/corpus-christi/profile/real-estate-agent/access-realty-diane-gatica-0825-1000208631,BBB
