name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
3TLP,(615) 456-9721,Arrington,Lebanon,TN,,,,"Home Builders, General Contractor, Construction Services",,,,,A+,,,https://www.bbb.org/us/tn/arrington/profile/home-builders/3tlp-0573-37140159,BBB
"931 Home Services, LLC",(615) 681-0660,304 Lake Hills Rd,Tullahoma,TN,37388,,,"Home Services, Roofing Contractors, Plumber",,,,,A+,,,https://www.bbb.org/us/tn/tullahoma/profile/home-services/931-home-services-llc-0573-37368690,BBB
A & M Mechanical Services,(615) 866-0145,6035 Panama Dr,Hermitage,TN,37076,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/hermitage/profile/heating-and-air-conditioning/a-m-mechanical-services-0573-37112583/addressId/83810,BBB
A Plus Heating & Cooling Inc,(615) 597-7475,461 W Main Street,Smithville,TN,37166,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/tn/smithville/profile/heating-and-air-conditioning/a-plus-heating-cooling-inc-0573-37028146,BBB
"A-Action AirHVAC, Inc.",(615) 366-8030,2601 Cruzen Street,Nashville,TN,37211,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/heating-and-air-conditioning/a-action-air-hvac-inc-0573-37068359,BBB
"A-Team Services, Inc.",(615) 754-2410,9621A Lebanon Rd,Mount Juliet,TN,37122,,,"Parking Lot Maintenance, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/tn/mount-juliet/profile/parking-lot-maintenance/a-team-services-inc-0573-24103514,BBB
AAA Express Service Company,(615) 573-9717,74 Tusculum Rd,Antioch,TN,37013,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/antioch/profile/air-conditioning-contractor/aaa-express-service-company-0573-37207338/addressId/102299,BBB
"Above AllMechanical, LLC",(502) 957-4596,3555 New Shepherdsville Rd # 1,Bardstown,KY,40004,,,"Heating Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ky/bardstown/profile/heating-contractors/above-all-mechanical-llc-0402-16,BBB
AC Comfort Solutions LLC,(629) 239-0079,225 John R Rice Blvd Apt E16,Murfreesboro,TN,37129,,,"Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tn/murfreesboro/profile/heating-and-air-conditioning/ac-comfort-solutions-llc-0573-37327818,BBB
"Accurate Contracting Services, Inc.",(865) 394-9869,2920 Byington Solway Rd STE A,Knoxville,TN,37931,,,"General Contractor, Roofing Contractors, Construction Services",,,,,A+,,,https://www.bbb.org/us/tn/knoxville/profile/general-contractor/accurate-contracting-services-inc-0533-90024651,BBB
"ACS Heating Cooling PlumbingMechanicalElectrical, LLC",(615) 259-4111,540 Highway 70,Pegram,TN,37143,,,"Heating Contractors, Heating and Air Conditioning, Mechanical Contractors",,,,,A-,,,https://www.bbb.org/us/tn/pegram/profile/heating-contractors/acs-heating-cooling-plumbing-mechanical-electrical-llc-0573-37378975,BBB
ACS Homebuilders,(615) 533-1244,2410 Plumnelly Ln,Greenbrier,TN,37073,,,"Home Builders, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tn/greenbrier/profile/home-builders/acs-homebuilders-0573-37054994,BBB
Action Mechanical,(615) 218-9275,195 Industrial Blvd,La Vergne,TN,37086,,,"Heating and Air Conditioning, Plumber, Electrician",,,,,A+,,,https://www.bbb.org/us/tn/la-vergne/profile/heating-and-air-conditioning/action-mechanical-0573-37377766,BBB
"Adams Construction & Interiors, Inc.",(629) 209-1230,107 Circle Dr,Cottontown,TN,37048,,,"General Contractor, Painting Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/tn/cottontown/profile/general-contractor/adams-construction-interiors-inc-0573-37000036,BBB
"Adams Construction & Interiors, Inc.",(615) 351-9849,PO Box 392,White House,TN,37188,,,"General Contractor, Painting Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/tn/white-house/profile/general-contractor/adams-construction-interiors-inc-0573-37000036/addressId/28739,BBB
