name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1st Source Heating & Air,(404) 392-2049,Covington,Atlanta,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/heating-and-air-conditioning/1st-source-heating-air-0443-27603546/addressId/149967,BBB
4 Seasons Heating &Air,(678) 367-0433,5876 Atlanta Hwy,Alpharetta,GA,30004,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/alpharetta/profile/heating-and-air-conditioning/4-seasons-heating-air-0443-5210,BBB
4th GenerationMechanical,(404) 907-1924,Duluth,Atlanta,GA,,,,"Plumber, Drainage Contractors, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/us/ga/duluth/profile/plumber/4th-generation-mechanical-0443-91824805,BBB
"A + Property Restoration, Inc.",(404) 456-2999,955 Tree Top Dr,Suwanee,GA,30024,,,"Roofing Contractors, Home Improvement, Remodeling",,,,,A+,,,https://www.bbb.org/us/ga/suwanee/profile/roofing-contractors/a-property-restoration-inc-0443-91842811,BBB
A ActionAirConditioning& Heating Co.,(912) 897-2247,7336 Lee Rd,Lithia Springs,GA,30122,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/lithia-springs/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0443-28130465/addressId/193022,BBB
A Team Services,(770) 516-5165,4703A Ecton Dr,Marietta,GA,30066,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/marietta/profile/heating-and-air-conditioning/a-team-services-0443-13001572,BBB
"A Team Services Heating &Air, Inc.",(770) 516-5165,4703A Ecton Dr,Marietta,GA,30066,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/marietta/profile/heating-and-air-conditioning/a-team-services-0443-13001572,BBB
A&D ProServ,(844) 966-1502,2330 Scenic Hwy S,Snellville,GA,30078,,,"Fire and Water Damage Restoration, Painting Contractors, Cleaning Services",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/fire-water-damage-restoration/ad-proserv-0443-91841960,BBB
A-1 Heating &AirConditioning,(770) 921-4662,2447 Hurndon Rd,Snellville,GA,30078,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/heating-and-air-conditioning/a-1-heating-air-conditioning-0443-27307866,BBB
A-1 Skill TechAirRepair,(770) 853-6565,PO Box 490749,College Park,GA,30349,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/college-park/profile/heating-and-air-conditioning/a-1-skill-tech-air-repair-0443-4302,BBB
A. SaylorAirConditioning& Heating,(770) 424-0360,PO Box 1344,Kennesaw,GA,30156,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/kennesaw/profile/heating-and-air-conditioning/a-saylor-air-conditioning-heating-0443-13002474,BBB
