name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Blackwell Realty,(251) 626-9570,1203 US Highway 98 Ste 1A,Daphne,AL,36526,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/daphne/profile/real-estate-agent/blackwell-realty-0463-90195347,BBB
Mount Eagle Realty LLC,(251) 445-8070,328 S Sage Ave Ste 207,Mobile,AL,36606,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/mobile/profile/real-estate/mount-eagle-realty-llc-0463-1000002970,BBB
"LLB&B, Inc.RealEstate",(251) 342-3200,3315A Old Shell Rd,Mobile,AL,36607,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/mobile/profile/real-estate/llbb-inc-real-estate-0463-14110,BBB
"John Howard Companies, Inc.",(251) 639-1155,6156 Omni Park Dr,Mobile,AL,36609,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/mobile/profile/custom-home-builder/john-howard-companies-inc-0463-10124,BBB
Brett/RobinsonRealEstateSales,(251) 675-3756,1090 Industrial Pkwy,Saraland,AL,36571,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/saraland/profile/real-estate/brettrobinson-real-estate-sales-0463-810042,BBB
"AnchorRealEstate, LLC",(251) 861-5000,1119 Desoto Ave,Dauphin Island,AL,36528,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/dauphin-island/profile/real-estate-agent/anchor-real-estate-llc-0463-16000648/addressId/9585,BBB
Beck PropertiesRealEstate,(251) 758-2970,6808 Airport Blvd Ste E,Mobile,AL,36608,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/mobile/profile/real-estate-agent/beck-properties-real-estate-0463-1000026894,BBB
RE/MAX of Orange Beach,(251) 981-2400,26021 Perdido Beach Blvd,Orange Beach,AL,36561,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/al/orange-beach/profile/real-estate/remax-of-orange-beach-0463-173503884,BBB
Century 21 AmeriSouth Realty,(850) 478-6800,2400 W Nine Mile Rd,Pensacola,FL,32534,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/pensacola/profile/real-estate-services/century-21-amerisouth-realty-0683-90015685,BBB
Emerald Coast Realty Pros,(850) 437-5618,125 W Romana St STE 620,Pensacola,FL,32502,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/pensacola/profile/real-estate/emerald-coast-realty-pros-0683-90001797,BBB
REMAX Horizons Realty,(850) 476-6000,1335 Creighton Rd,Pensacola,FL,32504,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/pensacola/profile/real-estate/remax-horizons-realty-0683-7000715,BBB
Manderson Realty Group,(850) 393-8739,913 Gulf Breeze Pkwy STE 39,Gulf Breeze,FL,32561,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/gulf-breeze/profile/real-estate/manderson-realty-group-0683-90032736,BBB
Milestone Groups LLC,(228) 231-9267,Bay St Louis,Daphne,AL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ms/bay-st-louis/profile/construction/milestone-groups-llc-0523-235907317,BBB
Corporate Realty,(504) 581-5005,201 Saint Charles Avenue,"Suite 4411 , New Orleans",LA,70170,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/la/new-orleans/profile/real-estate/corporate-realty-0985-9001016,BBB
RaymondRealEstateLLC,(504) 256-7877,333 Julia St,"#221 , New Orleans",LA,70130,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/la/new-orleans/profile/real-estate-broker/raymond-real-estate-llc-0985-90044312,BBB
REvitalize Property Solutions,(504) 621-1729,New Orleans,Daphne,AL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/la/new-orleans/profile/real-estate-development/revitalize-property-solutions-0985-90016162/addressId/45975,BBB
Demand Realty,(504) 837-3000,709 Aurora Avenue,"Ste. A , Metairie",LA,70005,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/la/metairie/profile/real-estate/demand-realty-0985-27000557,BBB
RE/MAX Commercial Brokers Inc,(504) 838-0001,3331 Severn Ave,"Suite 200 , Metairie",LA,70002,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/la/metairie/profile/real-estate-broker/remax-commercial-brokers-inc-0985-90041333,BBB
K & B Contractors LLC,(601) 507-7574,Conehatta,Daphne,AL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ms/conehatta/profile/home-builders/k-b-contractors-llc-0523-235900487,BBB
