name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
The Gonzalez Property Group LLC,(718) 650-0292,260 Madison Ave Fl 8,New York,NY,10016,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-agent/the-gonzalez-property-group-llc-0121-87183123,BBB
Buchbinder & Warren LLC,(212) 243-2200,1 Union Square West,New York,NY,10003,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/property-management/buchbinder-warren-llc-0121-111844,BBB
O'Kane Realty,(718) 779-1111,72-01 Grand Avenue,Maspeth,NY,11378,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/maspeth/profile/real-estate/okane-realty-0121-117365,BBB
"Foxworth Realty, Inc.",(212) 368-4902,360 W 125th St Ste 11,New York,NY,10027,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-broker/foxworth-realty-inc-0121-87170348,BBB
SFRealEstateNYS Inc,(347) 401-3354,343 Leland Ave,Bronx,NY,10473,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/juan-a-sanchez-exp-realty-0121-87176395,BBB
Fave Realty Inc.,(516) 519-8049,906 E 180th St Ste 201,Bronx,NY,10460,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/fave-realty-inc-0121-146711/addressId/230870,BBB
Quicksale Home Realty Inc.,(718) 725-7472,11233 Hannibal St,Saint Albans,NY,11412,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/saint-albans/profile/real-estate-broker/quicksale-home-realty-inc-0121-87177011,BBB
Vision Alliance Realty Inc.,(718) 994-6557,1103 E Gun Hill Rd,Bronx,NY,10469,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bronx/profile/real-estate/vision-alliance-realty-inc-0121-87134082,BBB
Weichert Realtors Home City,(201) 293-6333,112 Jabez St Ste 106,Newark,NJ,07105,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/newark/profile/real-estate-agent/weichert-realtors-home-city-0221-90219986,BBB
Common UnityRealEstateLLC,(973) 320-9193,135 Main St Ste 305,Belleville,NJ,07109,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/belleville/profile/real-estate-development/common-unity-real-estate-llc-0221-90189719,BBB
PadOwl LLC,(888) 572-3695,1957 Richmond Ter,Staten Island,NY,10302,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/staten-island/profile/real-estate-agent/padowl-llc-0121-87170296,BBB
