name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Sell Direct Iowa,(515) 444-5155,Des Moines,Pleasant Hill,IA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/home-buyers/sell-direct-iowa-0664-32157618,BBB
Lane Investments,(515) 705-0277,825 41st St,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/lane-investments-0664-32071459,BBB
SoldFast,(515) 218-9196,8509 Franklin Ave,Clive,IA,50325,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ia/clive/profile/home-buyers/soldfast-0664-32157553,BBB
"NaigRealEstate, LLC",(515) 499-3414,3361 NW 81st Ln,Ankeny,IA,50023,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/ankeny/profile/real-estate-investing/we-buy-houses-in-des-moines-0664-32134183,BBB
"VIA Group, Realtors",(515) 661-2818,2700 Westown Pkwy Ste 200,West Des Moines,IA,50266,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate/via-group-realtors-0664-32123575,BBB
"Sanav Property Management, LLC",(515) 823-0228,4500 Westown Pkwy Ste 115,West Des Moines,IA,50266,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/west-des-moines/profile/property-management/sanav-property-management-llc-0664-32147721,BBB
Furman Corporation,(515) 232-8884,2607 Northridge Pkwy,Ames,IA,50010,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/ames/profile/real-estate/furman-corporation-0664-22001218,BBB
"Francisco Zambrano – Realtor, RE/MAX Precision",(641) 352-9421,132 W Main St,Marshalltown,IA,50158,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/marshalltown/profile/real-estate/francisco-zambrano-realtor-remax-precision-0664-32159206,BBB
Pinnacle Realty LLC,,1918 Saint Andrews Ct NE,Cedar Rapids,IA,52402,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/cedar-rapids/profile/real-estate/pinnacle-realty-llc-0664-32123382,BBB
"Heartland Properties, Inc.",(712) 325-0445,535 W Broadway # 100,Council Bluffs,IA,51503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/council-bluffs/profile/real-estate/heartland-properties-inc-0714-104004554,BBB
"HikeRealEstate, P.C.",(402) 291-2500,114 E Mission Ave,Bellevue,NE,68005,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/bellevue/profile/real-estate/hike-real-estate-pc-0714-300091440,BBB
Revel Realty,(402) 291-0814,1313 Harlan Drive,Bellevue,NE,68005,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/bellevue/profile/real-estate-broker/revel-realty-0714-300092437,BBB
Nebraska Realty,(402) 491-0100,105 N 31st Ave STE 102,Omaha,NE,68131,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/nebraska-realty-0714-118000174/addressId/53229,BBB
Castro Realty Group,(402) 319-0093,4018 L St,Omaha,NE,68107,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/castro-realty-group-0714-300105317,BBB
"A Simple Nest, LLC",(402) 850-5660,Omaha,Pleasant Hill,IA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/senior-services/a-simple-nest-llc-0714-300184081,BBB
KLRealEstate,(319) 325-3852,2497 N Sycamore Haven Dr,Nauvoo,IL,62354,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/il/nauvoo/profile/real-estate-agent/kl-real-estate-0734-1000051865,BBB
Stay Home,(402) 880-4003,7801 Pacific St,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/stay-home-0714-600004817,BBB
BirnstihlRealEstateGroup-Berkshire Hathaway Home Services AmbassadorRealEstate,(402) 669-0415,10404 Essex Ct Ste 201,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate-agent/birnstihl-real-estate-group-berkshire-hathaway-home-services-ambassador-real-estate-0714-1000059077,BBB
NP Dodge Company,(402) 397-4900,8701 W Dodge Rd STE 300,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/np-dodge-company-0714-104000388,BBB
"HikeRealEstate, P.C.",(402) 320-2500,114 E 1st St,Papillion,NE,68046,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/papillion/profile/real-estate/hike-real-estate-pc-0714-300091440/addressId/123249,BBB
Nebraska Realty,(402) 505-6225,304 Olson Dr STE 207,Papillion,NE,68046,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/papillion/profile/real-estate/nebraska-realty-0714-118000174/addressId/53231,BBB
