name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Tierra Antigua Realty, LLC",(520) 544-2335,415 W Main St,Safford,AZ,85546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/safford/profile/real-estate/tierra-antigua-realty-llc-1286-20000089/addressId/46658,BBB
Mesquite Ranch Realty Inc,(520) 766-6778,145 N Curtis Ave,Ft Grant,AZ,85643,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/ft-grant/profile/real-estate/mesquite-ranch-realty-inc-1286-20107064,BBB
"Novoa Realty, LLC",(520) 249-0840,1065 F Ave STE 5,Douglas,AZ,85607,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/douglas/profile/real-estate-agent/novoa-realty-llc-1286-20080454,BBB
Coldwell Banker Desert Lakes Realty,(575) 744-4960,PO Box 1083,Elephant Butte,NM,87935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nm/elephant-butte/profile/real-estate/coldwell-banker-desert-lakes-realty-0806-44009/addressId/73490,BBB
Celina Murrieta-Gonzales PLLC,(520) 237-0940,PO Box 51,Alpine,AZ,85920,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/az/alpine/profile/real-estate-agent/celina-murrieta-gonzales-pllc-1126-1000158106/addressId/782161,BBB
Cody Hoyer of ERA Four Feathers Realty,(801) 920-8857,1956 Crestwood Dr,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/cody-hoyer-of-era-four-feathers-realty-1286-20102379/addressId/47763,BBB
"Jocelyn T Lawley, Long Realty",(520) 266-2568,2363 E Fry Blvd,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/jocelyn-t-lawley-long-realty-1286-20110435,BBB
"Aurora Sky Realty, LLC",(520) 685-8210,1843 Paseo San Luis Ste A,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/aurora-sky-realty-llc-1286-20101843,BBB
Keller Williams Realtor Sierra Vista I Brandon & Krystal Winters | PatrioticRealEstateGroup,(520) 604-0014,185 S Moorman Ave,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/keller-williams-realtor-sierra-vista-i-brandon-krystal-winters---patriotic-real-estate-group-1286-20126181,BBB
"Shari M. Ward, PLLC Realtor",(520) 236-4279,705 E Wilcox Dr,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/shari-m-ward-pllc-realtor-1286-20104837,BBB
"Merritt Realty Management, LLC",(520) 795-3100,3022 N Sourdough Pl,Tucson,AZ,85749,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/property-management/merritt-realty-management-llc-1286-23448,BBB
Mystery HouseRealEstate@ Realty Executives Arizona Territory,(520) 971-2832,6444 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/az/tucson/profile/real-estate/mystery-house-real-estate-realty-executives-arizona-territory-1286-20126015,BBB
Indie Realty LLC,(520) 777-8973,7255 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-broker/indie-realty-llc-1286-20122486,BBB
"Michelle Bakarich PLLC, HomeSmart Advantage Group",(520) 991-6234,7481 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/michelle-bakarich-pllc-homesmart-advantage-group-1286-20125626,BBB
Judy Petersen of Coldwell Banker Realty,(520) 289-5436,11165 N La Canada Dr STE 175,Oro Valley,AZ,85737,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/oro-valley/profile/real-estate/judy-petersen-of-coldwell-banker-realty-1286-20089171,BBB
"Bidegain Realty, Inc.",(520) 886-9877,8755 E Broadway Blvd,Tucson,AZ,85710,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/bidegain-realty-inc-1286-386,BBB
"The Gavlick Group, Tierra Antigua Realty",(520) 548-8548,7423 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/the-gavlick-group-tierra-antigua-realty-1286-20088608,BBB
Marc Martinez Realty Executives Arizona Territory,(520) 271-6175,6444 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/marc-martinez-realty-executives-arizona-territory-1286-20090835,BBB
"Charlie Spaulding III,RealEstateAgent",(520) 488-9091,3248 N White Heather Pl,Tucson,AZ,85750,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/charlie-spaulding-iii-real-estate-agent-1286-20095799,BBB
House Buyers USA LLC,(520) 600-6583,4801 E Broadway Blvd Ste 401,Tucson,AZ,85711,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-services/house-buyers-usa-llc-1286-20109291,BBB
Sell to Alan,(520) 404-0700,4007 E Paradise Falls Dr Ste 125,Tucson,AZ,85712,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/sell-to-alan-1286-20103632,BBB
"Jody Raetzman, Tierra Antigua Realty",(520) 730-0765,1650 E River Rd Ste 202,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/jody-raetzman-tierra-antigua-realty-1286-20052935,BBB
Jackie TRealEstateLLC,(520) 850-1093,2890 E Skyline Dr Ste 250,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/jackie-lee-tucson-realtor-1286-20124674,BBB
Barbara Bailor of Long Realty,(520) 665-3089,4051 E Sunrise Dr Ste 101,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/barbara-bailor-of-long-realty-1286-20104737,BBB
Jose Flores with Realty Executives,(520) 484-3693,3300 E Sunrise Dr,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/jose-flores-with-realty-executives-1286-20126069,BBB
James Barnhart of Tierra Antigua Realty,(520) 404-2040,1650 E River Rd Ste 202,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/james-barnhart-of-tierra-antigua-realty-1286-20103380,BBB
Gabrielle Feinholtz of Coldwell Banker Realty,(520) 603-5899,2890 E Skyline Dr Ste 250,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/gabrielle-feinholtz-of-coldwell-banker-realty-1286-20127718,BBB
Kasandra Prieto Realtor with Coldwell Banker Realty,(520) 349-3248,2890 E Skyline Dr Ste 250,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/kasandra-prieto-realtor-with-coldwell-banker-realty-1286-20125490,BBB
Deshay Ramos Omni Homes International,(520) 834-7237,Tucson,Lordsburg,NM,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/deshay-ramos-omni-homes-international-1286-20125363,BBB
Talk to Dina Team at EXP Realty,(520) 245-2454,770 N. Country Club Rd,Tucson,AZ,85716,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/talk-to-dina-team-at-exp-realty-1286-20089302,BBB
TucsonRealEstatewith Brad & Sebastian,(520) 247-3160,1650 E River Rd Ste 202,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/tucson-real-estate-with-brad-sebastian-1286-20126094,BBB
"Via Realty, LLC",(520) 327-1550,2030 E Broadway Blvd Ste 108,Tucson,AZ,85719,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/via-realty-llc-1286-20001847,BBB
"Marnie Miserendino, Agent @ Graham MH Sales",(520) 667-7110,Tucson,Lordsburg,NM,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/marnie-miserendino-agent-graham-mh-sales-1286-20128955,BBB
Gomez Realty Solutions,(915) 926-9664,7391 Remcon Cir,El Paso,TX,79912,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/gomez-realty-solutions-0895-99174980,BBB
Bryan Alvarez of the Alliance Group,(520) 955-3295,5401 N Oracle Rd Ste 101,Tucson,AZ,85704,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/bryan-alvarez-of-the-alliance-group-1286-20110388,BBB
"Christopher Reid, Realtor - RE/MAX Professionals",(520) 248-6800,Tucson,Lordsburg,NM,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/christopher-reid-realtor-remax-professionals-1286-20127742,BBB
"Marsee WilhemsRealEstateGroup, LLC.",(520) 885-9000,5405 N Oracle Rd STE 165,Tucson,AZ,85704,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/marsee-wilhems-group-1286-20004445,BBB
"Brenda O'Brien Team, Long Realty Company",(520) 906-2897,8540 N Oracle Rd,Oro Valley,AZ,85704,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/oro-valley/profile/real-estate-services/brenda-obrien-team-long-realty-company-1286-20076375,BBB
"Jess Horne, ABR Realtor",(520) 481-9200,8540 N Oracle Rd Buld 2,Oro Valley,AZ,85704,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/oro-valley/profile/real-estate/jess-horne-abr-realtor-1286-20031421,BBB
"Vicki Watson, Realty One Group Integrity",(520) 204-3474,7445 N Oracle Rd Ste 201,Tucson,AZ,85704,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/vicki-watson-realty-one-group-integrity-1286-20103546/addressId/54407,BBB
Cimarron Properties,(520) 888-3883,2460 W Ruthrauff Rd STE 196,Tucson,AZ,85705,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/property-management/cimarron-properties-1286-21866/addressId/7117,BBB
Veronica Garcia of Tierra Antigua Realty,(520) 245-9602,7380 N La Cholla Blvd,Tucson,AZ,85741,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/veronica-garcia-of-tierra-antigua-realty-1286-20125904,BBB
Rita Ulloa-Realtor,(303) 437-0013,1701 Bassett Ave Ste 142,El Paso,TX,79901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-consultant/rita-ulloa-realtor-0895-99172423,BBB
Tina Young of Long Realty,(520) 490-0178,4040 N Paseo de los Rancheros,Tucson,AZ,85745,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/tina-young-of-long-realty-1286-20089952,BBB
"Vickie Stauffer/Robert Frasher, HomeSmart Pros",(520) 449-3620,101 S La Canada Dr Ste 63,Green Valley,AZ,85614,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/green-valley/profile/real-estate/vickie-staufferrobert-frasher-homesmart-pros-1286-20103385,BBB
Martha Koslowsky of Tierra Antigua Realty,(520) 484-8638,18745 S I 19 Frontage Rd Ste A105,Madera Canyon,AZ,85614,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/madera-canyon/profile/real-estate-agent/martha-koslowsky-of-tierra-antigua-realty-1286-20088103,BBB
Century 21 Sunshine Realty,(928) 537-7121,69 West Deuce of Clubs,Show Low,AZ,85901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/show-low/profile/real-estate/century-21-sunshine-realty-1126-10006179,BBB
"Jennifer Shrader, Copper View Realty",(520) 440-3458,115 W Esperanza Blvd Ste 115F Ste A-105,Green Valley,AZ,85614,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/green-valley/profile/real-estate/jennifer-shrader-copper-view-realty-1286-20108136,BBB
