name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1912 Roofing and Services,(346) 528-7499,112 W Way Street,Lake Jackson,TX,77566,,,"Roofing Contractors, General Contractor, Construction Services",,,,,A,,,https://www.bbb.org/us/tx/lake-jackson/profile/roofing-contractors/1912-roofing-and-services-0915-90074756,BBB
24Seven AC,(713) 832-5545,2415 S Dairy Ashford Rd Ste C05,Houston,TX,77077,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/24seven-ac-0915-90069728/addressId/190751,BBB
314 Roofing Solutions,(832) 688-8363,6824 N Sam Houston Pkwy W,Houston,TX,77064,,,"Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/roofing-contractors/314-roofing-solutions-0915-90040954,BBB
713Roof.com,(713) 824-4208,1820 McClelland St,Houston,TX,77093,,,"Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/roofing-contractors/713roofcom-0915-90005091,BBB
A & K Remodeling & Turnkey,(281) 647-6871,19007 Fern Shadows Ct,Houston,TX,77084,,,"Remodeling, Painting Contractors, Bathroom Remodel",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/remodeling/a-k-remodeling-turnkey-0915-81527,BBB
A A Cann MechanicalAirConditioning/Htg,(281) 458-2258,12718 Unison Rd,Houston,TX,77044,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/aacann-mechanical-inc-0915-56759,BBB
A-1 Tops Services,(713) 783-2665,8950 Westpark Dr Ste 305,Houston,TX,77063,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/a-1-tops-services-0915-27101,BBB
A-Team Roofing & Construction,(832) 392-6986,Huffman,West Odessa,TX,,,,"Roofing Contractors, General Contractor, Remodeling",,,,,A+,,,https://www.bbb.org/us/tx/huffman/profile/roofing-contractors/a-team-roofing-construction-0915-90067285,BBB
"A-Team's A/C & Heating, LLC",(281) 838-6167,PO Box 3105,League City,TX,77574,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/tx/league-city/profile/heating-and-air-conditioning/a-teams-ac-heating-llc-0915-90074043/addressId/196459,BBB
A. C. S.Mechanical,(281) 379-7933,PO Box 73683,Houston,TX,77273,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/a-c-s-mechanical-0915-49000340,BBB
A.A.C. MechanicalAir-Condition & Heating,(713) 304-5449,9900 Westpark Dr Ste 114,Houston,TX,77063,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/aac-mechanical-0915-80682,BBB
A.A.C.Mechanical,(713) 304-5449,9900 Westpark Dr Ste 114,Houston,TX,77063,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/aac-mechanical-0915-80682,BBB
"A.C.I. Mechanical, Inc.",(713) 688-1029,2016 Lou Ellen Ln,Houston,TX,77018,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/aci-mechanical-inc-0915-31004796,BBB
A.T.Mechanical,(281) 557-4774,1401 W League City Pkwy Ste 18,League City,TX,77573,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/league-city/profile/air-conditioning-contractor/at-mechanical-0915-20000472,BBB
