name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Red Wagon Properties, Inc",(210) 695-1100,17503 La Cantera Pkwy # 104-496,San Antonio,TX,78257,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/red-wagon-properties-inc-0825-90066584,BBB
Corie Properties Group,(210) 824-1115,4901 Broadway St Ste 132,San Antonio,TX,78209,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/corie-properties-group-0825-90116196,BBB
Bella Capital,(210) 901-0149,7410 Blanco Rd Ste 333,San Antonio,TX,78216,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/bella-capital-0825-1000239588,BBB
"Q Commercial Management andRealEstate, LLC",(210) 625-6696,9862 Lorene Ln Ste 110,San Antonio,TX,78216,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/q-commercial-management-and-real-estate-llc-0825-1000149442,BBB
Tag Team Property Solutions,(210) 419-1675,San Antonio,San Antonio,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/home-buyers/tag-team-property-solutions-0825-1000219527,BBB
PRYME Home Solutions LLC,(210) 964-8778,11230 West Ave Ste 2204,San Antonio,TX,78213,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/home-buyers/pryme-home-solutions-llc-0825-1000166015,BBB
Helping Hand Home Buyers,(210) 247-2244,San Antonio,San Antonio,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate-investing/helping-hand-home-buyers-0825-1000133413,BBB
"Casa Cantera Property Management, LLC",(210) 890-1989,4204 Gardendale St Ste 308,San Antonio,TX,78229,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/tx/san-antonio/profile/property-management/casa-cantera-property-management-llc-0825-1000234793,BBB
"Joyce KleinRealEstateBrokers, Inc",(210) 691-2200,4416 Ramsgate St Ste 102,San Antonio,TX,78230,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/joyce-klein-realtors-0825-23682,BBB
HQC Homebuyers,(806) 414-2696,San Antonio,San Antonio,TX,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/san-antonio/profile/home-buyers/hqc-homebuyers-0825-1000229457,BBB
"Wakefield Realtors, Inc.",(210) 490-7039,17020 San Pedro Ave,San Antonio,TX,78232,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/property-management/wakefield-realtors-inc-0825-16165,BBB
"NetWorth Realty of San Antonio, LLC",(888) 998-9688,1355 Pantheon Way Ste 100,Hollywood Park,TX,78232,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/hollywood-park/profile/real-estate/networth-realty-of-san-antonio-llc-0825-90045006/addressId/408108,BBB
"Windrose Realty, LLC",(210) 560-4576,18911 Hardy Oak Blvd,San Antonio,TX,78258,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate-agent/windrose-realty-llc-0825-1000232022,BBB
Bejar Realty LLC,(210) 394-5176,5130 Timberhurst,San Antonio,TX,78250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/bejar-realty-llc-0825-1000109069,BBB
Remax Alamo Realty,(210) 682-9898,10350 Bandera Rd Ste 300,San Antonio,TX,78250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/real-estate/remax-alamo-realty-0825-63066,BBB
