name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1-800-Plumber +Air & Electric,(806) 622-3862,PO Box 32525,Amarillo,TX,79120,,,"Plumber, Electrician, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/tx/amarillo/profile/plumber/1-800-plumber-air-electric-0815-98010136/addressId/3400,BBB
"1st Choice Air Conditioning & Heating, LLC",(575) 390-0509,511 W Woodfin Dr,Hobbs,NM,88242,,,Heating and Air Conditioning,,,,,A,,,https://www.bbb.org/us/nm/hobbs/profile/heating-and-air-conditioning/1st-choice-air-conditioning-heating-llc-0806-99184940,BBB
3 Kings Roofing,(833) 314-7663,3203 118th St Ste 200,Lubbock,TX,79423,,,"Roofing Consultants, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/roofing-consultants/3-kings-roofing-0875-90408696/addressId/183908,BBB
360 Heat & Air,(806) 244-1730,104 N Jefferson St,Dalhart,TX,79022,,,Heating and Air Conditioning,,,,,,,,https://www.bbb.org/us/tx/dalhart/profile/heating-and-air-conditioning/360-heat-air-0815-99129278,BBB
"3CGeneralContracting, LLC",,1900 Rogers St,Amarillo,TX,79106,,,Building Contractors,,,,,,,,https://www.bbb.org/us/tx/amarillo/profile/building-contractors/3c-general-contracting-llc-0815-99128291,BBB
4B Electric,(806) 475-8890,105 Main St.,Turkey,TX,79261,,,"Electrician, Electrical Contractors, Electrical Wiring",,,,,A+,,,https://www.bbb.org/us/tx/turkey/profile/electrician/4b-electric-0815-99131000/addressId/11298,BBB
7M Roofing & Construction Group,(817) 900-6250,4311 Idalou Rd,Lubbock,TX,79403,,,"Roofing Contractors, General Contractor, Metal Roofing Contractors",,,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/roofing-contractors/7m-roofing-construction-group-0875-66798/addressId/25277,BBB
806 Concrete & Pools,(806) 747-0707,12006 Slide Rd,Lubbock,TX,79424,,,"Concrete Contractors, General Contractor, Decorative Concrete Contractors",,,,,,,,https://www.bbb.org/us/tx/lubbock/profile/concrete-contractors/806-concrete-pools-0875-33153,BBB
A & PMechanical,(806) 831-2188,3714 105th St,Lubbock,TX,79423,,,Residential Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/lubbock/profile/residential-air-conditioning-contractors/a-p-mechanical-0875-55780,BBB
A & R Plumbing Heating & Air,(806) 372-1572,PO Box 3447,Amarillo,TX,79116,,,"Heating and Air Conditioning, Plumber",,,,,A+,,,https://www.bbb.org/us/tx/amarillo/profile/heating-and-air-conditioning/a-r-plumbing-heating-air-0815-98040309/addressId/3615,BBB
"A & R Plumbing, Heating & A/C",(806) 894-2518,1494 W Ellis St,Levelland,TX,79336,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/levelland/profile/air-conditioning-contractor/a-r-plumbing-heating-ac-0875-14482,BBB
"A & SGeneralContractors, Inc.",(806) 355-8253,PO Box 7446,Amarillo,TX,79114,,,General Contractor,,,,,A+,,,https://www.bbb.org/us/tx/amarillo/profile/general-contractor/a-s-general-contractors-inc-0815-73060001/addressId/820,BBB
"A D RMechanical, LLC Dba C JMechanical",(940) 783-6017,2611 W 5th St,Plainview,TX,79072,,,"Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/tx/plainview/profile/air-conditioning-contractor/air-done-right-0875-67484,BBB
A Martinez Construction & Tree Service,(806) 548-7487,2118 31st St,Lubbock,TX,79411,,,"General Contractor, Painting Contractors, Fence Contractors",,,,,,,,https://www.bbb.org/us/tx/lubbock/profile/general-contractor/a-martinez-construction-tree-service-0875-55825,BBB
A Plus+ MechanicalPlumbing& HVAC,(580) 699-1081,800 Southeast 1st Street,Lawton,OK,73501,,,"Heating and Air Conditioning, Plumber",,,,,A,,,https://www.bbb.org/us/ok/lawton/profile/heating-and-air-conditioning/a-plus-mechanical-plumbing-hvac-0995-90116787,BBB
"A Reid's Air Conditioning,Heating&PlumbingInc.",(806) 795-7343,7612 66th St,Lubbock,TX,79407,,,"Heating and Air Conditioning, Plumber",,,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/heating-and-air-conditioning/a-reids-air-conditioning-heating-plumbing-inc-0875-64153,BBB
A-1 Plumbing,(806) 796-0206,PO Box 868,Wolfforth,TX,79382,,,"Plumber, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/wolfforth/profile/plumber/a-1-plumbing-0875-30949,BBB
A-1 Refrigeration,(806) 376-7780,2914 S Manhattan St,Amarillo,TX,79103,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/amarillo/profile/air-conditioning-contractor/a-1-refrigeration-0815-89050001,BBB
"A-PLUS Heating &AirConditioning, Inc",(806) 272-5175,PO Box 383,Muleshoe,TX,79347,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/muleshoe/profile/air-conditioning-contractor/a-plus-heating-air-conditioning-inc-0875-26526,BBB
A-Tex,(806) 622-2121,6903 W Mccormick Rd,Amarillo,TX,79118,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/tx/amarillo/profile/heating-and-air-conditioning/a-tex-0815-85110001,BBB
A-Town Hi-Tech,(806) 354-2490,7602 S Grand St,Amarillo,TX,79118,,,"General Contractor, Construction Services, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/tx/amarillo/profile/general-contractor/a-town-hi-tech-0815-95090003,BBB
