name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1st Source Heating & Air,(404) 392-2049,Covington,Jonesboro,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/heating-and-air-conditioning/1st-source-heating-air-0443-27603546/addressId/149967,BBB
4th Generation Mechanical,(404) 907-1924,Duluth,Jonesboro,GA,,,,"Plumber, Drainage Contractors, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/us/ga/duluth/profile/plumber/4th-generation-mechanical-0443-91824805,BBB
"A & K Heating & Air Conditioning, LLC",(770) 961-6016,382 Whitney Lane,McDonough,GA,30253,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/mcdonough/profile/heating-and-air-conditioning/a-k-heating-air-conditioning-llc-0443-27211368,BBB
"A + Property Restoration, Inc.",(404) 456-2999,955 Tree Top Dr,Suwanee,GA,30024,,,"Roofing Contractors, Home Improvement, Remodeling",,,,,A+,,,https://www.bbb.org/us/ga/suwanee/profile/roofing-contractors/a-property-restoration-inc-0443-91842811,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,7336 Lee Rd,Lithia Springs,GA,30122,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/lithia-springs/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0443-28130465/addressId/193022,BBB
"A Plus Comfort Heating And Air, Corporation",(678) 800-8175,Hampton,Jonesboro,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/hampton/profile/heating-and-air-conditioning/a-plus-comfort-heating-and-air-corporation-0443-27421820,BBB
"A to J Electrical Services, Inc.",(678) 300-8964,4717 Fulton Industrial Blvd SW,Atlanta,GA,30336,,,"Industrial Consultants, Electrician, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/ga/atlanta/profile/industrial-consultants/a-to-j-electrical-services-inc-0443-11004187,BBB
A&D ProServ,(844) 966-1502,2330 Scenic Hwy S,Snellville,GA,30078,,,"Fire and Water Damage Restoration, Painting Contractors, Cleaning Services",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/fire-water-damage-restoration/ad-proserv-0443-91841960,BBB
"A&H Heating and Air Conditioning, Inc.",(770) 335-7832,81 Brooks Dr,Stockbridge,GA,30281,,http://www.ahheatingair.com/stockbridge-hvac-company/,General Contractor,,,,,,4.9,,,Google Places
A-1 Heating &AirConditioning,(770) 921-4662,2447 Hurndon Rd,Snellville,GA,30078,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/heating-and-air-conditioning/a-1-heating-air-conditioning-0443-27307866,BBB
A-1 Skill Tech Air Repair,(770) 853-6565,PO Box 490749,College Park,GA,30349,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/college-park/profile/heating-and-air-conditioning/a-1-skill-tech-air-repair-0443-4302,BBB
"A-TotalPlumbing, LLC",(770) 233-7252,1060 Windward Ridge Pkwy Ste 100,Alpharetta,GA,30005,,,"Plumber, Heating and Air Conditioning, Drainage Contractors",,,,,A+,,,https://www.bbb.org/us/ga/alpharetta/profile/plumber/ace-hardware-home-services-0443-3001140/addressId/261084,BBB
"A.G.C. Heating andAir, LLC",(678) 361-0990,Lawrenceville,Jonesboro,GA,,,,"Residential Air Conditioning Contractors, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/lawrenceville/profile/residential-air-conditioning-contractors/agc-heating-and-air-llc-0443-27587233,BBB
"Aardvark Electric, Inc.",(404) 806-6851,3625 Clearview Pkwy,Atlanta,GA,30340,,,"Electrician, Electrical Contractors, Low Voltage Contractors",,,,,A+,,,https://www.bbb.org/us/ga/atlanta/profile/electrician/aardvark-electric-inc-0443-27511418,BBB
"Aaron Services:Plumbing,Heating,Cooling",(770) 284-5618,4255 Brogdon Exchange,Suwanee,GA,30024,,,"Plumber, Drainage Contractors, Sewer Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/suwanee/profile/plumber/aaron-services-plumbing-heating-cooling-0443-515,BBB
