name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
SoldFast,(346) 471-5924,2162 Spring Stuebner Rd,Spring,TX,77389,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/spring/profile/home-buyers/soldfast-0915-90072777/addressId/194681,BBB
"Networth Realty of Houston North, LLC",(281) 949-7444,719 Sawdust Rd Ste 214,The Woodlands,TX,77380,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/the-woodlands/profile/real-estate/networth-realty-of-houston-north-llc-0915-90051291/addressId/161217,BBB
"Networth Realty of Houston, LLC",(281) 220-1000,116 W 10th St,Houston,TX,77008,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/networth-realty-of-houston-llc-0915-90003386/addressId/116766,BBB
"The Kink Team, LLC",(281) 364-4828,2201 Lake Woodlands Dr,The Woodlands,TX,77380,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/the-woodlands/profile/real-estate-agent/the-kink-team-llc-0915-90049597,BBB
Area Texas Realty & Management,(713) 972-1222,2211 Norfolk St Ste 920,Houston,TX,77098,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/area-texas-realty-management-0915-90033667,BBB
Tushita Builders,(713) 440-9577,1980 Post Oak Blvd Ste 100,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/custom-home-builder/tushita-builders-0915-90072143,BBB
EmpowerHome,(866) 336-0174,5050 Westheimer Rd Ste 200,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/empowerhome-0915-90069766/addressId/190796,BBB
Townsend Team,(281) 757-9946,33410 Walnut Xing,Magnolia,TX,77355,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/magnolia/profile/home-builders/townsend-team-0915-90062479/addressId/193365,BBB
"OLopez Properties, Inc.",(832) 850-6135,Houston,Humble,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/olopez-properties-inc-0915-90035432,BBB
Christy BulerezRealEstateTeam,(281) 685-5000,512 N. Friendswood Dr,Friendswood,TX,77546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/friendswood/profile/real-estate-agent/christy-bulerez-real-estate-team-0915-90073115,BBB
Candid Realties LLC,(832) 449-0093,Richmond,Humble,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/richmond/profile/real-estate-agent/candid-realties-llc-0915-90048617,BBB
"Networth Realty of Houston South, LLC",(888) 998-9688,311 Newport Blvd,League City,TX,77573,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/league-city/profile/real-estate/networth-realty-of-houston-south-llc-0915-90043862/addressId/160181,BBB
