name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1 Up Air Solutions Inc.,(817) 538-7362,Fort Worth,Mansfield,TX,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A,,,https://www.bbb.org/us/tx/fort-worth/profile/heating-and-air-conditioning/1-up-air-solutions-inc-0825-1000231714,BBB
"1st AmericanPlumbing, HVAC, and Electrical Services, LLC",(469) 449-9944,2612 Johnson Ct,Heath,TX,75126,,,"Plumber, Heating and Air Conditioning, Electrical Contractors",,,,,A-,,,https://www.bbb.org/us/tx/heath/profile/plumber/1st-american-plumbing-hvac-and-electrical-services-llc-0875-91348337,BBB
1st AmericanPlumbingLLC,(469) 333-6373,2612 Johnson Ct,Heath,TX,75216,,,"Plumber, Heating and Air Conditioning, Electrical Contractors",,,,,A+,,,https://www.bbb.org/us/tx/heath/profile/plumber/1st-american-plumbing-llc-0875-91016762,BBB
1st ChoiceAirSolutions,(817) 527-8176,2851 Tinsley Ln,Fort Worth,TX,76179,,,"Residential Air Conditioning Contractors, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/residential-air-conditioning-contractors/1st-choice-air-solutions-0825-235976052,BBB
1st RepublicMechanical,(972) 227-3806,1602 Wilson Rd,Lancaster,TX,75146,,,"Commercial Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,,,,https://www.bbb.org/us/tx/lancaster/profile/commercial-air-conditioning-contractors/1st-republic-mechanical-0875-90037149,BBB
1st Response Heating & AirConditioning,(817) 789-1190,8101 Boat Club Rd Ste 240-249,Fort Worth,TX,76179,,,"Air Conditioning Repair, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/air-conditioning-repair/hey-there-heating-air-0825-235973738,BBB
28 Tech Contracting,(817) 300-4054,Fort Worth,Mansfield,TX,,,,"Remodel Contractors, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/remodel-contractors/28-tech-contracting-0825-1000197547,BBB
2JMechanicalLLC,(817) 353-6186,Fort Worth,Mansfield,TX,,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/air-conditioning-contractor/2j-mechanical-llc-0825-1000236587,BBB
"3 D Mechanical Service Company, Inc.",(972) 472-8469,543 County Road 4106,Crandall,TX,75114,,,"Mechanical Contractors, Plumber, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/tx/crandall/profile/mechanical-contractors/3-d-mechanical-service-company-inc-0875-90025121,BBB
3 Kings Roofing,(972) 591-3303,1305 Ranchers Legacy Trl Ste 240,Fort Worth,TX,76126,,,"Roofing Consultants, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/roofing-consultants/3-kings-roofing-0825-235979176/addressId/393726,BBB
