name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
4 Season's Techs Inc.,(904) 442-5524,1488 Beecher Lane,Orange Park,FL,32073,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/heating-and-air-conditioning/4-seasons-techs-inc-0403-235969132,BBB
5 Star Air Quality &PlumbingLLC,(321) 263-9509,1622 Roger Babson Rd,Orlando,FL,32808,,,"Air Conditioning Contractors, Plumber, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-contractor/5-star-air-quality-llc-0733-90330887,BBB
"A & M Refrigeration & Appliance Service, Inc.",(912) 927-2128,PO Box 14037 Walter Samuel Rd. Rincon,"Ga , Savannah",GA,31416,,,"Heating and Air Conditioning, Plumber, Major Appliance Services",,,,,,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-m-refrigeration-appliance-service-inc-0403-235945482,BBB
A & W Construction Service Inc,(386) 274-1515,810 Fentress Ct Suite 160,Daytona Beach,FL,32117,,,"Drywall Contractors, Insulation Contractors, Framing Contractors",,,,,,,,https://www.bbb.org/us/fl/daytona-beach/profile/drywall-contractors/a-w-construction-service-inc-0733-90006854,BBB
A + Air Conditioning & Refrigeration,(352) 608-5019,6725 NW 18th Dr,Gainesville,FL,32653,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/gainesville/profile/air-conditioning-contractor/a-air-conditioning-refrigeration-0403-236025322,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,604 W Ward street,Douglas,GA,31535,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/douglas/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0403-235948247/addressId/128884,BBB
A J & BMechanicalContractors,(912) 966-1257,150 Azalea Ave,Savannah,GA,31408,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-j-b-mechanical-contractors-0403-235955668,BBB
"A&B Heating & Cooling Company, Inc.",(706) 647-9644,2585 US-19,Thomaston,GA,30286,,http://abheatcool.com/,General Contractor,,,,,,4.9,,,Google Places
A. G. Pifer Construction Co. Inc.,(386) 257-4448,3629 Old Deland Rd,Daytona Beach,FL,32124,,,"General Contractor, Construction Services, Bathroom Remodel",,,,,A+,,,https://www.bbb.org/us/fl/daytona-beach/profile/general-contractor/a-g-pifer-construction-co-inc-0733-150857422,BBB
"A. T. Harris Air Conditioning & Heating, Inc.",(904) 236-4435,2000 Wells Rd Unit 238,Orange Park,FL,32073,,,"Air Conditioning Contractors, Heating and Air Conditioning, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/air-conditioning-contractor/a-t-harris-air-conditioning-heating-inc-0403-172202158,BBB
