name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
(A/C lines repair) Odessa A R A Inc,(432) 332-0921,623 Dale St,Odessa,TX,79761,,,Car repair and maintenance service,,,,,,4.2,,,Google Places
1st Choice Comfort Solutions,(325) 763-9211,P.O. Box 61173,San Angelo,TX,76906,,,"Heating and Air Conditioning, Residential Air Conditioning Contractors, Commercial Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/san-angelo/profile/heating-and-air-conditioning/1st-choice-comfort-solutions-1055-14760,BBB
3 Kings Roofing,(833) 314-7663,3203 118th St Ste 200,Lubbock,TX,79423,,,"Roofing Consultants, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/roofing-consultants/3-kings-roofing-0875-90408696/addressId/183908,BBB
"3C Builders, LLC",(325) 227-3924,9543 Iron Spoke Trl,Carlsbad,TX,76934,,,"General Contractor, Remodel Contractors, Remodeling",,,,,A+,,,https://www.bbb.org/us/tx/carlsbad/profile/general-contractor/3c-builders-llc-1055-15315,BBB
"5-C Construction, Inc.",(575) 626-4079,PO Box 3136,Roswell,NM,88202,,,"Building Contractors, General Contractor, Home Builders",,,,,A+,,,https://www.bbb.org/us/nm/roswell/profile/building-contractors/5-c-construction-inc-0806-10104/addressId/57222,BBB
6 Rose's Construction LLC,(915) 491-0928,Fort Davis,Odessa,TX,,,,"General Contractor, Spray Foam Insulation Contractors, Swimming Pools",,,,,A+,,,https://www.bbb.org/us/tx/fort-davis/profile/general-contractor/6-roses-construction-llc-0825-1000238293,BBB
777 Custom Homes & Remodeling,(325) 617-2951,PO Box 451,Christoval,TX,76935,,,"General Contractor, Construction Services, Building Contractors",,,,,A+,,,https://www.bbb.org/us/tx/christoval/profile/general-contractor/777-custom-homes-remodeling-1055-14338,BBB
7M Roofing & Construction Group,(817) 900-6250,705 W Wadley Ave,Midland,TX,79705,,,"Roofing Contractors, General Contractor, Metal Roofing Contractors",,,,,A+,,,https://www.bbb.org/us/tx/midland/profile/roofing-contractors/7m-roofing-construction-group-0825-1000177042/addressId/322763,BBB
A & PMechanical,(806) 831-2188,3714 105th St,Lubbock,TX,79423,,,Residential Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tx/lubbock/profile/residential-air-conditioning-contractors/a-p-mechanical-0875-55780,BBB
"A and W Construction Services, LLC",(325) 320-6940,Abilene,Odessa,TX,,,,"Construction, General Contractor, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/tx/abilene/profile/construction/a-and-w-construction-services-llc-0795-43712,BBB
A C Service,(432) 661-3844,Odessa,Odessa,TX,,,,Heating and Air Conditioning,,,,,,,,https://www.bbb.org/us/tx/odessa/profile/heating-and-air-conditioning/a-c-service-0825-15003371,BBB
