name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
3TLP,(615) 456-9721,Arrington,Goodlettsville,TN,,,,"Home Builders, General Contractor, Construction Services",,,,,A+,,,https://www.bbb.org/us/tn/arrington/profile/home-builders/3tlp-0573-37140159,BBB
"931 Home Services, LLC",(615) 681-0660,304 Lake Hills Rd,Tullahoma,TN,37388,,,"Home Services, Roofing Contractors, Plumber",,,,,A+,,,https://www.bbb.org/us/tn/tullahoma/profile/home-services/931-home-services-llc-0573-37368690,BBB
A & M Mechanical Services,(615) 866-0145,6035 Panama Dr,Hermitage,TN,37076,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/hermitage/profile/heating-and-air-conditioning/a-m-mechanical-services-0573-37112583/addressId/83810,BBB
"A-Action AirHVAC, Inc.",(615) 366-8030,PO Box 35,Antioch,TN,37011,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/antioch/profile/heating-and-air-conditioning/a-action-air-hvac-inc-0573-37068359/addressId/68124,BBB
A-Affordable Services,(931) 572-0660,2225 Glory Dr,Clarksville,TN,37043,,,"Heating and Air Conditioning, Electrician, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tn/clarksville/profile/heating-and-air-conditioning/a-affordable-services-0573-37004087,BBB
"A-Team Services, Inc.",(615) 754-2410,PO Box 291282,Nashville,TN,37229,,,"Parking Lot Maintenance, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/parking-lot-maintenance/a-team-services-inc-0573-24103514/addressId/132927,BBB
A2Z Heat &Air,(931) 220-9622,PO Box 29,Adams,TN,37010,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/tn/adams/profile/heating-and-air-conditioning/a2z-heat-air-0573-37037373,BBB
AAA Express Service Company,(615) 573-9717,74 Tusculum Rd,Antioch,TN,37013,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/antioch/profile/air-conditioning-contractor/aaa-express-service-company-0573-37207338/addressId/102299,BBB
AbellMechanicalService,(615) 672-2005,PO Box 502,White House,TN,37188,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tn/white-house/profile/air-conditioning-contractor/abell-mechanical-service-0573-37028010/addressId/46498,BBB
ABG Contractors,(615) 851-1960,2200 Kayla Dr,Goodlettsville,TN,37072,,,General Contractor,,,,,,5,,,Google Places
"Above AllMechanical, LLC",(502) 957-4596,3555 New Shepherdsville Rd # 1,Bardstown,KY,40004,,,"Heating Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ky/bardstown/profile/heating-contractors/above-all-mechanical-llc-0402-16,BBB
