name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1st Source Heating & Air,(404) 392-2049,Covington,Rex,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/heating-and-air-conditioning/1st-source-heating-air-0443-27603546/addressId/149967,BBB
4th Generation Mechanical,(404) 907-1924,Duluth,Rex,GA,,,,"Plumber, Drainage Contractors, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/us/ga/duluth/profile/plumber/4th-generation-mechanical-0443-91824805,BBB
"A & K Heating & Air Conditioning, LLC",(770) 961-6016,382 Whitney Lane,McDonough,GA,30253,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/mcdonough/profile/heating-and-air-conditioning/a-k-heating-air-conditioning-llc-0443-27211368,BBB
"A + Property Restoration, Inc.",(404) 456-2999,955 Tree Top Dr,Suwanee,GA,30024,,,"Roofing Contractors, Home Improvement, Remodeling",,,,,A+,,,https://www.bbb.org/us/ga/suwanee/profile/roofing-contractors/a-property-restoration-inc-0443-91842811,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,7336 Lee Rd,Lithia Springs,GA,30122,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/lithia-springs/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0443-28130465/addressId/193022,BBB
"A Plus Comfort Heating And Air, Corporation",(678) 800-8175,Hampton,Rex,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/hampton/profile/heating-and-air-conditioning/a-plus-comfort-heating-and-air-corporation-0443-27421820,BBB
A&D ProServ,(844) 966-1502,2330 Scenic Hwy S,Snellville,GA,30078,,,"Fire and Water Damage Restoration, Painting Contractors, Cleaning Services",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/fire-water-damage-restoration/ad-proserv-0443-91841960,BBB
A-1 Heating & Air Conditioning,(770) 921-4662,2447 Hurndon Rd,Snellville,GA,30078,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/heating-and-air-conditioning/a-1-heating-air-conditioning-0443-27307866,BBB
A-1 Skill Tech Air Repair,(770) 853-6565,PO Box 490749,College Park,GA,30349,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/college-park/profile/heating-and-air-conditioning/a-1-skill-tech-air-repair-0443-4302,BBB
"A.G.C. Heating andAir, LLC",(678) 361-0990,Lawrenceville,Rex,GA,,,,"Residential Air Conditioning Contractors, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/lawrenceville/profile/residential-air-conditioning-contractors/agc-heating-and-air-llc-0443-27587233,BBB
"Aardvark Electric, Inc.",(404) 806-6851,3625 Clearview Pkwy,Atlanta,GA,30340,,,"Electrician, Electrical Contractors, Low Voltage Contractors",,,,,A+,,,https://www.bbb.org/us/ga/atlanta/profile/electrician/aardvark-electric-inc-0443-27511418,BBB
"ABASCO Air Conditioning, LLC",(404) 429-0509,Fayetteville,Rex,GA,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/fayetteville/profile/air-conditioning-contractor/abasco-air-conditioning-llc-0443-27006939,BBB
"Above All Cleaning & Restoration, LLC",(770) 938-7770,4840 Hammermill Rd,Tucker,GA,30084,,,"Water Damage Restoration, Construction Services, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/ga/tucker/profile/water-damage-restoration/above-all-cleaning-restoration-llc-0443-27259893,BBB
AC Simpson & Associates,(404) 852-7002,23 Depot Street,Senoia,GA,30276,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/senoia/profile/heating-and-air-conditioning/ac-simpson-associates-0443-91843123,BBB
Ace & A Heating & Air Conditioning of Dekalb,(404) 378-5060,2768 W College Ave,Decatur,GA,30030,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/decatur/profile/heating-and-air-conditioning/ace-a-heating-air-conditioning-of-dekalb-0443-559,BBB
AComfort,(678) 688-7378,410 Odell Rd,Griffin,GA,30224,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/griffin/profile/air-conditioning-contractor/acomfort-0443-27426968,BBB
Advance Pro Refrigeration,(770) 900-7798,Douglasville,Rex,GA,,,,"Residential Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/douglasville/profile/residential-air-conditioning-contractors/advance-pro-refrigeration-0443-27614750,BBB
AEM Construction & Restoration,(770) 527-0991,1033 S Cobb Dr SE,Marietta,GA,30060,,,"Construction Services, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/ga/marietta/profile/construction-services/aem-construction-restoration-0443-27469411,BBB
Air Comfort Designs LLC,(678) 300-8311,120 White Acres Dr,Stockbridge,GA,30281,,,"Air Conditioning Contractors, Heating and Air Conditioning, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/stockbridge/profile/air-conditioning-contractor/air-comfort-designs-llc-0443-28188906,BBB
Air ConceptsHeating& Air,(678) 300-8311,120 White Acres Dr,Stockbridge,GA,30281,,,"Air Conditioning Contractors, Heating and Air Conditioning, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/stockbridge/profile/air-conditioning-contractor/air-comfort-designs-llc-0443-28188906,BBB
"Air Conditioning Specialist, Inc.",(770) 786-8253,10121 Highway 278 E,Covington,GA,30014,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/air-conditioning-contractor/air-conditioning-specialist-inc-0443-27087617,BBB
Air Design Air Conditioning & Heating,(770) 483-8402,PO Box 80632,Conyers,GA,30013,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A,,,https://www.bbb.org/us/ga/conyers/profile/heating-and-air-conditioning/air-design-air-conditioning-heating-0443-27290393/addressId/97532,BBB
"Air ExpertsHVAC, Inc.",(770) 787-4580,PO Box 2432,Covington,GA,30015,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/air-conditioning-contractor/air-experts-inc-0443-27443315,BBB
"Air King Mechanical, LLC",(404) 732-4229,143 Plantation Rd,McDonough,GA,30252,,,"Heating and Air Conditioning, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ga/mcdonough/profile/heating-and-air-conditioning/air-king-mechanical-llc-0443-91828610/addressId/235799,BBB
"AirAnalysis of Atlanta, Inc.",(770) 929-3165,P.O. Box 2143,Loganville,GA,30052,,,"Mechanical Engineer, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/loganville/profile/mechanical-engineer/air-analysis-of-atlanta-inc-0443-11003548,BBB
"AirCommand, Inc.",(770) 436-7468,3089 Austell Rd SW,Marietta,GA,30008,,,"Heating and Air Conditioning, Residential Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ga/marietta/profile/heating-and-air-conditioning/air-command-inc-0443-19000063,BBB
AirControl Heating andAir,(770) 667-1133,5020 Old Ellis Pt Ste 300,Roswell,GA,30076,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/roswell/profile/heating-and-air-conditioning/air-control-heating-and-air-0443-13003106,BBB
AirExperts Inc.,(770) 787-4580,PO Box 2432,Covington,GA,30015,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/air-conditioning-contractor/air-experts-inc-0443-27443315,BBB
"Alcovy Surveying & Engineering, Inc.",(770) 466-4002,485 Edwards Rd,Oxford,GA,30054,,,"General Engineering Contractor, Land Surveyor, Drainage Contractors",,,,,A+,,,https://www.bbb.org/us/ga/oxford/profile/general-engineering-contractor/alcovy-surveying-engineering-inc-0443-27439256,BBB
"Alex's Home Repair Services, Inc.",(678) 313-9999,441 Brackin Trace,Grayson,GA,30017,,,"Air Conditioning Contractors, Painting Contractors, Handyman",,,,,A+,,,https://www.bbb.org/us/ga/grayson/profile/air-conditioning-contractor/alexs-home-repair-services-inc-0443-27659531,BBB
