name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"1 Call Heat & Air, Inc.",(501) 992-0185,24300 Chenal Pkwy Ste 30,Little Rock,AR,72223,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ar/little-rock/profile/heating-and-air-conditioning/1-call-heat-air-inc-0935-90328730,BBB
"1 Stop Building Services, LLC",(646) 382-2474,414 4th St Ste 3 Suite 3,Brooklyn,NY,11215,,,"Janitor Service, Painting Contractors, Electrical Contractors",,,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/janitor-service/1-stop-building-services-llc-0121-161575,BBB
1 Triangle Remodeling Service,(919) 673-9452,510 Meadowmont Village Cir,Chapel Hill,NC,27517,,,"Bathroom Remodel, Roofing Contractors, Construction Services",,,,,A+,,,https://www.bbb.org/us/nc/chapel-hill/profile/bathroom-remodel/1-triangle-remodeling-service-0593-90007902,BBB
1912 Roofing and Services,(346) 528-7499,122 W Way St,Lake Jackson,TX,77566,,,"Roofing Contractors, General Contractor, Construction Services",,,,,A,,,https://www.bbb.org/us/tx/lake-jackson/profile/roofing-contractors/1912-roofing-and-services-0915-90074756/addressId/198715,BBB
"21 Hammers Construction Group, LLC",(513) 800-9335,Franklin,Metairie Terrace,LA,,,,"General Contractor, Painting Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/oh/franklin/profile/general-contractor/21-hammers-construction-group-llc-0322-1440095892,BBB
212HVACLLC,(917) 633-5959,300 Morgan Ave Ste P,Brooklyn,NY,11211,,,"Air Conditioning Repair, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/air-conditioning-repair/212-hvac-llc-0121-168110,BBB
"21st Century Electric, LLC",(513) 200-0202,6587 Haley Avenue,Cincinnati,OH,45227,,,"Electrician, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/oh/cincinnati/profile/electrician/21st-century-electric-llc-0292-90007413,BBB
24Seven AC,(713) 832-5545,18901 Kuykendahl Rd,Klein,TX,77379,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/klein/profile/air-conditioning-contractor/24seven-ac-0915-90069728/addressId/192767,BBB
25th Hour Associates LLC,(513) 531-3700,8020 Reading Rd Ste 8,Cincinnati,OH,45237,,,"Handyman, Roofing Contractors, Construction Services",,,,,A+,,,https://www.bbb.org/us/oh/cincinnati/profile/handyman/25th-hour-associates-llc-0292-90001330,BBB
"3 D Mechanical, Electrical, andPlumbing, LLC",(601) 596-7506,Ellisville,New Orleans,LA,,,,"Mechanical Contractors, General Contractor, Plumber",,,,,A+,,,https://www.bbb.org/us/ms/ellisville/profile/mechanical-contractors/3-d-mechanical-electrical-and-plumbing-llc-0523-235900068,BBB
