name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
057331 N.B. LTD.,(506) 869-2206,203 Edinburgh Drive,Howard Park,MD,,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/ca/nb/moncton/profile/heating-and-air-conditioning/057331-nb-ltd-0087-90421,BBB
100Mechanical,(780) 710-2207,Edmonton,Waltherson,MD,,,,"Plumber, Heating Contractors, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/ca/ab/edmonton/profile/plumber/100-mechanical-0017-226973,BBB
1101922 Alberta Ltd.,(780) 945-0015,249 Kirkwood Avenue,Waltherson,MD,,,,"Property Maintenance, Property Management, Remodeling",,,,,,,,https://www.bbb.org/ca/ab/edmonton/profile/property-maintenance/1101922-alberta-ltd-0017-234247,BBB
1st Choice Heating & Plumbing,(780) 231-0064,Edmonton,Waltherson,MD,,,,"Plumber, Heating and Air Conditioning, Heating Contractors",,,,,A+,,,https://www.bbb.org/ca/ab/edmonton/profile/plumber/1st-choice-heating-plumbing-0017-186477,BBB
21 Celcius,(613) 987-2107,3361 Montee Piche,Bolton Hill,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,,,,https://www.bbb.org/ca/on/casselman/profile/heating-and-air-conditioning/21-celcius-0117-43007,BBB
2Brothers Heating & Cooling LLC,(971) 533-2359,Oregon City,Sandtown-Winchester,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/or/oregon-city/profile/heating-and-air-conditioning/2brothers-heating-cooling-llc-1296-22828974,BBB
"303 Construction Management, LLC",(303) 919-2086,Denver,Baltimore Highlands,MD,,,,"Remodel Contractors, General Contractor, Home Builders",,,,,A+,,,https://www.bbb.org/us/co/denver/profile/remodel-contractors/303-construction-management-llc-1296-1000118036,BBB
"360 Builders Group, LLC",(970) 804-6586,Englewood,Baltimore Highlands,MD,,,,"Landscape Contractors, Bathroom Remodel, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/co/englewood/profile/landscape-contractors/360-builders-group-llc-1296-90267008,BBB
360 Reliable Air Services,(254) 220-5834,Killeen,Pumphrey,MD,,,,"Residential Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/killeen/profile/residential-air-conditioning-contractors/360-reliable-air-services-0825-1000109139,BBB
"3C Drilling, LLC",,,Baltimore,MD,,,,General Contractor,,,,,,,,,Baltimore City DPW
3D Mechanical LLC,(203) 767-6377,Bethlehem,Glenham-Belhar,MD,,,,"Heating and Air Conditioning, Plumber, Air Conditioning Contractors",,,,,A-,,,https://www.bbb.org/us/ct/bethlehem/profile/heating-and-air-conditioning/3d-mechanical-llc-0111-110096061,BBB
"3rd Generation Heating & Cooling, LLP",(704) 330-3045,Gastonia,Patterson Park Neighborhood,MD,,,,Air Conditioning Contractors,,,,,A,,,https://www.bbb.org/us/nc/gastonia/profile/air-conditioning-contractor/3rd-generation-heating-cooling-llp-0473-92037323,BBB
4 O.A.K Construction,(780) 554-2792,Edmonton,Waltherson,MD,,,,"General Contractor, Roofing Contractors, Painting Contractors",,,,,A+,,,https://www.bbb.org/ca/ab/edmonton/profile/general-contractor/4-oak-construction-0017-205875,BBB
"4-K Electric, LLC",(251) 250-9030,Daphne,Fells Point,MD,,,,"Commercial Electrician, Electrician, Electrical Contractors",,,,,A+,,,https://www.bbb.org/us/al/daphne/profile/commercial-electrician/4-k-electric-llc-0463-1000035148,BBB
4EGO LLC,(971) 400-7946,Salem,Sandtown-Winchester,MD,,,,"Roofing Contractors, General Contractor, Metal Roofing Contractors",,,,,A+,,,https://www.bbb.org/us/or/salem/profile/roofing-contractors/4ego-llc-1296-1000125669,BBB
4Group Restoration LLC,(971) 323-3623,Portland,Sandtown-Winchester,MD,,,,"General Contractor, Fire and Water Damage Restoration, Asbestos Removal",,,,,A+,,,https://www.bbb.org/us/or/portland/profile/general-contractor/4group-restoration-llc-1296-1000146849,BBB
4J Mechanical Ltd.,(780) 656-5227,4208 50 St,Waltherson,MD,,,,"Plumber, Heating and Air Conditioning, Septic Tank Contractors",,,,,A+,,,https://www.bbb.org/ca/ab/smoky-lake/profile/plumber/4j-mechanical-ltd-0017-175718,BBB
5 am Security & Contracting,(306) 914-2276,4 4213 42nd Ave,Waltherson,MD,,,,"Security, General Contractor, Landscape Contractors",,,,,A+,,,https://www.bbb.org/ca/ab/whitecourt/profile/security/5-am-security-contracting-0017-266892,BBB
5 B Construction LLC,(541) 261-3881,Medford,Sandtown-Winchester,MD,,,,"Residential General Contractor, Roofing Contractors, Insulation Contractors",,,,,A+,,,https://www.bbb.org/us/or/medford/profile/residential-general-contractor/5-b-construction-llc-1296-1000175511,BBB
503 Plumbing &MechanicalLLC,(503) 586-4811,Dallas,Sandtown-Winchester,MD,,,,"Plumber, Bathroom Remodel, Remodel Contractors",,,,,A,,,https://www.bbb.org/us/or/dallas/profile/plumber/503-plumbing-mechanical-llc-1296-1000171508,BBB
5280 Heating Cooling & Refrigeration,(720) 297-7746,Westminster,Baltimore Highlands,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/co/westminster/profile/heating-and-air-conditioning/5280-heating-cooling-refrigeration-1296-90254126,BBB
613 Plumbing Inc.,(613) 794-3649,Clarence Creek,Bolton Hill,MD,,,,"Plumber, Heating Contractors, Construction",,,,,A+,,,https://www.bbb.org/ca/on/clarence-creek/profile/plumber/613-plumbing-inc-0117-238698,BBB
777 Cleaning and Home Improvement LLC,(203) 994-7048,Bridgeport,Glenham-Belhar,MD,,,,"Fire and Water Damage Restoration, Roofing Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/ct/bridgeport/profile/fire-water-damage-restoration/777-cleaning-and-home-improvement-llc-0111-87078565,BBB
A & APlumbingLLC,(864) 979-1178,Landrum,Patterson Park Neighborhood,MD,,,,"Plumber, Heating and Air Conditioning, Commercial Plumber",,,,,A+,,,https://www.bbb.org/us/sc/landrum/profile/plumber/a-a-plumbing-llc-0673-8001093,BBB
"A & D Mechanical Services, LLC",(417) 866-8257,Springfield,Mount Vernon,MD,,,,"Heating and Air Conditioning, Plumber, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/mo/springfield/profile/heating-and-air-conditioning/a-d-mechanical-services-llc-0734-39759,BBB
"A & D Restoration, Inc.",(501) 231-4811,Ward,Mount Vernon,MD,,,,"Fire Damage Restoration, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/ar/ward/profile/fire-damage-restoration/a-d-restoration-inc-0935-6001093,BBB
A & RHVACMechanical Services LLC,(541) 895-5100,Creswell,Sandtown-Winchester,MD,,,,"Air Conditioning Contractors, Heating Contractors, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/or/creswell/profile/air-conditioning-contractor/a-r-hvac-mechanical-services-llc-1296-22539978,BBB
A All Star Plumbing &HeatingInc,(613) 745-0042,1570 Blair Road,Bolton Hill,MD,,,,"Plumber, Heating Contractors",,,,,,,,https://www.bbb.org/ca/on/ottawa/profile/plumber/a-all-star-plumbing-heating-inc-0117-27538,BBB
A AllAround Construction LLC,(208) 989-3497,Caldwell,Hamilton Hills,MD,,,,"General Contractor, Construction Services, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/id/caldwell/profile/general-contractor/a-allaround-construction-llc-1296-35001650,BBB
"A and W Construction Services, LLC",(325) 320-6940,Abilene,Pumphrey,MD,,,,"Construction, General Contractor, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/tx/abilene/profile/construction/a-and-w-construction-services-llc-0795-43712,BBB
A E JewettContractors,(506) 366-5333,787 Route 3,Howard Park,MD,,,,General Contractor,,,,,A+,,,https://www.bbb.org/ca/nb/smithfield/profile/general-contractor/a-e-jewett-contractors-0087-38309,BBB
A E Septic & Excavating Inc,(506) 576-1006,1599 Route 530,Howard Park,MD,,,,"General Contractor, Landscape Contractors, Septic Tank Cleaning",,,,,,,,https://www.bbb.org/ca/nb/grande-digue/profile/general-contractor/a-e-septic-excavating-inc-0087-38283,BBB
A H Coates & Sons Trucking,(506) 856-6037,130 LEWISVILLE Road,Howard Park,MD,,,,"General Contractor, Landscape Contractors, Excavating Contractors",,,,,A+,,,https://www.bbb.org/ca/nb/moncton/profile/general-contractor/a-h-coates-sons-trucking-0087-38119/addressId/15022,BBB
A K JMechanicalLtd,(780) 438-6306,10915 52 Ave,Waltherson,MD,,,,Mechanical Contractors,,,,,,,,https://www.bbb.org/ca/ab/edmonton/profile/mechanical-contractors/a-k-j-mechanical-ltd-0017-259148,BBB
"A Squared Heating and Air, LLC",(501) 804-7037,Sherwood,Mount Vernon,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A,,,https://www.bbb.org/us/ar/sherwood/profile/heating-and-air-conditioning/a-squared-heating-and-air-llc-0935-90407258,BBB
A T Custom Comfort Solutions,(506) 878-2475,47 Magnolia Crescent,Howard Park,MD,,,,"Heat Pumps, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/ca/nb/moncton/profile/heat-pump/a-t-custom-comfort-solutions-0087-59926,BBB
A Team Heating & Air Conditioning LLC,(541) 300-8686,White City,Sandtown-Winchester,MD,,,,"Air conditioning & Heating Contractors - Commercial, Heating and Air Conditioning, Heat Pumps",,,,,A,,,https://www.bbb.org/us/or/white-city/profile/air-conditioning-heating-contractors-commercial/a-team-heating-air-conditioning-llc-1296-1000177031,BBB
A Team Heating &AirConditioning,(780) 818-6589,Edmonton,Waltherson,MD,,,,Residential Air Conditioning Contractors,,,,,,,,https://www.bbb.org/ca/ab/edmonton/profile/residential-air-conditioning-contractors/a-team-heating-air-conditioning-0017-159552,BBB
"A Touch of Heaven's Development, LLC",(309) 612-8239,Cedar Rapids,Charles Village,MD,,,,"Home Improvement, General Contractor, Siding Contractors",,,,,A+,,,https://www.bbb.org/us/ia/cedar-rapids/profile/home-improvement/a-touch-of-heavens-development-llc-0664-32158763,BBB
A&B Flooring Systems,,,Baltimore,MD,,,,General Contractor,,,,,,,,,Baltimore City DPW
A&E Heating & Cooling L.L.C.,(612) 269-9403,Ham Lake,Reservoir Hill,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A-,,,https://www.bbb.org/us/mn/ham-lake/profile/heating-and-air-conditioning/ae-heating-cooling-llc-0704-1000072765,BBB
"A&H Industries, LLC",,,Baltimore,MD,,,,General Contractor,,,,,,,,,Baltimore City DPW
A&R Roof Services + LLC,(301) 974-7059,Laurel,Baltimore,MD,,,,"Roofing Contractors, General Contractor, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/md/laurel/profile/roofing-contractors/ar-roof-services-llc-0241-236077935,BBB
"A&S MechanicalHVAC, Inc.",(913) 601-2711,Lenexa,Coldstream Homestead Montebello,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ks/lenexa/profile/heating-and-air-conditioning/as-mechanical-hvac-inc-0714-1000029745,BBB
"A&W Maintenance & Coatings, LLC",,,Baltimore,MD,,,,General Contractor,,,,,,,,,Baltimore City DPW
A&ZGeneralContractor LLC,(267) 334-1854,Gwynedd,Cherry Hill,MD,,,,"Construction, Remodel Contractors",,,,,A+,,,https://www.bbb.org/us/pa/gwynedd/profile/construction/az-general-contractor-llc-0241-236079943,BBB
A-1 Concrete Corporation,(971) 443-7171,Salem,Sandtown-Winchester,MD,,,,"Concrete Contractors, General Contractor, Foundation Repair",,,,,A-,,,https://www.bbb.org/us/or/salem/profile/concrete-contractors/a-1-concrete-corporation-1296-1000186467,BBB
A-1 Heating (St Albert) Ltd,(780) 458-0912,6 Renault Crescent Unit 200,Waltherson,MD,,,,"Heating and Air Conditioning, Plumber, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/ca/ab/st-albert/profile/heating-and-air-conditioning/a-1-heating-st-albert-ltd-0017-258229,BBB
A-1 Rooter Plumbing &HeatingLtd,(780) 944-2636,4516 25 Ave,Waltherson,MD,,,,"Heating Contractors, Plumber, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/ca/ab/edmonton/profile/heating-contractors/a-1-rooter-plumbing-heating-ltd-0017-152247,BBB
"A-Team Plumbing, Heating, & Cooling LLC",(913) 392-8326,Olathe,Coldstream Homestead Montebello,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ks/olathe/profile/heating-and-air-conditioning/a-team-plumbing-heating-cooling-llc-0714-1000050245,BBB
"A-TEMP Heating, Cooling & Electrical",(503) 650-5014,Clackamas,Sandtown-Winchester,MD,,,,"Electrical Contractors, Electrician, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/or/clackamas/profile/electrical-contractors/a-temp-heating-cooling-electrical-1296-74003187,BBB
A. E. Quesenberry Carpentry,(302) 753-8614,Wilmington,Riverside,MD,,,,"Carpenter, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/de/wilmington/profile/carpenter/a-e-quesenberry-carpentry-0251-32002362,BBB
A.C. Herbert Heating and Cooling Ltd.,(613) 296-3455,3350 Dalmac Road,Bolton Hill,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,,,,https://www.bbb.org/ca/on/osgoode/profile/heating-and-air-conditioning/ac-herbert-heating-and-cooling-ltd-0117-74487,BBB
A.J. Michaels,(410) 435-5400,4512 York Rd,Baltimore,MD,21212,,,"Heating and Air Conditioning, Plumber, Home Improvement",,,,,A+,,,https://www.bbb.org/us/md/baltimore/profile/heating-and-air-conditioning/aj-michaels-0011-5135,BBB
A.J. MichaelsMechanical,(410) 435-5400,4512 York Rd,Baltimore,MD,21212,,,"Heating and Air Conditioning, Plumber, Home Improvement",,,,,A+,,,https://www.bbb.org/us/md/baltimore/profile/heating-and-air-conditioning/aj-michaels-0011-5135,BBB
A.J.W. Mechanical Ltd.,(506) 648-0111,89 Red Head Road,Howard Park,MD,,,,"Heating and Air Conditioning, Commercial Refrigeration",,,,,A+,,,https://www.bbb.org/ca/nb/saint-john/profile/heating-and-air-conditioning/ajw-mechanical-ltd-0087-41254,BBB
A.L. Gullison Ltd.,(506) 458-9940,405 Connell Street,Howard Park,MD,,,,"Water Damage Restoration, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/ca/nb/woodstock/profile/water-damage-restoration/al-gullison-ltd-0087-33759/addressId/11640,BBB
A.T. Plumbing andHeatingInc.,(613) 795-2407,14 Casselbeau Street,Bolton Hill,MD,,,,"Heating Contractors, Plumber, Heating System Repair",,,,,,,,https://www.bbb.org/ca/on/embrun/profile/heating-contractors/at-plumbing-and-heating-inc-0117-10101,BBB
A.W. Vaughn Maintenance Services,(613) 227-2002,104 Hamilton Rd,Bolton Hill,MD,,,,"Landscape Contractors, General Contractor, Paving Contractors",,,,,A+,,,https://www.bbb.org/ca/on/russell/profile/landscape-contractors/aw-vaughn-maintenance-services-0117-26656,BBB
A/C DOC Heating & Cooling,(816) 877-7488,Pleasant Hill,Coldstream Homestead Montebello,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/mo/pleasant-hill/profile/heating-and-air-conditioning/ac-doc-heating-cooling-0714-99156220,BBB
A/C Services,(506) 872-1501,7 Duffy Lane,Howard Park,MD,,,,"Heating and Air Conditioning Filters, Heating Contractors",,,,,A+,,,https://www.bbb.org/ca/nb/hillsborough/profile/heating-air-conditioning-filters/ac-services-0087-64559,BBB
A1 Roofing,(819) 665-7947,2254 Laurier Street,Bolton Hill,MD,,,,"Roofing Contractors, General Contractor, Siding Contractors",,,,,,,,https://www.bbb.org/ca/on/rockland/profile/roofing-contractors/a1-roofing-0117-58504,BBB
AAA AdvancedPlumbing&Heating,(780) 446-0826,5150 64 street,Waltherson,MD,,,,"Plumber, Heating and Air Conditioning, Heating Contractors",,,,,,,,https://www.bbb.org/ca/ab/spruce-grove/profile/plumber/aaa-advanced-plumbing-heating-0017-256811,BBB
AAA Air ControlHVAC,(830) 220-5211,Marble Falls,Pumphrey,MD,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/marble-falls/profile/heating-and-air-conditioning/aaa-air-control-air-conditioning-heating-service-co-0825-1000112379,BBB
