name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"1st ClassMechanical, Inc.",(239) 574-2500,1036 NE Pine Island Rd Unit 1,Cape Coral,FL,33909,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/cape-coral/profile/air-conditioning-contractor/first-class-0653-18001818,BBB
2W Solutions,(407) 969-1699,332 Maguire Rd,Ocoee,FL,34761,,,"Home Renovation, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/fl/ocoee/profile/home-renovation/2w-solutions-0733-90760868,BBB
"3-D Air Services, LLC",(813) 426-5931,PO Box 315,Lithia,FL,33547,,,"Residential Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/lithia/profile/residential-air-conditioning-contractors/3-d-air-services-llc-0653-90068646,BBB
3H AC,(813) 979-4208,930 E 124th Ave,Tampa,FL,33612,,,"Air Conditioning Contractors, Heating and Air Conditioning, Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/tampa/profile/air-conditioning-contractor/3h-ac-0653-44001808,BBB
3MG Air,(407) 486-9290,Kissimmee,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/kissimmee/profile/air-conditioning-contractor/3mg-air-0733-90791990,BBB
5 Below Heating & Air Conditioning LLC,(321) 948-9505,6009 S Orange Ave Unit 6021A,Orlando,FL,32809,,,"Air conditioning & Heating Contractors - Commercial, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-heating-contractors-commercial/5-below-heating-air-conditioning-llc-0733-235967627,BBB
A-1 Heating & Air Conditioning Inc,(407) 580-9179,Kissimmee,Winter Haven,FL,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/kissimmee/profile/heating-and-air-conditioning/a-1-heating-air-conditioning-inc-0733-235958402,BBB
"A-Legend A/C Service, Inc.",(407) 579-9458,Orlando,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-contractor/a-legend-ac-service-inc-0733-90324952,BBB
"A/C & Design Professionals, Inc.",(863) 937-7707,435 Peoples Ln,Lakeland,FL,33815,,,Commercial Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/fl/lakeland/profile/commercial-air-conditioning-contractors/ac-design-professionals-inc-0733-235962266,BBB
A/C Butler Inc,(407) 491-9854,930 Carter Rd,Winter Garden,FL,34787,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/winter-garden/profile/air-conditioning-contractor/ac-butler-inc-0733-90319076,BBB
ABC Cleaning Inc.,(407) 381-2120,1005 N Pine Hills Rd,Pine Hills,FL,32808,,,"Duct Cleaning, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/pine-hills/profile/duct-cleaning/abc-cleaning-inc-0733-100249/addressId/170088,BBB
ABC SouthwestPlumbing& Air Conditioning,(941) 474-4474,1060 Endeavor Ct STE A,North Venice,FL,34275,,,"Plumber, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/north-venice/profile/plumber/abc-southwest-company-inc-0653-90207778,BBB
"Absolute Temperature Controls, LLC",(407) 362-8170,Davenport,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/davenport/profile/air-conditioning-contractor/absolute-temperature-controls-llc-0733-90171554,BBB
AC's Heating & Air LLC,(407) 440-0105,3135 Hunter Pl,Apopka,FL,32703,,,"Air Conditioning Contractors, Heating and Air Conditioning, Insulation Contractors",,,,,A+,,,https://www.bbb.org/us/fl/apopka/profile/air-conditioning-contractor/acs-heating-air-llc-0733-90336968,BBB
Accelerated Construction Services (ACS Builds LLC),(407) 440-2844,2610 E Jackson St,Orlando,FL,32803,,,"Building Contractors, General Contractor, Design Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/building-contractors/accelerated-construction-services-acs-builds-llc-0733-90760720,BBB
Accurate Air Services,(863) 207-2595,5927 State Road 542 W,Winter Haven,FL,33880,,,"Air Conditioning Contractors, Heating and Air Conditioning, Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/winter-haven/profile/air-conditioning-contractor/accurate-air-services-0733-90256815,BBB
Ace Solves it All,(407) 499-8006,1962 Dolores Dr,Kissimmee,FL,34746,,,"Plumber, Electrician, Heating and Air Conditioning",,,,,B+,,,https://www.bbb.org/us/fl/kissimmee/profile/plumber/ace-solves-it-all-0733-235965572,BBB
"Action Air & Electric, Inc.",(407) 892-7617,1321 Vermont Ave,Saint Cloud,FL,34769,,,"Air Conditioning Contractors, Electrician, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/fl/saint-cloud/profile/air-conditioning-contractor/action-air-electric-inc-0733-1091193,BBB
Action Air of Florida,(407) 521-0400,501 N Hudson Street,Orlando,FL,32835,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-contractor/action-air-of-florida-0733-100330,BBB
Adaptive Project Strategies,(352) 874-5056,Clermont,Winter Haven,FL,,,,"Remodel Contractors, General Contractor, Construction Services",,,,,A,,,https://www.bbb.org/us/fl/clermont/profile/remodel-contractors/adaptive-project-strategies-0733-235972348,BBB
AdmiralPlumbingServices a Service Experts Company,(561) 835-5041,1400 Northpoint Pkwy Ste 20,West Palm Beach,FL,33407,,,"Heating and Air Conditioning, Plumber, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/west-palm-beach/profile/heating-and-air-conditioning/admiral-plumbing-services-a-service-experts-company-0633-23009617/addressId/159180,BBB
Advanced A/C & Refrigeration Inc.,(863) 619-5688,6260 Hatcher Rd,Lakeland,FL,33811,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/lakeland/profile/air-conditioning-contractor/advanced-ac-refrigeration-inc-0733-201317622,BBB
Advanced Air Home Services,(904) 474-3374,280 Business Park Cir Ste 415,Saint Augustine,FL,32095,,,"Plumber, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/saint-augustine/profile/plumber/advanced-air-home-services-0403-235974268,BBB
Advanced Air Home Services,(386) 427-1665,1939 W Park Ave,Edgewater,FL,32132,,,"Heating and Air Conditioning, Plumber, Electrician",,,,,A+,,,https://www.bbb.org/us/fl/edgewater/profile/heating-and-air-conditioning/advanced-air-home-services-0733-132414742,BBB
Advanced Air Home Services,(386) 260-2330,11 Commerce Blvd,Palm Coast,FL,32164,,,"Residential Air Conditioning Contractors, Plumber, Electrician",,,,,A+,,,https://www.bbb.org/us/fl/palm-coast/profile/residential-air-conditioning-contractors/advanced-air-home-services-0403-8288,BBB
Advanced Refrigeration & Air Inc.,(407) 679-0644,7617 Narcoossee Rd,Orlando,FL,32822,,,"Air Conditioning Contractors, Remodel Contractors, Building Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-contractor/advanced-refrigeration-air-inc-0733-100387,BBB
"Air 24/7, LLC",(813) 560-0575,3826 S 78th St,Tampa,FL,33619,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/tampa/profile/air-conditioning-contractor/air-247-llc-0653-90335812,BBB
Air BrothersMechanicalLLC,(954) 856-8639,Ocala,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A-,,,https://www.bbb.org/us/fl/ocala/profile/air-conditioning-contractor/air-brothers-mechanical-llc-0733-235976005,BBB
Air Care Inc.,(863) 427-0674,729 Dromedary Dr,Kissimmee,FL,34759,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/kissimmee/profile/air-conditioning-contractor/air-care-inc-0733-183732551,BBB
Air CareMechanicalInc,(863) 665-0959,2210 1/2 S. Combee Road,Lakeland,FL,33801,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/fl/lakeland/profile/air-conditioning-contractor/air-care-mechanical-inc-0733-1087944,BBB
Air Comfort Technology Inc,(321) 689-0727,14545 Porter Rd,Winter Garden,FL,34787,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/winter-garden/profile/air-conditioning-contractor/air-comfort-technology-inc-0733-30002693,BBB
"Air Conditioning &MechanicalDiagnostics, Inc.",(941) 525-2823,PO Box 789,Osprey,FL,34229,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/osprey/profile/air-conditioning-contractor/air-conditioning-mechanical-diagnostics-inc-0653-90413725/addressId/263478,BBB
"Air Conditioning Solutions, Inc.",(813) 394-7444,8021 Land O Lakes Blvd,Land O Lakes,FL,34638,,,"Air Conditioning Contractors, Plumber, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/fl/land-o-lakes/profile/air-conditioning-contractor/air-conditioning-solutions-inc-0653-90030602,BBB
Air CorpsMechanicalLLC,(239) 887-7310,7961 Breeze Dr,N Ft Myers,FL,33917,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/n-ft-myers/profile/air-conditioning-contractor/air-corps-mechanical-llc-0653-90449560,BBB
Air Engineers Service Experts,(904) 249-2255,8475 Western Way Ste 100,Jacksonville,FL,32256,,,"Heating and Air Conditioning, Plumber, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/heating-and-air-conditioning/air-engineers-service-experts-0403-1211/addressId/13188,BBB
Air Express HVAC Inc.,(239) 444-4822,5738 Corporation Cir,Fort Myers,FL,33905,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/fl/fort-myers/profile/air-conditioning-contractor/air-express-hvac-inc-0653-90411081,BBB
Air Pros,(863) 228-2326,PO Box 1061,Winter Haven,FL,33882,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/winter-haven/profile/air-conditioning-contractor/air-pros-0733-90322172,BBB
"Air Rescue AirConditioning, Inc.",(813) 428-8219,1429 Massaro Blvd,Tampa,FL,33619,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/tampa/profile/air-conditioning-contractor/air-rescue-air-conditioning-inc-0653-6074694,BBB
"Air Solutions of Tampa Bay, LLC",(813) 967-5537,Seffner,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/seffner/profile/air-conditioning-contractor/air-solutions-of-tampa-bay-llc-0653-90336231,BBB
Air Systems,(407) 491-0518,14449 Mandolin Dr,Orlando,FL,32837,,,"Air Conditioning Repair, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-repair/air-systems-0733-165649341,BBB
"Air Tech of Tampa, Inc.",(813) 416-8879,10003 Morris Bridge Rd,Tampa,FL,33637,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/tampa/profile/air-conditioning-contractor/air-tech-of-tampa-inc-0653-90030182,BBB
Air TimeMechanicalServices LLC,(407) 729-1724,33 Inconnu Dr.,Kissimmee,FL,34759,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/kissimmee/profile/air-conditioning-contractor/air-time-mechanical-services-llc-0733-195636236,BBB
Air-Conomics LLC,(863) 632-1617,Lake Alfred,Winter Haven,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Residential Air Conditioning Contractors",,,,,A,,,https://www.bbb.org/us/fl/lake-alfred/profile/air-conditioning-contractor/air-conomics-llc-0733-235964465,BBB
"Air-Masters HVACMechanicalServices, LLC",(904) 887-9444,11463 Saints Road,Jacksonville,FL,32246,,,"Commercial Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/commercial-air-conditioning-contractors/air-masters-hvac-mechanical-services-llc-0403-150219422,BBB
AirbossMechanicalLLC,(813) 239-4455,3909 Whisper Grove Ct,Valrico,FL,33594,,,"Air Conditioning Contractors, Heating and Air Conditioning",,,,,F,,,https://www.bbb.org/us/fl/valrico/profile/air-conditioning-contractor/airboss-mechanical-llc-0653-90120919,BBB
"Aire TechMechanicalServices,Inc.",(407) 850-0061,5507 Force Four Pkwy,Orlando,FL,32839,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/orlando/profile/air-conditioning-contractor/aire-tech-mechanical-servicesinc-0733-125454890,BBB
Airflow Heating & Cooling Solutions Corp,(239) 219-4670,PO Box 1161,Lehigh Acres,FL,33970,,,"Air Conditioning Contractors, Heating and Air Conditioning, Insulation Contractors",,,,,A,,,https://www.bbb.org/us/fl/lehigh-acres/profile/air-conditioning-contractor/airflow-heating-cooling-solutions-corp-0653-90450546,BBB
