name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Trinity Lending,(254) 733-3008,Hewitt,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/hewitt/profile/mortgage-broker/trinity-lending-0825-1000233522,BBB
Claudette Faubion Broker - Noble Realty LLC,(469) 531-4904,Georgetown,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/georgetown/profile/real-estate-broker/claudette-faubion-broker-noble-realty-llc-0825-1000230448,BBB
Buy Broker,(281) 444-1619,5906 Lookout Mountain Dr,Houston,TX,77069,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/buy-broker-0915-90010468,BBB
Stacy Sherman Broker,(832) 445-8932,2940 Oak Street,Kingwood,TX,77339,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/tx/kingwood/profile/real-estate-broker/stacy-sherman-broker-0915-90074304,BBB
Maximum BusinessBrokers,(713) 202-1055,2909 Hillcroft,"Suite 320 , Houston",TX,77057,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/maximum-business-brokers-0915-90023096,BBB
The Franklin Team brokered by eXp Realty,,23302 W. Fernhurst Drive Suite 100,Katy,TX,77494,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/tx/katy/profile/real-estate-agent/the-franklin-team-brokered-by-exp-realty-0915-90038178,BBB
TexasBrokersMortgage,(281) 988-6567,7613 Boone Rd.,Houston,TX,77072,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/houston/profile/real-estate/texas-brokers-mortgage-0915-57000456,BBB
Anneita Piediscalzi - Owner/Broker,(409) 313-0409,Palestine,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/palestine/profile/real-estate-agent/anneita-piediscalzi-ownerbroker-1075-28098811,BBB
Tina Brennecke – Broker - Trusted Luxury Realty®,(512) 545-5127,3571 Far West Blvd,"#3399 , Austin",TX,78731,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/austin/profile/real-estate-services/tina-brennecke-8211-broker-trusted-luxury-realty%C2%AE-0825-1000247569,BBB
Davis Realty - Steve Davis Broker,(512) 852-8194,9600 Great Hills Trl,"#150W , Austin",TX,78759,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/austin/profile/real-estate-agent/davis-realty-steve-davis-broker-0825-1000233943,BBB
Lynn Robin Broker Associate -On Air Realty,(512) 736-8822,Austin,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/real-estate/lynn-robin-broker-associate-on-air-realty-0825-1000226431,BBB
Heather Hudson Broker Austin Residential Group,(512) 431-2120,Austin,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/real-estate-broker/heather-hudson-broker-austin-residential-group-0825-1000230647,BBB
Austin Texas Living Team brokered by eXp Realty,(512) 744-4940,9600 Great Hills Trail,"Suite 150W , Austin",TX,78759,,,Real Estate Agent,,Real Estate Agent,,,D+,,,https://www.bbb.org/us/tx/austin/profile/real-estate-agent/austin-texas-living-team-brokered-by-exp-realty-0825-1000244918,BBB
Broker Network Realty,(512) 328-8886,1011 Westlake Dr,W Lake Hills,TX,78746,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/w-lake-hills/profile/real-estate/broker-network-realty-0825-44474,BBB
Villalobos Homes Team - Brokered by exp Realty LLC,(815) 343-3068,2600 South Shore Blvd. Ste 300 13701 Woodway Dr 2nd Floor,"Waco, 76712 , Woodway",TX,76712,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/woodway/profile/real-estate-broker/villalobos-homes-team-brokered-by-exp-realty-llc-0825-1000254735,BBB
CapitalAx Commrecial Lending,(806) 746-7396,Leander,The Woodlands,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/leander/profile/real-estate-lender-brokers/capitalax-commrecial-lending-0825-1000249647,BBB
Beth WolffRealtors,(713) 622-9339,1775 Saint James Pl Ste 100,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/beth-wolff-realtors-0915-77000002,BBB
