name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Coldwell Banker Desert Lakes Realty,(575) 744-4960,PO Box 1083,Elephant Butte,NM,87935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nm/elephant-butte/profile/real-estate/coldwell-banker-desert-lakes-realty-0806-44009/addressId/73490,BBB
Gomez Realty Solutions,(915) 926-9664,7391 Remcon Cir,El Paso,TX,79912,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/gomez-realty-solutions-0895-99174980,BBB
Rita Ulloa-Realtor,(303) 437-0013,1701 Bassett Ave Ste 142,El Paso,TX,79901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-consultant/rita-ulloa-realtor-0895-99172423,BBB
"DKD Associates, Inc.",(915) 772-9177,2029 Trawood Dr,El Paso,TX,79935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/dkd-associates-inc-0895-99123235,BBB
Options Realty,(915) 600-5455,2562 Trawood Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/options-realty-0895-99130285,BBB
Casa by Owner,(915) 587-4670,1612 N Lee Trevino Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/casa-by-owner-0895-99123723,BBB
ClearView Realty LLC,(915) 855-1110,12247 Rojas Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-agent/clearview-realty-llc-0895-99135539,BBB
AlturaRealEstate,(505) 866-6266,601 Main St SE Ste 22B,Los Lunas,NM,87031,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nm/los-lunas/profile/real-estate/altura-real-estate-0806-99128095,BBB
Celina Murrieta-Gonzales PLLC,(520) 237-0940,PO Box 51,Alpine,AZ,85920,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/az/alpine/profile/real-estate-agent/celina-murrieta-gonzales-pllc-1126-1000158106/addressId/782161,BBB
"Aim Properties, LLC",(505) 312-8651,625 6th St NW,Albuquerque,NM,87102,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/nm/albuquerque/profile/property-management/aim-properties-llc-0806-99131705/addressId/79694,BBB
