name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"850 Building Group, LLC",(850) 642-7500,551 Serenoa Rd,"Unit A , Santa Rsa Bch",FL,32459,,,"Building Contractors, General Contractor, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/fl/santa-rsa-bch/profile/building-contractors/850-building-group-llc-0683-90064594,BBB
"A & H Heating and Air, LLC",(850) 381-9939,326 W 34th Ct,Panama City,FL,32405,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/panama-city/profile/air-conditioning-contractor/a-h-heating-and-air-llc-0683-90094363,BBB
A + Air Conditioning & Refrigeration,(352) 608-5019,6725 NW 18th Dr,Gainesville,FL,32653,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/gainesville/profile/air-conditioning-contractor/a-air-conditioning-refrigeration-0403-236025322,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,604 W Ward street,Douglas,GA,31535,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/douglas/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0403-235948247/addressId/128884,BBB
A Superior Mechanical,(850) 258-3225,PO Box 19527,Panama City Beach,FL,32417,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/panama-city-beach/profile/heating-and-air-conditioning/a-superior-mechanical-0683-90004523/addressId/72239,BBB
A Superior Mechanical,(850) 830-7820,605 North Hwy 393,"Building 5, Unit F , Santa Rosa Beach",FL,32459,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/santa-rosa-beach/profile/heating-and-air-conditioning/a-superior-mechanical-0683-90004523/addressId/7956,BBB
"A+AirConditioning, Inc",(850) 249-1113,2532 Joan Ave,Panama City Beach,FL,32408,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/panama-city-beach/profile/air-conditioning-contractor/bruce-heating-cooling-llc-0683-90013798,BBB
"A. T. Harris Air Conditioning & Heating, Inc.",(904) 236-4435,2000 Wells Rd Unit 238,Orange Park,FL,32073,,,"Air Conditioning Contractors, Heating and Air Conditioning, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/air-conditioning-contractor/a-t-harris-air-conditioning-heating-inc-0403-172202158,BBB
A.A. Construction,(478) 213-2925,PO Box 1103,Byron,GA,31008,,,"Roofing Contractors, General Contractor, Commercial Roofing",,,,,A+,,,https://www.bbb.org/us/ga/byron/profile/roofing-contractors/aa-construction-0743-42871,BBB
A/C Specialists Services LLC,,10891 W Whitacre Ln,Crystal River,FL,34428,,,"Air Conditioning Repair, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/crystal-river/profile/air-conditioning-repair/ac-specialists-services-llc-0733-90721444,BBB
"A1 Heating and Air, LLC",(850) 638-2738,490 Quail Hollow Blvd,Chipley,FL,32428,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,,,,https://www.bbb.org/us/fl/chipley/profile/heating-and-air-conditioning/a1-heating-and-air-llc-0683-90030414,BBB
A1HVACLLC,(931) 675-8782,Troy,Tallahassee,FL,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A-,,,https://www.bbb.org/us/al/troy/profile/heating-and-air-conditioning/a1-hvac-llc-0463-1000034103,BBB
"AAA Heating,AirConditioning& Refrigeration",(850) 785-6060,1737 Sherman Ave,Panama City,FL,32405,,,"Air Conditioning Contractors, Air Conditioning Repair, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/panama-city/profile/air-conditioning-contractor/aaa-heating-air-conditioning-refrigeration-0683-3002386,BBB
"Aaron Stone Construction, LLC",(850) 428-9214,980 Mack Bayou Rd,"unit 2 , Santa Rosa Beach",FL,32459,,,"Remodel Contractors, General Contractor, Home Improvement",,,,,A+,,,https://www.bbb.org/us/fl/santa-rosa-beach/profile/remodel-contractors/aaron-stone-construction-llc-0683-90083767,BBB
"Abbie Creek Construction, LLC",(334) 403-5632,Dothan,Tallahassee,FL,,,,"Custom Home Builder, General Contractor, Home Builders",,,,,A+,,,https://www.bbb.org/us/al/dothan/profile/custom-home-builder/abbie-creek-construction-llc-0463-90189871,BBB
"Accurate Air & Heating Services, Inc.",(352) 861-1402,Ocala,Tallahassee,FL,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/ocala/profile/air-conditioning-contractor/accurate-air-heating-services-inc-0733-151503550,BBB
Acme Propane Gas,(334) 537-4361,97 Davenport Hwy,Highland Home,AL,36041,,,"Propane, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/al/highland-home/profile/propane/acme-propane-gas-0463-90020514,BBB
Acme Propane Gas,(800) 824-0396,PO Box 37,Highland Home,AL,36041,,,"Propane, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/al/highland-home/profile/propane/acme-propane-gas-0463-90020514/addressId/24638,BBB
"ACTGeneralBuilding Construction, Inc.",(352) 581-1577,Ocala,Tallahassee,FL,,,,"Electrical Contractors, General Contractor, Electrician",,,,,A+,,,https://www.bbb.org/us/fl/ocala/profile/electrical-contractors/act-general-building-construction-inc-0733-90723133,BBB
"Advanced Refrigeration & Air, Inc",(407) 679-0644,3944 Northwest Passage Unit 203,Tallahassee,FL,32303,,,"Air Conditioning Contractors, Remodel Contractors, Building Contractors",,,,,A+,,,https://www.bbb.org/us/fl/tallahassee/profile/air-conditioning-contractor/advanced-refrigeration-air-inc-0403-235999290/addressId/98389,BBB
"Affordable Heat & Air, LLC",(850) 482-3892,2942 Hunter Fish Camp Rd,Marianna,FL,32446,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/marianna/profile/heating-and-air-conditioning/affordable-heat-air-llc-0683-90006358,BBB
"Air Clean Technology, Inc.",(478) 808-7318,5324 Walton Rd,Fort Valley,GA,31030,,,"Air Purification Systems, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/fort-valley/profile/air-purification-systems/air-clean-technology-inc-0743-5000242,BBB
"Air Conditioning & Heating, Inc.",(850) 267-3538,PO Box 1531,Santa Rosa Beach,FL,32459,,,"Commercial Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/fl/santa-rosa-beach/profile/commercial-air-conditioning-contractors/air-conditioning-heating-inc-0683-8000293/addressId/3059,BBB
"Air Conditioning Specialist, Inc.",(478) 956-7793,130 Gralan Dr,Byron,GA,31008,,,"Plumber, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/byron/profile/plumber/air-conditioning-specialist-inc-0743-22000313,BBB
