name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
2nd Generation Construction - Custom Home Bldrs,(615) 206-1500,500 National Dr,Gallatin,TN,37066,,http://www.secondgenerationhomes.com/,General Contractor,,,,,,5,,,Google Places
4 Elements Renovations,(615) 855-7240,714 Nashville Pike Suite 1,Gallatin,TN,37066,,https://4elementsrenovations.com/,Roofing Contractor,,,,,,5,,,Google Places
"931 Home Services, LLC",(615) 681-0660,304 Lake Hills Rd,Tullahoma,TN,37388,,,"Home Services, Roofing Contractors, Plumber",,,,,A+,,,https://www.bbb.org/us/tn/tullahoma/profile/home-services/931-home-services-llc-0573-37368690,BBB
A & M Mechanical Services,(615) 866-0145,6035 Panama Dr,Hermitage,TN,37076,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/hermitage/profile/heating-and-air-conditioning/a-m-mechanical-services-0573-37112583/addressId/83810,BBB
"A-Action AirHVAC, Inc.",(615) 366-8030,2601 Cruzen Street,Nashville,TN,37211,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/heating-and-air-conditioning/a-action-air-hvac-inc-0573-37068359,BBB
"A-Team Services, Inc.",(615) 754-2410,9621A Lebanon Rd,Mount Juliet,TN,37122,,,"Parking Lot Maintenance, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/tn/mount-juliet/profile/parking-lot-maintenance/a-team-services-inc-0573-24103514,BBB
A2Z Heat &Air,(931) 220-9622,PO Box 29,Adams,TN,37010,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/tn/adams/profile/heating-and-air-conditioning/a2z-heat-air-0573-37037373,BBB
AAA Express Service Company,(615) 573-9717,74 Tusculum Rd,Antioch,TN,37013,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/antioch/profile/air-conditioning-contractor/aaa-express-service-company-0573-37207338/addressId/102299,BBB
AbellMechanicalService,(615) 672-2005,PO Box 502,White House,TN,37188,,,Air Conditioning Contractors,,,,,,,,https://www.bbb.org/us/tn/white-house/profile/air-conditioning-contractor/abell-mechanical-service-0573-37028010/addressId/46498,BBB
"Above AllMechanical, LLC",(502) 957-4596,3555 New Shepherdsville Rd # 1,Bardstown,KY,40004,,,"Heating Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ky/bardstown/profile/heating-contractors/above-all-mechanical-llc-0402-16,BBB
Absolute Services,(502) 833-8444,3600 Chamberlain Ln Ste 720,Louisville,KY,40241,,,"Heating and Air Conditioning, Bathroom Remodel, Air Conditioning Contractors",,,,,,,,https://www.bbb.org/us/ky/louisville/profile/heating-and-air-conditioning/absolute-services-0402-159131370,BBB
AC Comfort Solutions LLC,(629) 239-0079,225 John R Rice Blvd Apt E16,Murfreesboro,TN,37129,,,"Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tn/murfreesboro/profile/heating-and-air-conditioning/ac-comfort-solutions-llc-0573-37327818,BBB
"Accent Masonry & Construction, LLC",(972) 302-0339,1347 General George Patton Rd,Nashville,TN,37221,,,"Mason Contractors, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/mason-contractors/accent-masonry-construction-llc--0573-37376488/addressId/138068,BBB
"Accurate Contracting Services, Inc.",(865) 394-9869,2920 Byington Solway Rd STE A,Knoxville,TN,37931,,,"General Contractor, Roofing Contractors, Construction Services",,,,,A+,,,https://www.bbb.org/us/tn/knoxville/profile/general-contractor/accurate-contracting-services-inc-0533-90024651,BBB
"ACS Heating Cooling PlumbingMechanicalElectrical, LLC",(615) 259-4111,540 Highway 70,Pegram,TN,37143,,,"Heating Contractors, Heating and Air Conditioning, Mechanical Contractors",,,,,A-,,,https://www.bbb.org/us/tn/pegram/profile/heating-contractors/acs-heating-cooling-plumbing-mechanical-electrical-llc-0573-37378975,BBB
ACS Homebuilders,(615) 533-1244,2410 Plumnelly Ln,Greenbrier,TN,37073,,,"Home Builders, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tn/greenbrier/profile/home-builders/acs-homebuilders-0573-37054994,BBB
Action Mechanical,(615) 218-9275,195 Industrial Blvd,La Vergne,TN,37086,,,"Heating and Air Conditioning, Plumber, Electrician",,,,,A+,,,https://www.bbb.org/us/tn/la-vergne/profile/heating-and-air-conditioning/action-mechanical-0573-37377766,BBB
"Adams Construction & Interiors, Inc.",(629) 209-1230,107 Circle Dr,Cottontown,TN,37048,,,"General Contractor, Painting Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/tn/cottontown/profile/general-contractor/adams-construction-interiors-inc-0573-37000036,BBB
"Adams Construction & Interiors, Inc.",(615) 351-9849,PO Box 392,White House,TN,37188,,,"General Contractor, Painting Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/tn/white-house/profile/general-contractor/adams-construction-interiors-inc-0573-37000036/addressId/28739,BBB
"Advanced Cooling Heating Refrigeration, Inc.",(615) 895-1218,1411 Mark Allen Ln Ste B,Murfreesboro,TN,37129,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/murfreesboro/profile/heating-and-air-conditioning/advanced-cooling-heating-refrigeration-inc-0573-16168,BBB
AE Products,(615) 226-3287,PO Box 31,Old Hickory,TN,37138,,,"Mulch, Air Conditioning Contractors, Wood Recycling",,,,,A+,,,https://www.bbb.org/us/tn/old-hickory/profile/mulch/ae-products-0573-37310995/addressId/145728,BBB
Affordable Building Concepts,(615) 443-2071,45 Wilson Boat Dock Rd,Lebanon,TN,37087,,,"General Contractor, Concrete Contractors, Home Improvement",,,,,A+,,,https://www.bbb.org/us/tn/lebanon/profile/general-contractor/affordable-building-concepts-0573-37009419,BBB
Affordable Heating & Cooling,(615) 547-4209,5510 E Division St Suite 134,Mt. Juliet,TN,37122,,https://www.affordableheatingandcoolingtn.com/,General Contractor,,,,,,5,,,Google Places
AG. Carpentry & General Contractor.,(615) 720-8133,548 Lincoln Dr,Gallatin,TN,37066,,https://mktrimcarpentry8133.wixsite.com/mktc,General Contractor,,,,,,,,,Google Places
"Air Conditioning Service, Inc",(615) 834-7336,414 McNally Dr,Nashville,TN,37211,,https://www.greentrucks.com/,General Contractor,,,,,,4.8,,,Google Places
Air Outlook Inc,(256) 733-6294,106 St Louis St Ste D,Madison,AL,35758,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/al/madison/profile/heating-and-air-conditioning/air-outlook-inc-0513-900240417,BBB
Air TrustHVAC,(615) 582-6565,2621 Western Hills Dr,Nashville,TN,37214,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/heating-and-air-conditioning/air-trust-hvac-0573-37078478,BBB
"AirConditioningService, Inc.",(615) 834-1080,PO Box 111089,Nashville,TN,37222,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/tn/nashville/profile/heating-and-air-conditioning/air-conditioning-service-inc-0573-10075/addressId/364,BBB
