name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1017 Construction,(512) 975-9840,Kyle,Mission Bend,TX,,,,"Construction, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/kyle/profile/construction/1017-construction-0825-1000231984,BBB
11 11 Heating and Cooling,(909) 728-0848,San Bernardino,Four Corners,TX,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A,,,https://www.bbb.org/us/ca/san-bernardino/profile/heating-and-air-conditioning/11-11-heating-and-cooling-1126-850111829,BBB
1912 Roofing and Services,(346) 528-7499,122 W Way St,Lake Jackson,TX,77566,,,"Roofing Contractors, General Contractor, Construction Services",,,,,A,,,https://www.bbb.org/us/tx/lake-jackson/profile/roofing-contractors/1912-roofing-and-services-0915-90074756/addressId/198715,BBB
24Seven AC,(713) 832-5545,2415 S Dairy Ashford Rd Ste C05,Houston,TX,77077,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/24seven-ac-0915-90069728/addressId/190751,BBB
314 Roofing Solutions,(832) 688-8363,6824 N Sam Houston Pkwy W,Houston,TX,77064,,,"Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/roofing-contractors/314-roofing-solutions-0915-90040954,BBB
"360 Degrees Painting & Remodeling, LLC",(210) 778-6408,Live Oak,Mission Bend,TX,,,,"Painting Contractors, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/live-oak/profile/painting-contractors/360-degrees-painting-remodeling-llc-0825-1000195554,BBB
360 Reliable Air Services,(254) 220-5834,Killeen,New Territory,TX,,,,"Residential Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/killeen/profile/residential-air-conditioning-contractors/360-reliable-air-services-0825-1000109139,BBB
360ContractorsGroup Inc,(818) 599-3166,Burbank,Four Corners,TX,,,,General Contractor,,,,,A+,,,https://www.bbb.org/us/ca/burbank/profile/general-contractor/360-contractors-group-inc-1216-676118,BBB
"4D Construction, LLC",(512) 227-4600,Dale,Mission Bend,TX,,,,"General Contractor, Concrete Contractors, Excavating Contractors",,,,,A+,,,https://www.bbb.org/us/tx/dale/profile/general-contractor/4d-construction-llc-0825-1000219492,BBB
"512 Roofs, LLC",(512) 995-8068,Lockhart,Mission Bend,TX,,,,"Roofing Contractors, General Contractor, Painting Contractors",,,,,A-,,,https://www.bbb.org/us/tx/lockhart/profile/roofing-contractors/512-roofs-llc-0825-1000232155,BBB
7-Star Service Company,(512) 252-4700,Pflugerville,New Territory,TX,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/pflugerville/profile/air-conditioning-contractor/7-star-service-company-0825-90090139,BBB
713Roof.com,(979) 864-7663,1820 McClelland St,Houston,TX,77093,,,"Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/roofing-contractors/713roofcom-0915-90005091,BBB
72MechanicalHeating And Air Conditioning,(805) 330-3092,Camarillo,Four Corners,TX,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/camarillo/profile/heating-and-air-conditioning/72-mechanical-heating-and-air-conditioning-1236-92083712,BBB
A & K Remodeling & Turnkey,(281) 647-6871,19007 Fern Shadows Ct,Houston,TX,77084,,,"Remodeling, Painting Contractors, Bathroom Remodel",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/remodeling/a-k-remodeling-turnkey-0915-81527,BBB
A A Cann MechanicalAirConditioning/Htg,(281) 458-2258,12718 Unison Rd,Houston,TX,77044,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/houston/profile/air-conditioning-contractor/aacann-mechanical-inc-0915-56759,BBB
"A Affordable Comfort, LLC",(281) 797-7691,246 Castlewood Dr,Spring,TX,77386,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/tx/spring/profile/heating-and-air-conditioning/a-affordable-comfort-llc-0915-90032310,BBB
A Carpenters Creation,(210) 994-9912,Live Oak,Mission Bend,TX,,,,"Patios and Decks, General Contractor, Siding Contractors",,,,,A+,,,https://www.bbb.org/us/tx/live-oak/profile/patios-and-decks/a-carpenters-creation-0825-1000236631,BBB
A G Heating & Air,(714) 272-3173,Ontario,Four Corners,TX,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A-,,,https://www.bbb.org/us/ca/ontario/profile/heating-and-air-conditioning/a-g-heating-air-1126-1000143637,BBB
A Star Heat and AirPlumbing,(972) 485-0813,Garland,New Territory,TX,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/garland/profile/air-conditioning-contractor/a-star-heat-and-air-plumbing-0875-90228499,BBB
A TeamMechanicalHeating & Air Conditioning,(817) 576-2657,Fort Worth,New Territory,TX,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/tx/fort-worth/profile/air-conditioning-contractor/a-team-heat-and-air-0825-235977207,BBB
"A&CMechanicalServices, LLC",(210) 833-3377,San Antonio,Mission Bend,TX,,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/air-conditioning-contractor/ac-mechanical-services-llc-0825-1000203048,BBB
