name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"1st Choice Construction, Inc.",(620) 332-9294,2211 Kelly Ln,Independence,KS,67301,,,"Construction Services, General Contractor, Home Builders",,,,,A+,,,https://www.bbb.org/us/ks/independence/profile/construction-services/1st-choice-construction-inc-0714-300074502,BBB
1st Choice Exteriors LLC,(918) 734-4732,PO Box 140606,Broken Arrow,OK,74014,,,"General Contractor, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/ok/broken-arrow/profile/general-contractor/1st-choice-exteriors-llc-1025-38012459,BBB
1st Choice HVACR LLC,(918) 855-8596,PO Box 691173,Tulsa,OK,74169,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ok/tulsa/profile/heating-and-air-conditioning/1st-choice-hvacr-llc-1025-38051826,BBB
24/7 Disaster Group,(918) 845-4004,10309 E 47th Pl,Tulsa,OK,74146,,,"Fire and Water Damage Restoration, General Contractor, Construction Services",,,,,A+,,,https://www.bbb.org/us/ok/tulsa/profile/fire-water-damage-restoration/247-disaster-group-1025-38025795,BBB
2B CoolHVAC,(405) 221-7595,Holdenville,Sapulpa,OK,,,,"Duct Cleaning, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ok/holdenville/profile/duct-cleaning/2b-cool-hvac-0995-90083734,BBB
3 Kings Roofing,(833) 314-7663,1086 Athens Ave Ste C,Springdale,AR,72764,,,"Roofing Consultants, Roofing Contractors, Gutters",,,,,A+,,,https://www.bbb.org/us/ar/springdale/profile/roofing-consultants/3-kings-roofing-0935-90408888/addressId/104061,BBB
3 Nails Roofing and Construction,(918) 998-6865,300 N Meridian Ave Ste 207N,Oklahoma City,OK,73107,,,"General Contractor, Roofing Contractors",,,,,A+,,,https://www.bbb.org/us/ok/oklahoma-city/profile/general-contractor/3-nails-roofing-and-construction-0995-90129292,BBB
3-D Construction Inc,(918) 606-2219,13542 S 235th East Ave,Coweta,OK,74429,,,"Construction Services, General Contractor, Concrete Contractors",,,,,A+,,,https://www.bbb.org/us/ok/coweta/profile/construction-services/3-d-construction-inc-1025-38016087,BBB
"3rd Generation Heat & Air, LLC",(918) 261-1903,17070 N 113th East Ave,Collinsville,OK,74021,,,"Heating and Air Conditioning, Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ok/collinsville/profile/heating-and-air-conditioning/3rd-generation-heat-air-llc-1025-38052176,BBB
4 StarGeneralContracting Inc.,(405) 928-5780,5724 Huettner Dr,Norman,OK,73069,,,"Roofing Contractors, Metal Roofing Contractors, Commercial Roofing",,,,,A+,,,https://www.bbb.org/us/ok/norman/profile/roofing-contractors/4-star-general-contracting-inc-0995-90033601/addressId/35778,BBB
490 Air Services,(918) 525-1490,123 N Muskogee Ave,", Tahlequah",OK,74464,,,"Heating and Air Conditioning, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/ok/tahlequah/profile/heating-and-air-conditioning/490-air-services-1025-38088531,BBB
6LMechanical,(405) 824-3558,1825 N Park Ave,Shawnee,OK,74804,,,Mechanical Contractors,,,,,A+,,,https://www.bbb.org/us/ok/shawnee/profile/mechanical-contractors/6l-mechanical-0995-90089818,BBB
