name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Katherine Dehoop, Realtor",(907) 230-8522,1174 N Leatherleaf Loop Ste A,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/katherine-dehoop-realtor-1296-1000121551,BBB
PartnersRealEstateLLC,(907) 694-4994,11940 Business Blvd Ste 202,Eagle River,AK,99577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/eagle-river/profile/real-estate/partners-real-estate-llc-1296-12961,BBB
Arctic Wolf Properties LLC,(907) 203-6929,Wasilla,Wasilla,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate/arctic-wolf-properties-llc-1296-1000190674,BBB
AlaskaRealEstateConnection LLC,(907) 302-6975,255 E Fireweed Ln Ste 102,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/alaska-real-estate-connection-llc-1296-1000127341,BBB
"Mehner WeiserRealEstateGroup, LLC",(907) 223-1632,3350 Midtown Pl Ste 100,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/mehner-weiser-real-estate-group-llc-1296-1000123670,BBB
Kibe Lucas Team,(907) 357-4663,315 W Nelson Ave,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/kibe-lucas-team-1296-22439319,BBB
River Valley Group LLC,(907) 205-1478,621 S Knik-Goose Bay Rd,WASILLA,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/river-valley-group-llc-1296-1000102592,BBB
"HooliganRealEstateHub, Inc.",(907) 376-3433,321 W Parks Hwy Ste A1,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/hooligan-real-estate-hub-inc-1296-1000182252,BBB
Carrie ButlerRealEstate,(907) 841-1814,621 S Knik Goose Bay Rd,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-broker/carrie-butler-real-estate-1296-1000076050,BBB
"North Star Realty Mat-Su Group, LLC",(907) 355-8765,Wasilla,Wasilla,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/north-star-realty-mat-su-group-llc-1296-1000188580,BBB
Michelle LemaireRealEstate,(907) 414-4988,892 E USA Cir,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/michelle-lemaire-real-estate-1296-1000071625,BBB
IEC Realty,(907) 373-7744,Wasilla,Wasilla,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/iec-realty-1296-22647352,BBB
Le Valley Realty LLC,(907) 376-0210,125 W Evergreen Ave Ste 201,Palmer,AK,99645,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/palmer/profile/property-management/le-valley-realty-llc-1296-22693637,BBB
Husky Realty LLC,(907) 357-7653,920 E Sulatna Bay,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/husky-realty-llc-1296-22784449,BBB
"Erickson Properties, LLC",(907) 227-0406,780 N Luke St,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/erickson-properties-llc-1296-22515912,BBB
"CoreRealEstateGroup, LLC",(907) 622-3948,16805 Farm Ave Ste 200,Eagle River,AK,99577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/eagle-river/profile/real-estate/core-real-estate-group-llc-1296-22821548,BBB
Valley Views Realty,(907) 351-3489,1981 S Jensen Rd,Palmer,AK,99645,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/palmer/profile/yacht-charter-broker/valley-views-realty-1296-22674451,BBB
Luis Nieves Realtor,(907) 414-8048,125 W Evergreen Ave Ste 201,Palmer,AK,99645,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/palmer/profile/real-estate-agent/luis-nieves-realtor-1296-1000147856,BBB
Alaska Diversified Properties and Sales,(907) 357-6675,PO Box 876451,Wasilla,AK,99687,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-broker/alaska-diversified-properties-and-sales-1296-22439443,BBB
Avenue Properties,(907) 257-7600,201 E 3rd Ave # 201,Anchorage,AK,99501,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/avenue-properties-1296-22552083,BBB
"Big Dipper Realty, LLC",(907) 727-2960,1577 C St,Anchorage,AK,99501,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/big-dipper-realty-llc-1296-1000183441,BBB
StephanRealEstateProfessionals LLC,(907) 727-0816,1577 C St Ste 101,Anchorage,AK,99501,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/stephan-real-estate-professionals-llc-1296-1000065055,BBB
Alaskan Spirit Realty LLC,(907) 519-0095,725 E Fireweed Ln Ste 120,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-broker/alaskan-spirit-realty-llc-1296-1000141512,BBB
TolbertRealEstateGroup,(907) 250-1981,255 E Fireweed Ln Ste 102,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/tolbert-real-estate-group-1296-1000190597,BBB
"Sharp Homes of Alaska, Inc.",(907) 891-3454,121 W Fireweed Ln Ste 208,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/sharp-homes-of-alaska-inc-1296-1000061209/addressId/566243,BBB
Shari Boyd And Associates,(907) 762-5863,1926 Stanford Dr,Anchorage,AK,99508,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/shari-boyd-and-associates-1296-1000069446,BBB
Alaska Realty Experts LLC,(907) 406-0191,751 E 36th Ave Ste 104,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/alaska-realty-experts-llc-1296-1000125719,BBB
"WebbRealEstate, LLC",(907) 242-5252,3350 Midtown Pl,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/webb-real-estate-llc-1296-1000127295,BBB
Bernard Powell / ReMax Properties,(907) 257-0404,3350 Midtown Pl,ANCHORAGE,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/bernard-powell-remax-properties-1296-22474080,BBB
"Mark Masley, RE-MAX Dynamic Properties",(907) 727-7653,3350 Midtown Pl,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/mark-masley-re-max-dynamic-properties-1296-22729399,BBB
GlobeRealEstateLLC,(907) 563-7468,3300 C St Ste 114,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/globe-real-estate-llc-1296-10513,BBB
"FSBO System Alaska, LLC",(907) 561-3726,280 W 34th Ave,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/fsbo-system-alaska-llc-1296-11428,BBB
Brandy Pennington Realty LLC,(907) 336-7653,1302 W 31st Ave,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/brandy-pennington-realty-llc-1296-1000087135,BBB
