name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
1st Source Heating & Air,(404) 392-2049,Covington,Riverdale,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/covington/profile/heating-and-air-conditioning/1st-source-heating-air-0443-27603546/addressId/149967,BBB
4th GenerationMechanical,(404) 907-1924,Duluth,Riverdale,GA,,,,"Plumber, Drainage Contractors, Plumbing Renovation",,,,,A+,,,https://www.bbb.org/us/ga/duluth/profile/plumber/4th-generation-mechanical-0443-91824805,BBB
"931 Home Services, LLC",(615) 681-0660,304 Lake Hills Rd,Tullahoma,TN,37388,,,"Home Services, Roofing Contractors, Plumber",,,,,A+,,,https://www.bbb.org/us/tn/tullahoma/profile/home-services/931-home-services-llc-0573-37368690,BBB
"A & K Heating & Air Conditioning, LLC",(770) 961-6016,382 Whitney Lane,McDonough,GA,30253,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/mcdonough/profile/heating-and-air-conditioning/a-k-heating-air-conditioning-llc-0443-27211368,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,7336 Lee Rd,Lithia Springs,GA,30122,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/lithia-springs/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0443-28130465/addressId/193022,BBB
"A Plus Comfort Heating And Air, Corporation",(678) 800-8175,Hampton,Riverdale,GA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/hampton/profile/heating-and-air-conditioning/a-plus-comfort-heating-and-air-corporation-0443-27421820,BBB
"A to J Electrical Services, Inc.",(678) 300-8964,4717 Fulton Industrial Blvd SW,Atlanta,GA,30336,,,"Industrial Consultants, Electrician, Mechanical Contractors",,,,,A+,,,https://www.bbb.org/us/ga/atlanta/profile/industrial-consultants/a-to-j-electrical-services-inc-0443-11004187,BBB
A-1 Heating &AirConditioning,(770) 921-4662,2447 Hurndon Rd,Snellville,GA,30078,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/snellville/profile/heating-and-air-conditioning/a-1-heating-air-conditioning-0443-27307866,BBB
A-1 Skill Tech Air Repair,(770) 853-6565,PO Box 490749,College Park,GA,30349,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/college-park/profile/heating-and-air-conditioning/a-1-skill-tech-air-repair-0443-4302,BBB
"A-TotalPlumbing, LLC",(770) 233-7252,1060 Windward Ridge Pkwy Ste 100,Alpharetta,GA,30005,,,"Plumber, Heating and Air Conditioning, Drainage Contractors",,,,,A+,,,https://www.bbb.org/us/ga/alpharetta/profile/plumber/ace-hardware-home-services-0443-3001140/addressId/261084,BBB
"A.G.C.HeatingandAir, LLC",(678) 361-0990,Lawrenceville,Riverdale,GA,,,,"Residential Air Conditioning Contractors, Air Conditioning Contractors, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/lawrenceville/profile/residential-air-conditioning-contractors/agc-heating-and-air-llc-0443-27587233,BBB
"Aaron Services:Plumbing,Heating,Cooling",(770) 284-5618,615 Colonial Park Dr Ste 201,Roswell,GA,30075,,,"Plumber, Drainage Contractors, Sewer Cleaning",,,,,A+,,,https://www.bbb.org/us/ga/roswell/profile/plumber/aaron-services-plumbing-heating-cooling-0443-515/addressId/258920,BBB
"ABASCO Air Conditioning, LLC",(404) 429-0509,Fayetteville,Riverdale,GA,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/fayetteville/profile/air-conditioning-contractor/abasco-air-conditioning-llc-0443-27006939,BBB
ABMMechanicalContractors,(404) 349-9385,4066 Pittman Rd,Atlanta,GA,30349,,,"Air Conditioning Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/ga/atlanta/profile/air-conditioning-contractor/abm-mechanical-contractors-0443-27080792,BBB
"Above All Cleaning & Restoration, LLC",(770) 938-7770,4840 Hammermill Rd,Tucker,GA,30084,,,"Water Damage Restoration, Construction Services, Painting Contractors",,,,,A+,,,https://www.bbb.org/us/ga/tucker/profile/water-damage-restoration/above-all-cleaning-restoration-llc-0443-27259893,BBB
AC Simpson & Associates,(404) 852-7002,23 Depot Street,Senoia,GA,30276,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/senoia/profile/heating-and-air-conditioning/ac-simpson-associates-0443-91843123,BBB
Ace & A Heating & Air Conditioning of Dekalb,(404) 378-5060,2768 W College Ave,Decatur,GA,30030,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/decatur/profile/heating-and-air-conditioning/ace-a-heating-air-conditioning-of-dekalb-0443-559,BBB
Acme Propane Gas,(800) 600-0765,4285 Norman Bridge Rd,Montgomery,AL,36105,,,"Propane, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/al/montgomery/profile/propane/acme-propane-gas-0463-90020514/addressId/24639,BBB
Acme Propane Gas,(334) 537-4361,97 Davenport Hwy,Highland Home,AL,36041,,,"Propane, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/al/highland-home/profile/propane/acme-propane-gas-0463-90020514,BBB
Acme Propane Gas,(800) 824-0396,PO Box 37,Highland Home,AL,36041,,,"Propane, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/al/highland-home/profile/propane/acme-propane-gas-0463-90020514/addressId/24638,BBB
AComfort,(678) 688-7378,410 Odell Rd,Griffin,GA,30224,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/griffin/profile/air-conditioning-contractor/acomfort-0443-27426968,BBB
Advance Pro Refrigeration,(770) 900-7798,Douglasville,Riverdale,GA,,,,"Residential Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/douglasville/profile/residential-air-conditioning-contractors/advance-pro-refrigeration-0443-27614750,BBB
