name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"RCR Properties, Inc.",(281) 759-6000,5528 Franz Rd,Katy,TX,77493,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/katy/profile/real-estate-agent/rcr-properties-inc-0915-31004000,BBB
Candid Realties LLC,(832) 449-0093,Richmond,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/richmond/profile/real-estate-agent/candid-realties-llc-0915-90048617,BBB
"OLopez Properties, Inc.",(832) 850-6135,Houston,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/olopez-properties-inc-0915-90035432,BBB
"Evercrest Homes, LLC",(832) 280-8000,17424 W Grand Pkwy S Ste 424,Sugar Land,TX,77479,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/sugar-land/profile/real-estate-agent/evercrest-homes-llc-0915-90038487,BBB
Tushita Builders,(713) 440-9577,1980 Post Oak Blvd Ste 100,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/custom-home-builder/tushita-builders-0915-90072143,BBB
EmpowerHome,(866) 336-0174,5050 Westheimer Rd Ste 200,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/empowerhome-0915-90069766/addressId/190796,BBB
Area Texas Realty & Management,(713) 972-1222,2211 Norfolk St Ste 920,Houston,TX,77098,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/area-texas-realty-management-0915-90033667,BBB
Townsend Team,(281) 757-9946,33410 Walnut Xing,Magnolia,TX,77355,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/magnolia/profile/home-builders/townsend-team-0915-90062479/addressId/193365,BBB
"Networth Realty of Houston, LLC",(281) 220-1000,116 W 10th St,Houston,TX,77008,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/networth-realty-of-houston-llc-0915-90003386/addressId/116766,BBB
Joan Correll Realtor,(281) 505-8142,22905 Lane View Rd,Hempstead,TX,77445,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/hempstead/profile/real-estate-agent/joan-correll-realtor-0915-90074255,BBB
The Shelley Stone Group,(713) 252-2100,9227 Turtle Pond Ln,Missouri City,TX,77459,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/missouri-city/profile/real-estate-agent/the-shelley-stone-group-0915-90074077,BBB
SoldFast,(346) 471-5924,2162 Spring Stuebner Rd,Spring,TX,77389,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/spring/profile/home-buyers/soldfast-0915-90072777/addressId/194681,BBB
"Networth Realty of Houston North, LLC",(281) 949-7444,719 Sawdust Rd Ste 214,The Woodlands,TX,77380,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/the-woodlands/profile/real-estate/networth-realty-of-houston-north-llc-0915-90051291/addressId/161217,BBB
"The Kink Team, LLC",(281) 364-4828,2201 Lake Woodlands Dr,The Woodlands,TX,77380,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/the-woodlands/profile/real-estate-agent/the-kink-team-llc-0915-90049597,BBB
Christy BulerezRealEstateTeam,(281) 685-5000,512 N. Friendswood Dr,Friendswood,TX,77546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/friendswood/profile/real-estate-agent/christy-bulerez-real-estate-team-0915-90073115,BBB
Five Star Timeshare Realty,(936) 672-6719,12025 Landrum Ln,Montgomery,TX,77356,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/montgomery/profile/real-estate-agent/five-star-timeshare-realty-0915-90017327,BBB
"Networth Realty of Houston South, LLC",(888) 998-9688,311 Newport Blvd,League City,TX,77573,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/league-city/profile/real-estate/networth-realty-of-houston-south-llc-0915-90043862/addressId/160181,BBB
Matthew Realty,(361) 293-2613,Yoakum,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/yoakum/profile/real-estate/matthew-realty-0825-90011558,BBB
TJ CastelanRealEstateTeam,(409) 338-5600,Beaumont,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/beaumont/profile/real-estate-agent/tj-castelan-real-estate-team-0845-90101245,BBB
DKO's Mobile Notary & Signing Agent Services,(512) 718-2811,Cedar Creek,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/cedar-creek/profile/real-estate-agent/dkos-mobile-notary-signing-agent-services-0825-1000240950,BBB
The Tim Williams Realty Group,(409) 460-3777,Nederland,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/nederland/profile/real-estate-agent/the-tim-williams-realty-group-0845-90074646,BBB
Romeo Garza LLC,(512) 680-4469,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/real-estate-agent/romeo-garza-llc-0825-1000208215,BBB
Holley Homes Realty,(512) 487-9242,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/real-estate/holley-homes-realty-0825-1000256996,BBB
RealEstateby Sylvio O,(512) 988-0503,551 S I-35 Frontage Road,"Suite 300 , Round Rock",TX,78664,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/round-rock/profile/real-estate-consultant/praesel-consulting-0825-1000150146,BBB
Want To Sell Now,(512) 710-2608,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/consultant/want-to-sell-now-0825-1000134400,BBB
"Lee Easter, Inc., REALTORS™ & Builders",(512) 255-1111,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/real-estate-agent/lee-easter-inc-realtors%E2%84%A2-builders-0825-40674,BBB
Lori Humphrey Goodness Realty,(512) 953-5799,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/property-management/lori-humphrey-goodness-realty-0825-1000136283,BBB
"DNB Homes, LLC",(512) 577-9400,Austin,Katy,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/austin/profile/home-builders/dnb-homes-llc-0825-90063103,BBB
