name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
101PlumbingHeatingandCooling,(415) 488-7021,633 Fairhaven Way,Novato,CA,94947,,,"Heating Contractors, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,,,,https://www.bbb.org/us/ca/novato/profile/heating-contractors/101-plumbing-heating-and-cooling-1116-390273,BBB
21st Century Home Improvement Painting & Roofing,(415) 974-1234,99 Mississippi St.,San Francisco,CA,94107,,,"Building Contractors, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/building-contractors/21st-century-home-improvement-painting-roofing-1116-40373,BBB
"6 Hammers, Inc.",(833) 642-6637,6400 Christie Ave Ste 1000,Emeryville,CA,94608,,,"General Contractor, Construction Services, Bathroom Remodel",,,,,A+,,,https://www.bbb.org/us/ca/emeryville/profile/general-contractor/6-hammers-inc-1116-978916,BBB
A & BMechanical,(510) 885-1886,26062 Eden Landing Rd,Hayward,CA,94545,,,"Commercial Air Conditioning Contractors, Refrigeration, Boiler Sales",,,,,B-,,,https://www.bbb.org/us/ca/hayward/profile/commercial-air-conditioning-contractors/a-b-mechanical-1116-133094/addressId/33534,BBB
A & J Quality General Construction Services,,101 W American Canyon Rd STE. 508-352,American Canyon,CA,94503,,,"General Contractor, Mold Removal, Fire and Water Damage Restoration",,,,,A+,,,https://www.bbb.org/us/ca/american-canyon/profile/general-contractor/a-j-quality-general-construction-services-1116-528978,BBB
A and R Furnace and Heating Service,(650) 578-0104,676 Woodside Road,Redwood City,CA,94061,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ca/redwood-city/profile/air-conditioning-contractor/a-and-r-furnace-and-heating-service-1116-967803,BBB
A and RHeatingand Cooling,(510) 796-5253,Union City,Oakland,CA,,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ca/union-city/profile/air-conditioning-contractor/a-and-r-hvac-1116-967470,BBB
A and RHVAC,(510) 796-5253,Union City,Oakland,CA,,,,"Air Conditioning Contractors, Air Conditioning Repair, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ca/union-city/profile/air-conditioning-contractor/a-and-r-hvac-1116-967470,BBB
A T Mechancal,(707) 200-7659,124 Lamont Court,Vallejo,CA,94591,,,Mechanical Contractors,,,,,A+,,,https://www.bbb.org/us/ca/vallejo/profile/mechanical-contractors/a-t-mechancal-1116-877279,BBB
"A-1 Guaranteed Heating & Air Conditioning, Inc",(707) 645-0734,1768 Broadway St,Vallejo,CA,94589,,,"Air Conditioning Contractors, General Contractor, Plumber",,,,,A+,,,https://www.bbb.org/us/ca/vallejo/profile/air-conditioning-contractor/a-1-guaranteed-heating-air-conditioning-inc-1116-30631,BBB
AAA AC &HeatingInc,(916) 800-8009,5050 Laguna blvd,"ste 112-796 , Elk Grove",CA,95758,,,"Heating and Air Conditioning, Air Duct Cleaning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/elk-grove/profile/heating-and-air-conditioning/aaa-ac-heating-inc-1156-90098492,BBB
"Aaero Heating & Sheet Metal, Incorporated",(415) 897-4187,860 Sweetser Ave,Novato,CA,94945,,,"Air Conditioning Contractors, Heating and Air Conditioning, Sheet Metal Fabrication",,,,,A+,,,https://www.bbb.org/us/ca/novato/profile/air-conditioning-contractor/aaero-heating-sheet-metal-incorporated-1116-11875,BBB
Aaron Air Conditioning And Appliance,(925) 895-2718,Dublin,Oakland,CA,,,,"Heating and Air Conditioning, Ventilating Contractors",,,,,A+,,,https://www.bbb.org/us/ca/dublin/profile/heating-and-air-conditioning/aaron-air-conditioning-and-appliance-1116-383914,BBB
Aashna Construction / Landscaping,(510) 684-3354,3031 Arizona St,Oakland,CA,94602,,,"General Contractor, Landscape Contractors",,,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/general-contractor/aashna-construction-landscaping-1116-445051,BBB
"ABCOMechanicalContractors, Inc.",(415) 648-7135,475 Barneveld Ave,San Francisco,CA,94124,,,"Air Conditioning Contractors, Commercial Refrigeration, Boiler Sales",,,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/air-conditioning-contractor/abco-mechanical-contractors-inc-1116-264965,BBB
ABCPlumbingHeating& Air Conditioning,(209) 334-2938,Lodi,Oakland,CA,,,,"Plumber, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/lodi/profile/plumber/abc-plumbing-heating-air-conditioning-1156-32000008,BBB
ABCS Automated Building Control Solutions,(408) 380-8518,330 Mathew St,Santa Clara,CA,95050,,,"Automation Consultants, Heating and Air Conditioning, Energy Management Consultant",,,,,A+,,,https://www.bbb.org/us/ca/santa-clara/profile/automation-consultants/abcs-automated-building-control-solutions-1216-873876,BBB
"Abel Diaz Construction, Inc.",(510) 690-1219,294 Grove Way,Hayward,CA,94541,,,"General Contractor, Construction Services, Building Contractors",,,,,A+,,,https://www.bbb.org/us/ca/hayward/profile/general-contractor/abel-diaz-construction-inc-1116-53028,BBB
Absolute ProPlumbingInc,(510) 557-8643,Hayward,Oakland,CA,,,,"Plumber, Heating and Air Conditioning, Bathroom Remodel",,,,,A+,,,https://www.bbb.org/us/ca/hayward/profile/plumber/bayvalley-mechanical-inc-1116-925999,BBB
AbsoluteAirSolutions,(510) 901-7166,Hayward,Oakland,CA,,,,"Air Conditioning Contractors, Heating Contractors, Furnace Repair",,,,,A+,,,https://www.bbb.org/us/ca/hayward/profile/air-conditioning-contractor/absolute-air-solutions-1116-957354,BBB
"AC Heating & Cooling Service, Inc.",(925) 521-1807,3500 Clayton Rd STE 101,Concord,CA,94519,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/concord/profile/air-conditioning-contractor/ac-heating-cooling-service-inc-1116-205695,BBB
"ACWMechanicalOf Northern California, Inc.",(510) 632-7699,14355 Catalina St,San Leandro,CA,94577,,,"Heating Contractors, Plumber, Air Conditioning Contractors",,,,,F,,,https://www.bbb.org/us/ca/san-leandro/profile/heating-contractors/contra-costa-heating-and-air-conditioning-1116-386285,BBB
AdamEckHVAC,(707) 330-5898,Napa,Oakland,CA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/napa/profile/heating-and-air-conditioning/adameck-hvac-1116-944670,BBB
"Adler Builders, Inc.",(650) 398-9030,580 California St. Fl 12,San Francisco,CA,94104,,,"General Contractor, Bathroom Remodel, Remodel Contractors",,,,,A,,,https://www.bbb.org/us/ca/san-francisco/profile/general-contractor/adler-builders-inc-1116-960696,BBB
ADRIUM service solutions,(510) 514-1826,San Ramon,Oakland,CA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ca/san-ramon/profile/heating-and-air-conditioning/adrium-service-solutions-1116-978851,BBB
"AdvancedMechanicalServices, Inc.",(650) 359-3683,1620 Palmetto Ave,Pacifica,CA,94044,,,"Heating Contractors, Air Conditioning Contractors, Sheet Metal Fabrication",,,,,A+,,,https://www.bbb.org/us/ca/pacifica/profile/heating-contractors/ams-coast-sheet-metal-1116-62810,BBB
Air - ConMechanicalServices Inc.,(925) 279-3330,2136 Stewart Ave,Walnut Creek,CA,94596,,,Electrical Contractors,,,,,A+,,,https://www.bbb.org/us/ca/walnut-creek/profile/electrical-contractors/air-con-mechanical-services-inc-1116-946285,BBB
Air Brothers Mechanical,(714) 822-8516,Byron,Oakland,CA,,,,"Air Conditioning Contractors, Heating and Air Conditioning, Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/ca/byron/profile/air-conditioning-contractor/air-brothers-mechanical-1116-530772,BBB
Air Design Heating & Cooling,(925) 837-4328,696 San Ramon Valley Blvd # 177,Danville,CA,94526,,,"Air Conditioning Contractors, Heating and Air Conditioning, Sheet Metal Fabrication",,,,,A+,,,https://www.bbb.org/us/ca/danville/profile/air-conditioning-contractor/air-design-heating-cooling-1116-15625,BBB
Air Flow Pros Heating & Air Conditioning,(415) 400-5140,San Francisco,Oakland,CA,,,,"Heating and Air Conditioning, Air Conditioning Contractors, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/heating-and-air-conditioning/air-flow-pros-heating-air-conditioning-1116-372358,BBB
Air Sharks LLC,(877) 774-2757,San Jose,Oakland,CA,,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ca/san-jose/profile/heating-and-air-conditioning/air-sharks-llc-1216-1000009324,BBB
