name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"1stMechanicalServices, Inc.",(770) 346-0792,301 Ashville Ct,Macon,GA,31210,,,"Heating and Air Conditioning, Air Conditioning Contractors, Residential Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/ga/macon/profile/heating-and-air-conditioning/1st-mechanical-services-inc-0443-27265106/addressId/91636,BBB
4 Season's Techs Inc.,(904) 442-5524,1488 Beecher Lane,Orange Park,FL,32073,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/heating-and-air-conditioning/4-seasons-techs-inc-0403-235969132,BBB
"A & M Refrigeration & Appliance Service, Inc.",(912) 927-2128,PO Box 14037 Walter Samuel Rd. Rincon,"Ga , Savannah",GA,31416,,,"Heating and Air Conditioning, Plumber, Major Appliance Services",,,,,,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-m-refrigeration-appliance-service-inc-0403-235945482,BBB
A + Air Conditioning & Refrigeration,(352) 608-5019,6725 NW 18th Dr,Gainesville,FL,32653,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",,,,,A+,,,https://www.bbb.org/us/fl/gainesville/profile/air-conditioning-contractor/a-air-conditioning-refrigeration-0403-236025322,BBB
A Action Air Conditioning & Heating Co.,(912) 897-2247,604 W Ward street,Douglas,GA,31535,,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/ga/douglas/profile/air-conditioning-contractor/a-action-air-conditioning-heating-co-0403-235948247/addressId/128884,BBB
A J & BMechanicalContractors,(912) 966-1257,150 Azalea Ave,Savannah,GA,31408,,,Heating and Air Conditioning,,,,,A+,,,https://www.bbb.org/us/ga/savannah/profile/heating-and-air-conditioning/a-j-b-mechanical-contractors-0403-235955668,BBB
A SuperiorMechanical,(850) 258-3225,PO Box 19527,Panama City Beach,FL,32417,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/panama-city-beach/profile/heating-and-air-conditioning/a-superior-mechanical-0683-90004523/addressId/72239,BBB
A&N Automotive,(706) 393-8897,2538 E Central St,Columbus,GA,31903,,,Mechanical Contractors,,,,,A+,,,https://www.bbb.org/us/ga/columbus/profile/mechanical-contractors/an-automotive-0743-98001,BBB
A-1 Aire Care,(229) 460-7373,417 E Hill Ave,Valdosta,GA,31601,,https://a1airecarehvac.com/valdosta-ga/,General Contractor,,,,,,5,,,Google Places
"A-Lert Construction Services, Valdosta, GA",(229) 247-1494,1561 M E Thompson Dr,Valdosta,GA,31601,,https://www.alertconstructionservices.com/,General Contractor,,,,,,4.6,,,Google Places
"A. T. Harris Air Conditioning & Heating, Inc.",(904) 236-4435,2000 Wells Rd Unit 238,Orange Park,FL,32073,,,"Air Conditioning Contractors, Heating and Air Conditioning, Heating Contractors",,,,,A+,,,https://www.bbb.org/us/fl/orange-park/profile/air-conditioning-contractor/a-t-harris-air-conditioning-heating-inc-0403-172202158,BBB
A.A. Construction,(478) 213-2925,PO Box 1103,Byron,GA,31008,,,"Roofing Contractors, General Contractor, Commercial Roofing",,,,,A+,,,https://www.bbb.org/us/ga/byron/profile/roofing-contractors/aa-construction-0743-42871,BBB
"A/C Designs, Inc.",(904) 829-8898,6656 Columbia Park Dr. Suite 1,Jacksonville,FL,32258,,,"Heating and Air Conditioning, Air Conditioning Contractors, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/heating-and-air-conditioning/ac-designs-inc-0403-132803326/addressId/130745,BBB
A1A Solar Contracting Inc,(904) 468-7861,10418 New Berlin Rd Unit 223,Jacksonville,FL,32226,,,"Solar Energy Design, Heating and Air Conditioning, Solar Energy Equipment Dealers",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/solar-energy-design/a1a-solar-contracting-inc-0403-235965010,BBB
AAA Jack Schutte A/C Heat AndMechanical,(904) 355-7543,13898 Softwind Trl N,Jacksonville,FL,32224,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/air-conditioning-contractor/aaa-jack-schutte-ac-heat-and-mechanical-0403-2035,BBB
"Abbie Creek Construction, LLC",(334) 403-5632,Dothan,Valdosta,GA,,,,"Custom Home Builder, General Contractor, Home Builders",,,,,A+,,,https://www.bbb.org/us/al/dothan/profile/custom-home-builder/abbie-creek-construction-llc-0463-90189871,BBB
AC Experts of Florida,(904) 660-1095,8876 A C Skinner Pkwy #7201,Jacksonville,FL,32256,,,"Air Conditioning Contractors, Air Duct Cleaning, Air Conditioning Repair",,,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/air-conditioning-contractor/ac-experts-of-florida-0403-236018483,BBB
