name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
O'Kane Realty,(718) 779-1111,72-01 Grand Avenue,Maspeth,NY,11378,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/maspeth/profile/real-estate/okane-realty-0121-117365,BBB
Quicksale Home Realty Inc.,(718) 725-7472,11233 Hannibal St,Saint Albans,NY,11412,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/saint-albans/profile/real-estate-broker/quicksale-home-realty-inc-0121-87177011,BBB
SFRealEstateNYS Inc,(347) 401-3354,343 Leland Ave,Bronx,NY,10473,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/juan-a-sanchez-exp-realty-0121-87176395,BBB
The Gonzalez Property Group LLC,(718) 650-0292,260 Madison Ave Fl 8,New York,NY,10016,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-agent/the-gonzalez-property-group-llc-0121-87183123,BBB
Buchbinder & Warren LLC,(212) 243-2200,1 Union Square West,New York,NY,10003,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/property-management/buchbinder-warren-llc-0121-111844,BBB
Fave Realty Inc.,(516) 519-8049,20 Jericho Tpke,New Hyde Park,NY,11040,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-hyde-park/profile/real-estate-agent/fave-realty-inc-0121-146711,BBB
"Foxworth Realty, Inc.",(212) 368-4902,360 W 125th St Ste 11,New York,NY,10027,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-broker/foxworth-realty-inc-0121-87170348,BBB
Vision Alliance Realty Inc.,(718) 994-6557,1103 E Gun Hill Rd,Bronx,NY,10469,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bronx/profile/real-estate/vision-alliance-realty-inc-0121-87134082,BBB
RealEstateHomes LLC,(347) 723-2573,2850 Woods Ave,Oceanside,NY,11572,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/oceanside/profile/real-estate-broker/real-estate-homes-llc-0121-87150908,BBB
PadOwl LLC,(888) 572-3695,1957 Richmond Ter,Staten Island,NY,10302,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/staten-island/profile/real-estate-agent/padowl-llc-0121-87170296,BBB
Weichert Realtors Home City,(201) 293-6333,112 Jabez St Ste 106,Newark,NJ,07105,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/newark/profile/real-estate-agent/weichert-realtors-home-city-0221-90219986,BBB
"ContinentalRealEstateGroup, Inc.",(877) 996-5728,259 Kinderkamack Rd,Hackensack,NJ,07601,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/hackensack/profile/real-estate/continental-real-estate-group-inc-0221-26002275,BBB
Common UnityRealEstateLLC,(973) 320-9193,135 Main St Ste 305,Belleville,NJ,07109,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/belleville/profile/real-estate-development/common-unity-real-estate-llc-0221-90189719,BBB
Blue Island Homes NY LLC,(516) 613-3600,2878 Merrick Rd,Bellmore,NY,11710,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bellmore/profile/real-estate-agent/blue-island-homes-ny-llc-0121-87157875,BBB
Realty ONE Group Paramount,(201) 347-3255,1 Ruckman Rd Ste 1A,Closter,NJ,07624,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/closter/profile/real-estate/realty-one-group-paramount-0221-90240120,BBB
Houlihan Parnes Properties,(914) 694-4200,4 W Red Oak Ln Ste 200,West Harrison,NY,10604,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/west-harrison/profile/commercial-real-estate/houlihan-parnes-properties-0121-186303,BBB
Salazar Realty Group Inc.,(973) 762-1171,South Orange,Forest Hills,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/south-orange/profile/real-estate-agent/salazar-realty-group-inc-0221-90226530,BBB
Realty One Group Prodigy,(973) 277-2575,989 McBride Ave # A-200,Woodland Park,NJ,07424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/woodland-park/profile/real-estate-agent/realty-one-group-prodigy-0221-90235682,BBB
Realmart Realty LLC,(732) 727-2285,27 Bleeker St,Millburn,NJ,07041,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/millburn/profile/real-estate-agent/realmart-realty-llc-0221-90047794,BBB
Century 21 Cedarcrest Realty,(973) 228-1050,460 Bloomfield Ave.,Caldwell,NJ,07006,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/caldwell/profile/real-estate-broker/century-21-cedarcrest-realty-0221-90197298,BBB
"The Buyer's Representative, LLC",(203) 637-3200,523 E Putnam Ave,Greenwich,CT,06830,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/greenwich/profile/real-estate-agent/the-buyers-representative-llc-0111-22000997/addressId/14583,BBB
"TamarRealEstateServices, LLC",(203) 569-9600,110 Prospect St Ste 11,Stamford,CT,06901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/stamford/profile/real-estate-broker/tamar-real-estate-services-llc-0111-110077761/addressId/129444,BBB
Power Team Realty Corp.,(631) 231-8000,1813 5th Ave,Bay Shore,NY,11706,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bay-shore/profile/real-estate-broker/power-team-realty-corp-0121-133981,BBB
Plaza Realty & Management Corp.,(203) 359-4611,1010 Hope St Ste 2,Stamford,CT,06907,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/stamford/profile/real-estate/plaza-realty-management-corp-0111-14001554,BBB
Century 21 Preferred,(973) 838-3600,1481 State Rt 23 Ste 4,Butler,NJ,07405,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/butler/profile/real-estate-services/century-21-preferred-0221-90236943,BBB
NJ Elite Group,(732) 213-3540,603 Mattison Ave Unit 303,Asbury Park,NJ,07712,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/asbury-park/profile/real-estate-agent/nj-elite-group-0221-90236982,BBB
MAPP Team: Michael DeBiase & Associates Premium Properties,(203) 209-9142,425 Greenfield St,Fairfield,CT,06825,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/fairfield/profile/real-estate/mapp-team-michael-debiase-associates-premium-properties-0111-87122841,BBB
"Greenheart Holdings, LLC",(914) 886-8958,960 Route 6 Ste 148,Mahopac,NY,10541,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/mahopac/profile/real-estate/greenheart-holdings-llc-0121-87154757,BBB
Poarch Realty,(203) 261-3673,173 Daniels Farm Rd,Trumbull,CT,06611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/trumbull/profile/real-estate-broker/poarch-realty-0111-87136125,BBB
Woodsman Construction & Realty LLC,(914) 621-6101,20 Karlsen Lake Rd,Brewster,NY,10509,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brewster/profile/general-contractor/woodsman-construction-realty-llc-0121-87177816,BBB
Citi AtlasRealEstateCompany LLC,(877) 361-7737,88 Ryders Ln,Stratford,CT,06614,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/stratford/profile/real-estate-broker/citi-atlas-real-estate-company-llc-0111-110091501,BBB
"Better Buyer, LLC",(203) 676-9953,1008 Main St,"G , Branford",CT,06405,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/branford/profile/home-buyers/better-buyer-llc-0111-110089582,BBB
Lauren Ashley Homes LLC,(203) 725-5457,Wolcott,Forest Hills,NY,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ct/wolcott/profile/real-estate-broker/lauren-ashley-homes-llc-0111-110094078,BBB
Homerun Home Solutions LLC,(484) 272-5970,Easton,Forest Hills,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/easton/profile/real-estate-agent/homerun-home-solutions-llc-0241-236091402,BBB
