name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
PartnersRealEstateLLC,(907) 694-4994,11940 Business Blvd Ste 202,Eagle River,AK,99577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/eagle-river/profile/real-estate/partners-real-estate-llc-1296-12961,BBB
AlaskaRealEstateConnection LLC,(907) 302-6975,255 E Fireweed Ln Ste 102,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/alaska-real-estate-connection-llc-1296-1000127341,BBB
"Mehner WeiserRealEstateGroup, LLC",(907) 223-1632,3350 Midtown Pl Ste 100,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/mehner-weiser-real-estate-group-llc-1296-1000123670,BBB
"Katherine Dehoop, Realtor",(907) 230-8522,1174 N Leatherleaf Loop Ste A,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/katherine-dehoop-realtor-1296-1000121551,BBB
Arctic Wolf Properties LLC,(907) 203-6929,Wasilla,Eagle River,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate/arctic-wolf-properties-llc-1296-1000190674,BBB
"CoreRealEstateGroup, LLC",(907) 622-3948,16805 Farm Ave Ste 200,Eagle River,AK,99577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/eagle-river/profile/real-estate/core-real-estate-group-llc-1296-22821548,BBB
IEC Realty,(907) 373-7744,Wasilla,Eagle River,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/iec-realty-1296-22647352,BBB
Avenue Properties,(907) 257-7600,201 E 3rd Ave # 201,Anchorage,AK,99501,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/avenue-properties-1296-22552083,BBB
Shari Boyd And Associates,(907) 762-5863,1926 Stanford Dr,Anchorage,AK,99508,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/shari-boyd-and-associates-1296-1000069446,BBB
Alaskan Spirit Realty LLC,(907) 519-0095,725 E Fireweed Ln Ste 120,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-broker/alaskan-spirit-realty-llc-1296-1000141512,BBB
