name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
The Gonzalez Property Group LLC,(718) 650-0292,260 Madison Ave Fl 8,New York,NY,10016,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-agent/the-gonzalez-property-group-llc-0121-87183123,BBB
"Foxworth Realty, Inc.",(212) 368-4902,360 W 125th St Ste 11,New York,NY,10027,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-broker/foxworth-realty-inc-0121-87170348,BBB
Buchbinder & Warren LLC,(212) 243-2200,1 Union Square West,New York,NY,10003,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/property-management/buchbinder-warren-llc-0121-111844,BBB
SFRealEstateNYS Inc,(347) 401-3354,343 Leland Ave,Bronx,NY,10473,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/juan-a-sanchez-exp-realty-0121-87176395,BBB
Fave Realty Inc.,(516) 519-8049,906 E 180th St Ste 201,Bronx,NY,10460,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/fave-realty-inc-0121-146711/addressId/230870,BBB
Slate Realty LLC,(347) 305-1937,495 Flatbush Ave # C33,Brooklyn,NY,11225,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/real-estate-agent/slate-realty-llc-0121-87172832,BBB
AA Walker Inc,(332) 222-7390,1739 Troy Ave,Brooklyn,NY,11234,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/notary-public/aa-walker-inc-0121-87178813,BBB
Vision Alliance Realty Inc.,(718) 994-6557,1103 E Gun Hill Rd,Bronx,NY,10469,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/bronx/profile/real-estate/vision-alliance-realty-inc-0121-87134082,BBB
Salazar Realty Group Inc.,(973) 762-1171,South Orange,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/south-orange/profile/real-estate-agent/salazar-realty-group-inc-0221-90226530,BBB
Houlihan Parnes Properties,(914) 694-4200,4 W Red Oak Ln Ste 200,West Harrison,NY,10604,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/west-harrison/profile/commercial-real-estate/houlihan-parnes-properties-0121-186303,BBB
"Better Buyer, LLC",(203) 676-9953,1008 Main St,"G , Branford",CT,06405,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/branford/profile/home-buyers/better-buyer-llc-0111-110089582,BBB
Homerun Home Solutions LLC,(484) 272-5970,Easton,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/easton/profile/real-estate-agent/homerun-home-solutions-llc-0241-236091402,BBB
Lauren Ashley Homes LLC,(203) 725-5457,Wolcott,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ct/wolcott/profile/real-estate-broker/lauren-ashley-homes-llc-0111-110094078,BBB
We Buy Philly Home,(267) 652-0252,North Wales,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/north-wales/profile/real-estate/we-buy-philly-home-0241-236064236,BBB
CademaRealEstateEducation,(860) 227-3595,132 Boston Post Rd,East Lyme,CT,06333,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/east-lyme/profile/real-estate-school/cadema-real-estate-education-0111-110079166,BBB
HarringtonRealEstate,(860) 966-9966,Marlborough,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/marlborough/profile/real-estate-agent/harrington-real-estate-0111-110094320,BBB
Red Apple Realty Inc,(518) 851-9601,Hudson,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/hudson/profile/real-estate/red-apple-realty-inc-0041-236030097,BBB
Rydon Realty LLC,(860) 698-0010,Enfield,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/enfield/profile/real-estate/rydon-realty-llc-0111-110088658,BBB
"Ferrigno-Storrs, Realtors LLC",(860) 429-9351,1734 Storrs Rd,Storrs Manfld,CT,06268,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/storrs-manfld/profile/real-estate/ferrigno-storrs-realtors-llc-0111-87012409,BBB
Grace Group Realty LLC,(413) 547-6555,Westfield,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ma/westfield/profile/real-estate/grace-group-realty-llc-0261-265390,BBB
Genwell Investments LLC,(302) 202-5364,Middletown,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/de/middletown/profile/real-estate/genwell-investments-llc-0251-92032584,BBB
Crystin & Co. Realty LLC,(518) 986-5484,Schenectady,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/schenectady/profile/real-estate-broker/crystin-co-realty-llc-0041-236005723,BBB
Gabler Realty LLC,(518) 935-4800,133 Saratoga Rd,"Apt: #6 , East Glenville",NY,12302,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/east-glenville/profile/real-estate-broker/gabler-realty-llc-0041-236017430/addressId/177761,BBB
"The Greene Realty Group, LLC",(508) 517-4908,Worcester,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ma/worcester/profile/real-estate-agent/the-greene-realty-group-llc-0261-318967,BBB
Aidonis Realty,(347) 248-5825,Astoria,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/astoria/profile/real-estate/aidonis-realty-0121-117370,BBB
"A Neumann & Associates, LLC",(732) 872-6777,PO Box 500,Atlantic Hlds,NJ,07716,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/atlantic-hlds/profile/business-brokers/a-neumann-associates-llc-0221-29003238,BBB
Steadwin Finance,(855) 446-7401,Private Address,New York,NY,10022,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/ny/new-york/profile/advance-fee-brokers/steadwin-finance-0121-179609,BBB
Spectrum Funding Solutions Corp,(973) 454-1160,405 Lexington Avenue 26th Floor,New York,NY,10174,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/ny/new-york/profile/advance-fee-brokers/spectrum-funding-solutions-corp-0121-149517,BBB
Sunbelt BusinessBrokersof Manhattan,(646) 205-2295,347 5th Ave Suite 1402,New York,NY,10016,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/new-york/profile/business-opportunities/sunbelt-business-brokers-of-manhattan-0121-87172522,BBB
GZBrokers,(212) 213-9105,18 E 41st St Fl 10,New York,NY,10017,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/real-estate/gamlieli-zweig-inc-0121-125975,BBB
"Berkshire Lending Group, Ltd.",(877) 328-6582,102 West 33rd Street,New York,NY,10001,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/advance-fee-brokers/berkshire-lending-group-ltd-0121-156300,BBB
Eastbridge Financial Funding,(877) 857-2774,264 W 40th St,New York,NY,10018,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/ny/new-york/profile/advance-fee-brokers/eastbridge-financial-funding-0121-165017,BBB
"CompoundRealEstateHoldings, Inc.",(800) 560-5215,1185 Avenue of the Americas Fl 3,New York,NY,10036,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/new-york/profile/bond-brokers/compound-real-estate-holdings-inc-0121-87177501,BBB
Brokering Network International LLC,(212) 738-9295,150 Myrtle Ave,Brooklyn,NY,11201,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/brooklyn/profile/real-estate-broker/brokering-network-international-llc-0121-174456,BBB
BusinessBrokersInternational,(332) 237-4370,1 New York Plz Fl 29,New York,NY,10004,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-investing/business-brokers-international-0121-87156126,BBB
B&ABrokersCorp.,(718) 548-3270,2724 University Avenue,Bronx,NY,10468,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/bronx/profile/real-estate/ba-brokers-corp-0121-59094,BBB
"DistinctiveBrokers,LLC.",,128 stevens avenue,Mount Vernon,NY,10550,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/mount-vernon/profile/real-estate-broker/distinctive-brokersllc-0121-165255,BBB
"Best Buyer's Broker Realty, Inc.",(516) 887-6901,180 Hempstead Avenue,Malvern,NY,11565,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/malvern/profile/real-estate/best-buyers-broker-realty-inc-0121-38527,BBB
CityBrokersLLC,(570) 899-9140,7 S Main St,Wilkes Barre,PA,18701,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/wilkes-barre/profile/property-management/city-brokers-llc-0241-236035188,BBB
Larissa Cleary-Realtor CityBrokersLLC,(570) 899-9140,7 S Main St Ste 214,Wilkes Barre,PA,18701,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/wilkes-barre/profile/real-estate-agent/larissa-cleary-realtor-city-brokers-llc-0241-236034598,BBB
Broker Reality,(570) 274-8607,1047 W Mulberry St,Coal Township,PA,17866,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/pa/coal-township/profile/real-estate/broker-reality-0241-236055607,BBB
Tony Verdi REALTOR/Broker Associate,(401) 225-7800,1000 Division St,E Greenwich,RI,02818,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ri/e-greenwich/profile/real-estate-broker/tony-verdi-realtorbroker-associate-0021-236346,BBB
DavisRealtors,(732) 254-6700,288 Summerhill Rd,E Brunswick,NJ,08816,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/e-brunswick/profile/real-estate-broker/davis-realtors-0221-90177966,BBB
Todd and Melissa RollandRealtors,(860) 995-6104,Tolland,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ct/tolland/profile/real-estate/allstar-powerhouse-team-at-exp-realty-0111-110096941,BBB
"Ferrigno-Storrs,RealtorsLLC",(860) 429-9351,1734 Storrs Rd,Storrs Manfld,CT,06268,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ct/storrs-manfld/profile/real-estate/ferrigno-storrs-realtors-llc-0111-87012409,BBB
LiggettRealtors,(212) 696-8686,404 E 79th St,New York,NY,10075,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/real-estate/liggett-realtors-0121-51954,BBB
Postal Realtor,(888) 760-6665,72 West Street,Brooklyn,NY,11223,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/postcard/postal-realtor-0121-127273,BBB
"Weichert,Realtors- Mazzeo Agency",(212) 995-0006,51A East 25th St,New York,NY,10010,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/real-estate/weichert-realtors-mazzeo-agency-0121-126988/addressId/136060,BBB
World of Apartments,(212) 302-7476,66 West 39th Street-4th Fl.,New York,NY,10018,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/apartments/world-of-apartments-0121-56021,BBB
CitispaceRealtors,(212) 721-9000,59 W. 73rd St.,New York,NY,10023,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/new-york/profile/property-management/citispace-realtors-0121-6831,BBB
CompassRealtors,(337) 436-6639,110 5th Ave,New York,NY,10011,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate/compass-realtors-0925-9000173/addressId/20137,BBB
M & LRealtorsLLC,(332) 238-0176,149 5th Ave,New York,NY,10010,,,Real Estate Agent,,Real Estate Agent,,,B-,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-services/m-l-realtors-llc-0121-87156658,BBB
Zev PollackRealtors,(718) 851-4100,PO Box 190348,Brooklyn,NY,11219,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/brooklyn/profile/real-estate/zev-pollack-realtors-0121-47164,BBB
New AgeRealtorsInc,(929) 222-4200,5776 Mosholu Avenue,Bronx,NY,10471,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/bronx/profile/real-estate-agent/remax-in-the-city-0121-161569,BBB
REALTOR IN BROOKLYN - MAKSYM MYSAK,(347) 770-1363,8403 3rd Ave,Brooklyn,NY,11209,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/real-estate-agent/realtor-in-brooklyn-maksym-mysak-0121-183038,BBB
"Weichert,Realtors",(718) 232-1004,1524 86th Street,Brooklyn,NY,11228,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/real-estate/the-franzese-group-0121-101905,BBB
DiscountRealtorsInc.,(646) 399-5032,324 N High St,Mount Vernon,NY,10550,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ny/mount-vernon/profile/real-estate-broker/discount-realtors-inc-0121-124585,BBB
The Staten Island Board ofRealtors,(718) 979-0007,1535-A Richmond Avenue,"Suite 3 , Staten Island",NY,10314,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/staten-island/profile/real-estate-agent/the-staten-island-board-of-realtors-0121-108978,BBB
WeichertRealtors,(908) 687-4800,East Orange,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/east-orange/profile/real-estate/weichert-realtors-0221-90157491,BBB
Robert Orfino Realtor,(908) 731-5818,Union,Woodside,NY,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/union/profile/real-estate-agent/robert-orfino-realtor-0221-90179954,BBB
Realty Executives ExceptionalRealtors,(973) 305-5880,363 Route 23,Pompton Plns,NJ,07444,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/pompton-plns/profile/real-estate-broker/real-estate-consultants-llc-0221-17003096/addressId/116355,BBB
A.J. Dell'Omo Inc.Realtors,(732) 263-5000,3455 Route 66 Ste 1,Neptune,NJ,07753,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nj/neptune/profile/real-estate-agent/aj-dellomo-inc-realtors-0221-90109865,BBB
Remax Bay PointRealtors,(732) 899-8202,526 Bay Avenue,Pt. Pleasant,NJ,08742,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/nj/pt-pleasant/profile/real-estate/remax-bay-point-realtors-0221-1005822,BBB
Coldwell BankerRealtors,(609) 799-8181,50 Princeton-Hightstown Road,Princeton Jct,NJ,08550,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/nj/princeton-jct/profile/real-estate/coldwell-banker-realtors-0221-10001273,BBB
BirchlerRealtors,(732) 830-3333,1901 Route 35 N Ste 4,Seaside Hgts,NJ,08751,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/nj/seaside-hgts/profile/vacation-rentals/birchler-realtors-0221-90184172,BBB
Avanguard Realty Corporation,,3202 30th Ave Ste 201,Long Is City,NY,11102,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/long-is-city/profile/real-estate/avanguard-realty-corporation-0121-105691,BBB
First Choice Housing LLC,(718) 785-6091,9416 Corona Ave,Elmhurst,NY,11373,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/elmhurst/profile/building-construction-consultants/first-choice-housing-llc-0121-87145685,BBB
Glenwood Management Corp.,(516) 354-1540,1440 York Ave,New York,NY,10075,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/property-management/glenwood-management-corp-0121-36982/addressId/33861,BBB
Bettina Equities Management LLC,(212) 772-8830,230 East 85th Street,New York,NY,10028,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/property-management/bettina-equities-management-llc-0121-13782,BBB
"CrossCountry Mortgage, LLC",(877) 351-3400,61 Greenpoint Ave. Suite 642,Brooklyn,NY,11222,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/mortgage-broker/crosscountry-mortgage-llc-0121-87183638/addressId/294451,BBB
"Grayton Mortgage, Inc.",(718) 395-2600,37 Greenpoint Ave Ste 414 Mailbox #32,Brooklyn,NY,11222,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/brooklyn/profile/mortgage-lenders/grayton-mortgage-inc-0121-149322,BBB
"Right ChoiceRealEstate, LLC",(347) 554-7883,221 East 106th Street,"Suite 18D , New York",NY,10029,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-appraiser/right-choice-appraisal-service-0121-140837,BBB
Roc 360 LLC,(212) 607-8333,645 Madison Ave Fl 19,New York,NY,10022,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-consultant/roc-360-llc-0121-87151321,BBB
Roc Capital Holdings LLC,(212) 607-8333,645 Madison Ave Fl 19,New York,NY,10022,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-loans/roc-capital-holdings-llc-0121-87151316,BBB
Tamarisk Appraisals LLC,(212) 331-8449,645 Madison Ave Fl 19,New York,NY,10022,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ny/new-york/profile/real-estate-appraiser/tamarisk-appraisals-llc-0121-87151320,BBB
